Player Name,Team,Year,Rookie Contract (Y/N),Contract Length,Total Pay,Yearly Pay (AAV),Team Payroll,Player Percentage of Payroll,Games Played,Snaps Played,Backfield Snaps,Slot Snaps,Wide snaps,QB Pressure Allowed (PR),Total Pressure Oppurtnuties (OPP),Rush Attempts,Rush Yards,Rush YPA,Rush TDs,Rush Yac (YCO),Fumbles,Explosive Runs (10+),Recieving Targets,Recieving Receptions,Recieving Yards,Y/Rec,Receiving TDs,YAC/REC,All-Purpose Yards,Team Rushing Yards,Team Total Yards,Team Total Touchdowns,Player Percentage of Rushing Yards,Player Percentage of Offensive Yards,Player Percentage of Touchdowns,AAV Adjusted,Total Pay Adjusted,Payroll Adjusted
James Conner,ARI,2021,N,1,1750000,1750000,191127625,0.009156185559,16,619,554,38,16,3,75,206,771,3.742718447,16,576,2,16,41,38,385,10.13157895,3,10.5,1156,2076,6352,50,0.3713872832,0.1819899244,0.38,1982750,1982750,216547599.1
Cordarrelle Patterson,ATL,2021,N,1,3000000,3000000,185499791,0.01617252496,16,549,294,65,97,1,33,153,618,4.039215686,6,452,1,20,63,52,548,10.53846154,5,7.3,1166,1451,5164,31,0.4259131633,0.2257939582,0.3548387097,3399000,3399000,210171263.2
Devonta Freeman,BAL,2021,N,1,1075000,1075000,182781957,0.00588132449,16,528,450,43,35,3,42,133,576,4.330827068,5,300,0,11,38,34,190,5.588235294,1,5.5,766,2479,6440,39,0.2323517547,0.1189440994,0.1538461538,1217975,1217975,207091957.3
Devin Singletary,BUF,2021,Y,4,3898000,974500,187735198,0.005190822022,19,831,753,33,43,9,93,214,977,4.565420561,10,650,8,22,56,47,266,5.659574468,1,6.5,1243,2209,6493,56,0.4422815754,0.1914369321,0.1964285714,1104108.5,4416434,212703979.3
Chuba Hubbard,CAR,2021,Y,4,4193174,1048293.5,181771931,0.005767081277,16,558,437,11,17,4,54,172,612,3.558139535,5,452,1,13,34,25,174,6.96,1,7,786,1842,5081,31,0.332247557,0.1546939579,0.1935483871,1187716.536,4750866.142,205947597.8
David Montgomery,CHI,2021,Y,4,4015380,1003845,188749384,0.005318401463,13,642,561,16,39,5,67,225,849,3.773333333,7,569,1,21,49,42,301,7.166666667,0,6.6,1150,2018,5225,30,0.4207135778,0.2200956938,0.2333333333,1137356.385,4549425.54,213853052.1
Joe Mixon,CIN,2021,N,4,48000000,12000000,191286587,0.06273309691,20,886,786,36,64,10,66,359,1467,4.086350975,14,1089,3,36,68,60,421,7.016666667,3,7.6,1888,1742,6145,52,0.8421354765,0.3072416599,0.3269230769,13596000,54384000,216727703.1
Nick Chubb,CLE,2021,Y,4,7383095,1845773.75,202441273,0.009117576286,14,482,435,20,25,1,34,228,1258,5.51754386,8,967,2,41,25,20,174,8.7,1,9.3,1432,2471,5791,41,0.5091056253,0.2472802625,0.2195121951,2091261.659,8365046.635,229365962.3
Ezekiel Elliott,DAL,2021,N,6,90000000,15000000,205327031,0.07305419032,18,853,754,21,65,8,67,249,1033,4.148594378,10,670,1,24,67,48,287,5.979166667,2,6.6,1320,2119,6919,55,0.487494101,0.1907790143,0.2181818182,16995000,101970000,232635526.1
Melvin Gordon,DEN,2021,N,2,16000000,8000000,188343846,0.04247550515,16,514,493,3,17,6,39,203,918,4.522167488,8,633,3,23,34,28,213,7.607142857,2,7,1131,2025,5618,36,0.4533333333,0.2013171947,0.2777777778,9064000,18128000,213393577.5
D'Andre Swift,DET,2021,Y,4,8538914,2134728.5,196592545,0.01085864421,13,560,472,37,37,4,39,151,617,4.086092715,5,363,4,21,76,62,452,7.290322581,2,8.2,1069,1886,5484,35,0.3271474019,0.1949307075,0.2,2418647.391,9674589.562,222739353.5
AJ Dillon,GB,2021,Y,4,5285830,1321457.5,181317830,0.007288072552,18,582,455,2,22,5,55,194,828,4.268041237,6,609,3,9,37,34,313,9.205882353,2,9.2,1141,1900,6215,52,0.4357894737,0.1835880933,0.1538461538,1497211.348,5988845.39,205433101.4
