Player Name,Team,Year,Rookie Contract (Y/N),Contract Length,Total Pay,Yearly Pay (AAV),Team Payroll,Player Percentage of Payroll,Games Played,Snaps Played,Backfield Snaps,Slot Snaps,Wide snaps,QB Pressure Allowed (PR),Total Pressure Oppurtnuties (OPP),Rush Attempts,Rush Yards,Rush YPA,Rush TDs,Rush Yac (YCO),Fumbles,Explosive Runs (10+),Recieving Targets,Recieving Receptions,Recieving Yards,Y/Rec,Receiving TDs,YAC/REC,All-Purpose Yards,Team Rushing Yards,Team Total Yards,Team Total Touchdowns,Player Percentage of Rushing Yards,Player Percentage of Offensive Yards,Player Percentage of Touchdowns,AAV Adjusted,Total Pay Adjusted,Payroll Adjusted,Extra Contract Data,Guaranteed Money On Current Deal,Money Spent On RBs This Year,Player: Total # of Contracts,Player: # of Years in NFL,GM adjusted,Money spent adjusted
Pierre Thomas,NO,2009,Y,3,1120000,373333.3333,123000000,0.003035230352,17,458,447,2,9,5,27,183,936,5.1,7,531,3,22,55,51,413,8.1,4,10.1,1349,2106,6461,55,0.4444444444,0.2087912088,0.2,534240,1602720,176013000,,5000,,5,9,7155,0
Brandon Jacobs,NYG,2009,N,4,25000000,6250000,123000000,0.05081300813,15,510,505,4,1,4,104,224,832,3.7,5,577,2,19,29,18,184,10.2,1,12.9,1016,1837,5856,42,0.4529123571,0.1734972678,0.1428571429,8943750,35775000,176013000,,0,,4,9,0,0
Thomas Jones,NYJ,2009,N,4,20000000,5000000,123000000,0.0406504065,19,717,706,4,7,3,65,376,1519,4,15,774,3,29,19,12,86,7.2,0,7.8,1605,2756,5136,33,0.551161103,0.3125,0.4545454545,7155000,28620000,176013000,,0,,4,12,0,0
LeSean McCoy,PHI,2009,Y,4,3497123,874280.75,123000000,0.007107973577,17,629,565,33,31,7,89,160,661,4.1,4,358,3,18,50,41,317,7.7,0,10.1,978,1637,5726,41,0.403787416,0.1707998603,0.09756097561,1251095.753,5004383.013,176013000,,1370123,,5,12,1960646.013,0
Rashard Mendenhall,PIT,2009,Y,5,11005000,2201000,123000000,0.01789430894,15,554,515,32,7,6,68,242,1108,4.6,7,717,3,26,32,25,261,10.4,1,9.8,1369,1793,5941,38,0.6179587284,0.2304325871,0.2105263158,3149631,15748155,176013000,,7125000,,2,6,10195875,0
Frank Gore,SF,2009,N,4,28012000,7003000,123000000,0.05693495935,14,716,683,17,16,9,117,229,1120,4.9,10,616,3,23,61,52,406,7.8,3,8.3,1526,1600,4652,35,0.7,0.3280309544,0.3714285714,10021293,40085172,176013000,,6500000,,7,16,9301500,0
Julius Jones,SEA,2009,N,4,11800000,2950000,123000000,0.02398373984,14,488,479,1,8,5,63,177,673,3.8,2,444,0,14,40,35,232,6.6,2,10.1,905,1566,5069,27,0.4297573436,0.1785362004,0.1481481481,4221450,16885800,176013000,,0,,3,7,0,0
Cadillac Williams,TB,2009,Y,5,31000000,6200000,123000000,0.05040650407,16,594,585,2,7,11,99,209,816,3.9,4,503,1,19,39,29,221,7.6,3,7.7,1037,1627,4600,23,0.5015365704,0.2254347826,0.3043478261,8872200,44361000,176013000,,15100000,,3,7,21608100,0
Chris Johnson,TEN,2009,Y,5,12100000,2420000,123000000,0.01967479675,16,879,867,7,5,12,96,358,2037,5.7,14,1071,4,51,63,50,503,10.1,2,11.4,2540,2592,5623,35,0.7858796296,0.4517161657,0.4571428571,3463020,17315100,176013000,,5630010,,6,9,8056544.31,0
Clinton Portis,WAS,2009,N,6,46120000,7686666.667,123000000,0.06249322493,8,263,256,4,3,1,36,124,502,4,1,357,1,9,9,9,57,6.3,1,7.6,559,1510,5000,29,0.3324503311,0.1118,0.06896551724,10999620,65997720,176013000,,0,,3,9,0,0
