Teams,Year,Players,QBX,RBX,WRX,TEX,OLX,DLX,LBX,DBX,Special TeamsX,TotalX,QB,RB,WR,TE,OL,DL,LB,DB,Special Teams,Total,QB Adjusted,RB Adjusted,WR Adjusted,TE Adjusted,OL Adjusted,DL Adjusted,LB Adjusted,DB Adjusted,Special Teams Adjusted,Total Adjusted
Arizona Cardinals,2022,51,5.6M,9.9M,50.3M,3.9M,11.2M,19.3M,26.9M,18.1M,4.8M,149.9M,5.6,9.9,50.3,3.9,11.2,19.3,26.9,18.1,4.8,149.9,5.8744,10.3851,52.7647,4.0911,11.7488,20.2457,28.2181,18.9869,5.0352,6.1622456
Atlanta Falcons,2022,53,2.3M,8.6M,10.9M,3.8M,31.0M,24.3M,11.1M,15.7M,7.1M,114.7M,2.3,8.6,10.9,3.8,31,24.3,11.1,15.7,7.1,114.7,2.4127,9.0214,11.4341,3.9862,32.519,25.4907,11.6439,16.4693,7.4479,2.5309223
Baltimore Ravens,2022,52,3.3M,11.5M,4.8M,17.2M,44.7M,15.7M,20.8M,61.8M,7.9M,187.7M,3.3,11.5,4.8,17.2,44.7,15.7,20.8,61.8,7.9,187.7,3.4617,12.0635,5.0352,18.0428,46.8903,16.4693,21.8192,64.8282,8.2871,3.6313233
Buffalo Bills,2022,52,49.0M,12.2M,28.2M,14.4M,42.5M,28.4M,21.3M,45.8M,3.5M,245.3M,49,12.2,28.2,14.4,42.5,28.4,21.3,45.8,3.5,245.3,51.401,12.7978,29.5818,15.1056,44.5825,29.7916,22.3437,48.0442,3.6715,53.919649
Carolina Panthers,2022,53,8.5M,4.6M,29.6M,6.9M,45.7M,27.4M,25.8M,17.1M,4.7M,170.4M,8.5,4.6,29.6,6.9,45.7,27.4,25.8,17.1,4.7,170.4,8.9165,4.8254,31.0504,7.2381,47.9393,28.7426,27.0642,17.9379,4.9303,9.3534085
Chicago Bears,2022,53,6.8M,5.5M,11.2M,4.1M,21.3M,18.4M,8.7M,11.3M,5.2M,92.5M,6.8,5.5,11.2,4.1,21.3,18.4,8.7,11.3,5.2,92.5,7.1332,5.7695,11.7488,4.3009,22.3437,19.3016,9.1263,11.8537,5.4548,7.4827268
Cincinnati Bengals,2022,52,10.5M,15.4M,23.8M,4.6M,26.8M,54.1M,7.0M,37.1M,2.4M,181.8M,10.5,15.4,23.8,4.6,26.8,54.1,7,37.1,2.4,181.8,11.0145,16.1546,24.9662,4.8254,28.1132,56.7509,7.343,38.9179,2.5176,11.5542105
Cleveland Browns,2022,53,52.0M,20.4M,25.1M,15.7M,56.6M,46.2M,17.8M,43.1M,4.2M,281.0M,52,20.4,25.1,15.7,56.6,46.2,17.8,43.1,4.2,281,54.548,21.3996,26.3299,16.4693,59.3734,48.4638,18.6722,45.2119,4.4058,57.220852
Dallas Cowboys,2022,53,41.9M,16.5M,19.1M,13.8M,34.4M,29.7M,11.4M,21.1M,5.1M,193.0M,41.9,16.5,19.1,13.8,34.4,29.7,11.4,21.1,5.1,193,43.9531,17.3085,20.0359,14.4762,36.0856,31.1553,11.9586,22.1339,5.3499,46.1068019
Denver Broncos,2022,52,50.2M,8.4M,23.3M,3.6M,21.8M,19.7M,11.0M,30.6M,5.8M,174.4M,50.2,8.4,23.3,3.6,21.8,19.7,11,30.6,5.8,174.4,52.6598,8.8116,24.4417,3.7764,22.8682,20.6653,11.539,32.0994,6.0842,55.2401302
