Teams,Year,Players,QBX,RBX,WRX,TEX,OLX,DLX,LBX,DBX,Special TeamsX,TotalX,QB,RB,WR,TE,OL,DL,LB,DB,Special Teams,Total,QB Adjusted,RB Adjusted,WR Adjusted,TE Adjusted,OL Adjusted,DL Adjusted,LB Adjusted,DB Adjusted,Special Teams Adjusted,Total Adjusted
Detroit Lions,2022,53,34.5M,9.1M,20.9M,2.5M,42.0M,22.6M,22.4M,17.6M,5.2M,176.8M,34.5,9.1,20.9,2.5,42,22.6,22.4,17.6,5.2,176.8,36.1905,9.5459,21.9241,2.6225,44.058,23.7074,23.4976,18.4624,5.4548,37.9638345
Green Bay Packers,2022,53,53.4M,14.0M,17.3M,8.6M,48.8M,25.8M,32.6M,46.0M,7.2M,253.7M,53.4,14,17.3,8.6,48.8,25.8,32.6,46,7.2,253.7,56.0166,14.686,18.1477,9.0214,51.1912,27.0642,34.1974,48.254,7.5528,58.7614134
Houston Texans,2022,51,4.8M,5.9M,23.3M,4.0M,39.3M,24.5M,17.8M,21.1M,3.9M,144.8M,4.8,5.9,23.3,4,39.3,24.5,17.8,21.1,3.9,144.8,5.0352,6.1891,24.4417,4.196,41.2257,25.7005,18.6722,22.1339,4.0911,5.2819248
Indianapolis Colts,2022,53,34.0M,2.8M,8.3M,9.9M,60.8M,41.8M,7.5M,21.6M,3.2M,189.9M,34,2.8,8.3,9.9,60.8,41.8,7.5,21.6,3.2,189.9,35.666,2.9372,8.7067,10.3851,63.7792,43.8482,7.8675,22.6584,3.3568,37.413634
Jacksonville Jaguars,2022,50,11.7M,5.1M,38.6M,16.3M,25.9M,25.2M,40.6M,29.5M,5.1M,198.0M,11.7,5.1,38.6,16.3,25.9,25.2,40.6,29.5,5.1,198,12.2733,5.3499,40.4914,17.0987,27.1691,26.4348,42.5894,30.9455,5.3499,12.8746917
Kansas City Chiefs,2022,53,47.7M,5.0M,21.1M,16.5M,40.9M,48.6M,5.7M,22.5M,6.2M,214.2M,47.7,5,21.1,16.5,40.9,48.6,5.7,22.5,6.2,214.2,50.0373,5.245,22.1339,17.3085,42.9041,50.9814,5.9793,23.6025,6.5038,52.4891277
Los Angeles Chargers,2022,53,9.3M,9.2M,43.1M,8.7M,27.7M,12.9M,60.4M,36.7M,3.1M,212.1M,9.3,9.2,43.1,8.7,27.7,12.9,60.4,36.7,3.1,212.1,9.7557,9.6508,45.2119,9.1263,29.0573,13.5321,63.3596,38.4983,3.2519,10.2337293
Los Angeles Rams,2022,54,9.8M,4.4M,6.4M,9.1M,24.8M,39.3M,29.6M,32.2M,4.4M,159.9M,9.8,4.4,6.4,9.1,24.8,39.3,29.6,32.2,4.4,159.9,10.2802,4.6156,6.7136,9.5459,26.0152,41.2257,31.0504,33.7778,4.6156,10.7839298
Las Vegas Raiders,2022,52,41.3M,10.2M,47.4M,18.6M,29.7M,47.5M,3.6M,10.6M,8.7M,217.8M,41.3,10.2,47.4,18.6,29.7,47.5,3.6,10.6,8.7,217.8,43.3237,10.6998,49.7226,19.5114,31.1553,49.8275,3.7764,11.1194,9.1263,45.4465613
Miami Dolphins,2022,53,15.0M,7.4M,48.2M,15.7M,32.9M,10.4M,51.4M,38.0M,6.5M,225.5M,15,7.4,48.2,15.7,32.9,10.4,51.4,38,6.5,225.5,15.735,7.7626,50.5618,16.4693,34.5121,10.9096,53.9186,39.862,6.8185,16.506015
Minnesota Vikings,2022,54,37.0M,18.5M,24.5M,7.6M,15.2M,25.1M,47.6M,27.3M,4.2M,206.9M,37,18.5,24.5,7.6,15.2,25.1,47.6,27.3,4.2,206.9,38.813,19.4065,25.7005,7.9724,15.9448,26.3299,49.9324,28.6377,4.4058,40.714837
New England Patriots,2022,52,5.0M,3.8M,32.7M,25.0M,18.8M,25.0M,23.3M,36.0M,3.5M,173.2M,5,3.8,32.7,25,18.8,25,23.3,36,3.5,173.2,5.245,3.9862,34.3023,26.225,19.7212,26.225,24.4417,37.764,3.6715,5.502005
New Orleans Saints,2022,54,17.0M,17.8M,11.1M,12.0M,52.8M,42.2M,13.6M,58.9M,6.0M,231.5M,17,17.8,11.1,12,52.8,42.2,13.6,58.9,6,231.5,17.833,18.6722,11.6439,12.588,55.3872,44.2678,14.2664,61.7861,6.294,18.706817
New York Giants,2022,52,11.9M,9.9M,22.4M,2.2M,32.2M,29.4M,14.5M,25.4M,6.9M,154.7M,11.9,9.9,22.4,2.2,32.2,29.4,14.5,25.4,6.9,154.7,12.4831,10.3851,23.4976,2.3078,33.7778,30.8406,15.2105,26.6446,7.2381,13.0947719
New York Jets,2022,54,14.8M,3.2M,28.0M,17.3M,31.6M,52.1M,19.9M,35.7M,4.7M,207.5M,14.8,3.2,28,17.3,31.6,52.1,19.9,35.7,4.7,207.5,15.5252,3.3568,29.372,18.1477,33.1484,54.6529,20.8751,37.4493,4.9303,16.2859348
Philadelphia Eagles,2022,53,3.2M,5.3M,33.1M,16.0M,57.1M,78.9M,22.5M,37.7M,6.0M,259.7M,3.2,5.3,33.1,16,57.1,78.9,22.5,37.7,6,259.7,3.3568,5.5597,34.7219,16.784,59.8979,82.7661,23.6025,39.5473,6.294,3.5212832
Pittsburgh Steelers,2022,53,15.7M,8.2M,23.9M,3.2M,31.9M,32.8M,49.4M,36.9M,6.7M,208.7M,15.7,8.2,23.9,3.2,31.9,32.8,49.4,36.9,6.7,208.7,16.4693,8.6018,25.0711,3.3568,33.4631,34.4072,51.8206,38.7081,7.0283,17.2762957
Seattle Seahawks,2022,53,5.3M,6.2M,44.0M,4.8M,24.9M,32.8M,14.2M,25.8M,8.6M,166.6M,5.3,6.2,44,4.8,24.9,32.8,14.2,25.8,8.6,166.6,5.5597,6.5038,46.156,5.0352,26.1201,34.4072,14.8958,27.0642,9.0214,5.8321253
San Francisco 49ers,2022,53,9.1M,24.5M,30.9M,18.1M,36.7M,42.0M,34.6M,32.2M,7.5M,235.5M,9.1,24.5,30.9,18.1,36.7,42,34.6,32.2,7.5,235.5,9.5459,25.7005,32.4141,18.9869,38.4983,44.058,36.2954,33.7778,7.8675,10.0136491
Tampa Bay Buccaneers,2022,53,18.6M,10.7M,55.2M,10.9M,33.6M,38.4M,25.1M,25.3M,6.3M,224.2M,18.6,10.7,55.2,10.9,33.6,38.4,25.1,25.3,6.3,224.2,19.5114,11.2243,57.9048,11.4341,35.2464,40.2816,26.3299,26.5397,6.6087,20.4674586
Tennessee Titans,2022,51,2.3M,15.3M,22.8M,11.4M,7.6M,16.1M,6.2M,34.5M,4.5M,120.7M,2.3,15.3,22.8,11.4,7.6,16.1,6.2,34.5,4.5,120.7,2.4127,16.0497,23.9172,11.9586,7.9724,16.8889,6.5038,36.1905,4.7205,2.5309223
Washington Commanders,2022,52,35.4M,3.1M,42.8M,10.9M,32.7M,40.3M,3.9M,21.3M,5.5M,195.9M,35.4,3.1,42.8,10.9,32.7,40.3,3.9,21.3,5.5,195.9,37.1346,3.2519,44.8972,11.4341,34.3023,42.2747,4.0911,22.3437,5.7695,38.9541954
