Teams,Year,Players,QBX,RBX,WRX,TEX,OLX,DLX,LBX,DBX,Special TeamsX,TotalX,QB,RB,WR,TE,OL,DL,LB,DB,Special Teams,Total,QB Adjusted,RB Adjusted,WR Adjusted,TE Adjusted,OL Adjusted,DL Adjusted,LB Adjusted,DB Adjusted,Special Teams Adjusted,Total Adjusted
Arizona Cardinals,2020,53,10.7M,11.7M,42.6M,5.6M,36.6M,5.0M,34.7M,36.0M,4.7M,187.7M,10.7,11.7,42.6,5.6,36.6,5,34.7,36,4.7,187.7,12.6902,13.8762,50.5236,6.6416,43.4076,5.93,41.1542,42.696,5.5742,15.0505772
Atlanta Falcons,2020,54,31.9M,10.5M,27.4M,4.3M,38.7M,48.0M,17.9M,20.2M,2.6M,201.7M,31.9,10.5,27.4,4.3,38.7,48,17.9,20.2,2.6,201.7,37.8334,12.453,32.4964,5.0998,45.8982,56.928,21.2294,23.9572,3.0836,44.8704124
Baltimore Ravens,2020,53,2.4M,11.6M,14.6M,1.8M,7.8M,42.2M,28.4M,47.3M,9.3M,165.4M,2.4,11.6,14.6,1.8,7.8,42.2,28.4,47.3,9.3,165.4,2.8464,13.7576,17.3156,2.1348,9.2508,50.0492,33.6824,56.0978,11.0298,3.3758304
Buffalo Bills,2020,52,8.3M,5.1M,34.9M,10.1M,40.7M,51.3M,14.7M,43.5M,2.4M,211.1M,8.3,5.1,34.9,10.1,40.7,51.3,14.7,43.5,2.4,211.1,9.8438,6.0486,41.3914,11.9786,48.2702,60.8418,17.4342,51.591,2.8464,11.6747468
Carolina Panthers,2020,53,22.7M,21.0M,16.2M,3.2M,33.6M,13.4M,22.0M,17.7M,2.6M,152.5M,22.7,21,16.2,3.2,33.6,13.4,22,17.7,2.6,152.5,26.9222,24.906,19.2132,3.7952,39.8496,15.8924,26.092,20.9922,3.0836,31.9297292
Chicago Bears,2020,53,15.3M,2.2M,23.4M,12.2M,24.9M,17.7M,52.6M,41.4M,3.7M,193.3M,15.3,2.2,23.4,12.2,24.9,17.7,52.6,41.4,3.7,193.3,18.1458,2.6092,27.7524,14.4692,29.5314,20.9922,62.3836,49.1004,4.3882,21.5209188
Cincinnati Bengals,2020,54,1.7M,6.2M,35.0M,4.7M,24.1M,8.8M,6.4M,24.6M,6.6M,118.2M,1.7,6.2,35,4.7,24.1,8.8,6.4,24.6,6.6,118.2,2.0162,7.3532,41.51,5.5742,28.5826,10.4368,7.5904,29.1756,7.8276,2.3912132
Cleveland Browns,2020,51,14.2M,10.3M,18.4M,14.4M,41.9M,44.3M,7.6M,23.1M,2.6M,176.7M,14.2,10.3,18.4,14.4,41.9,44.3,7.6,23.1,2.6,176.7,16.8412,12.2158,21.8224,17.0784,49.6934,52.5398,9.0136,27.3966,3.0836,19.9736632
Dallas Cowboys,2020,52,4.7M,17.3M,26.4M,3.2M,21.7M,38.0M,20.8M,13.5M,4.4M,149.9M,4.7,17.3,26.4,3.2,21.7,38,20.8,13.5,4.4,149.9,5.5742,20.5178,31.3104,3.7952,25.7362,45.068,24.6688,16.011,5.2184,6.6110012
Denver Broncos,2020,53,5.0M,9.7M,6.9M,8.0M,37.7M,5.8M,13.6M,29.8M,7.3M,123.8M,5,9.7,6.9,8,37.7,5.8,13.6,29.8,7.3,123.8,5.93,11.5042,8.1834,9.488,44.7122,6.8788,16.1296,35.3428,8.6578,7.03298
Detroit Lions,2020,52,32.1M,5.4M,15.6M,11.4M,34.2M,22.1M,19.1M,21.7M,5.6M,167.1M,32.1,5.4,15.6,11.4,34.2,22.1,19.1,21.7,5.6,167.1,38.0706,6.4044,18.5016,13.5204,40.5612,26.2106,22.6526,25.7362,6.6416,45.1517316
Green Bay Packers,2020,52,37.2M,2.7M,18.1M,4.6M,26.3M,27.6M,43.7M,22.2M,5.6M,188.0M,37.2,2.7,18.1,4.6,26.3,27.6,43.7,22.2,5.6,188,44.1192,3.2022,21.4666,5.4556,31.1918,32.7336,51.8282,26.3292,6.6416,52.3253712
Houston Texans,2020,55,44.4M,20.2M,20.2M,5.6M,49.1M,21.4M,35.9M,14.7M,8.2M,219.7M,44.4,20.2,20.2,5.6,49.1,21.4,35.9,14.7,8.2,219.7,52.6584,23.9572,23.9572,6.6416,58.2326,25.3804,42.5774,17.4342,9.7252,62.4528624
Indianapolis Colts,2020,53,41.0M,3.4M,17.8M,9.3M,29.2M,54.5M,6.2M,19.6M,4.9M,185.9M,41,3.4,17.8,9.3,29.2,54.5,6.2,19.6,4.9,185.9,48.626,4.0324,21.1108,11.0298,34.6312,64.637,7.3532,23.2456,5.8114,57.670436
Jacksonville Jaguars,2020,54,2.7M,2.7M,9.2M,7.6M,26.7M,7.5M,32.6M,9.9M,2.2M,101.1M,2.7,2.7,9.2,7.6,26.7,7.5,32.6,9.9,2.2,101.1,3.2022,3.2022,10.9112,9.0136,31.6662,8.895,38.6636,11.7414,2.6092,3.7978092
Kansas City Chiefs,2020,51,46.6M,6.1M,31.1M,14.9M,19.3M,53.1M,15.3M,27.0M,5.7M,219.2M,46.6,6.1,31.1,14.9,19.3,53.1,15.3,27,5.7,219.2,55.2676,7.2346,36.8846,17.6714,22.8898,62.9766,18.1458,32.022,6.7602,65.5473736
Los Angeles Chargers,2020,55,12.8M,8.5M,28.0M,13.4M,28.2M,43.8M,13.7M,17.7M,1.7M,167.8M,12.8,8.5,28,13.4,28.2,43.8,13.7,17.7,1.7,167.8,15.1808,10.081,33.208,15.8924,33.4452,51.9468,16.2482,20.9922,2.0162,18.0044288
Los Angeles Rams,2020,53,35.3M,4.0M,35.5M,10.5M,28.7M,42.1M,15.4M,26.9M,5.7M,203.9M,35.3,4,35.5,10.5,28.7,42.1,15.4,26.9,5.7,203.9,41.8658,4.744,42.103,12.453,34.0382,49.9306,18.2644,31.9034,6.7602,49.6528388
Las Vegas Raiders,2020,53,35.9M,5.5M,8.8M,14.1M,47.8M,23.5M,17.4M,29.9M,1.9M,184.7M,35.9,5.5,8.8,14.1,47.8,23.5,17.4,29.9,1.9,184.7,42.5774,6.523,10.4368,16.7226,56.6908,27.871,20.6364,35.4614,2.2534,50.4967964
Miami Dolphins,2020,53,13.8M,8.3M,14.1M,4.9M,26.6M,28.2M,18.5M,53.3M,3.6M,171.2M,13.8,8.3,14.1,4.9,26.6,28.2,18.5,53.3,3.6,171.2,16.3668,9.8438,16.7226,5.8114,31.5476,33.4452,21.941,63.2138,4.2696,19.4110248
