Teams,Year,Players,QBX,RBX,WRX,TEX,OLX,DLX,LBX,DBX,Special TeamsX,TotalX,QB,RB,WR,TE,OL,DL,LB,DB,Special Teams,Total,QB Adjusted,RB Adjusted,WR Adjusted,TE Adjusted,OL Adjusted,DL Adjusted,LB Adjusted,DB Adjusted,Special Teams Adjusted,Total Adjusted
Minnesota Vikings,2020,52,34.0M,18.1M,22.2M,2.9M,10.8M,9.0M,19.1M,28.6M,7.3M,152.0M,34,18.1,22.2,2.9,10.8,9,19.1,28.6,7.3,152,40.324,21.4666,26.3292,3.4394,12.8088,10.674,22.6526,33.9196,8.6578,47.824264
New England Patriots,2020,53,3.6M,7.6M,8.9M,2.9M,33.0M,12.5M,4.6M,37.5M,2.8M,113.4M,3.6,7.6,8.9,2.9,33,12.5,4.6,37.5,2.8,113.4,4.2696,9.0136,10.5554,3.4394,39.138,14.825,5.4556,44.475,3.3208,5.0637456
New Orleans Saints,2020,53,42.4M,21.7M,34.2M,11.6M,33.4M,40.5M,13.8M,33.8M,9.2M,240.6M,42.4,21.7,34.2,11.6,33.4,40.5,13.8,33.8,9.2,240.6,50.2864,25.7362,40.5612,13.7576,39.6124,48.033,16.3668,40.0868,10.9112,59.6396704
New York Giants,2020,53,8.7M,3.3M,23.1M,6.5M,33.5M,25.5M,21.7M,35.6M,8.6M,166.5M,8.7,3.3,23.1,6.5,33.5,25.5,21.7,35.6,8.6,166.5,10.3182,3.9138,27.3966,7.709,39.731,30.243,25.7362,42.2216,10.1996,12.2373852
New York Jets,2020,53,10.1M,2.2M,19.9M,6.2M,31.2M,13.6M,5.8M,9.4M,2.7M,101.2M,10.1,2.2,19.9,6.2,31.2,13.6,5.8,9.4,2.7,101.2,11.9786,2.6092,23.6014,7.3532,37.0032,16.1296,6.8788,11.1484,3.2022,14.2066196
Philadelphia Eagles,2020,52,35.5M,3.7M,29.9M,12.3M,17.4M,60.2M,2.4M,25.7M,5.7M,193.0M,35.5,3.7,29.9,12.3,17.4,60.2,2.4,25.7,5.7,193,42.103,4.3882,35.4614,14.5878,20.6364,71.3972,2.8464,30.4802,6.7602,49.934158
Pittsburgh Steelers,2020,54,35.7M,6.5M,5.6M,13.2M,34.2M,35.4M,19.2M,24.1M,6.3M,180.3M,35.7,6.5,5.6,13.2,34.2,35.4,19.2,24.1,6.3,180.3,42.3402,7.709,6.6416,15.6552,40.5612,41.9844,22.7712,28.5826,7.4718,50.2154772
Seattle Seahawks,2020,52,36.2M,8.1M,14.1M,12.0M,25.4M,34.8M,30.4M,16.9M,5.7M,183.5M,36.2,8.1,14.1,12,25.4,34.8,30.4,16.9,5.7,183.5,42.9332,9.6066,16.7226,14.232,30.1244,41.2728,36.0544,20.0434,6.7602,50.9187752
San Francisco 49ers,2020,55,1.6M,12.0M,10.8M,17.7M,17.1M,26.5M,4.7M,28.0M,6.0M,124.4M,1.6,12,10.8,17.7,17.1,26.5,4.7,28,6,124.4,1.8976,14.232,12.8088,20.9922,20.2806,31.429,5.5742,33.208,7.116,2.2505536
Tampa Bay Buccaneers,2020,53,27.6M,6.0M,22.2M,17.7M,43.0M,23.9M,49.2M,11.0M,4.3M,204.9M,27.6,6,22.2,17.7,43,23.9,49.2,11,4.3,204.9,32.7336,7.116,26.3292,20.9922,50.998,28.3454,58.3512,13.046,5.0998,38.8220496
Tennessee Titans,2020,51,30.2M,16.5M,9.8M,4.9M,26.9M,13.5M,8.8M,41.0M,6.8M,158.4M,30.2,16.5,9.8,4.9,26.9,13.5,8.8,41,6.8,158.4,35.8172,19.569,11.6228,5.8114,31.9034,16.011,10.4368,48.626,8.0648,42.4791992
Washington Football Team,2020,53,25.0M,5.4M,4.6M,4.5M,43.8M,31.9M,13.3M,18.2M,7.0M,153.7M,25,5.4,4.6,4.5,43.8,31.9,13.3,18.2,7,153.7,29.65,6.4044,5.4556,5.337,51.9468,37.8334,15.7738,21.5852,8.302,35.1649
