Player Name,Team,Year,Rookie Contract (Y/N),Contract Length,Total Pay,Yearly Pay (AAV),Team Payroll,Player Percentage of Payroll,Games Played,Snaps Played,Backfield Snaps,Slot Snaps,Wide snaps,QB Pressure Allowed (PR),Total Pressure Oppurtnuties (OPP),Rush Attempts,Rush Yards,Rush YPA,Rush TDs,Rush Yac (YCO),Fumbles,Explosive Runs (10+),Recieving Targets,Recieving Receptions,Recieving Yards,Y/Rec,Receiving TDs,YAC/REC,All-Purpose Yards,Team Rushing Yards,Team Total Yards,Team Total Touchdowns,Player Percentage of Rushing Yards,Player Percentage of Offensive Yards,Player Percentage of Touchdowns,AAV Adjusted,Total Pay Adjusted,Payroll Adjusted
Beanie Wells,ARI,2011,Y,5,"$9,600,000","$1,920,000","$118,381,964",0.01621868683,14,571,556,15,0,8,103,245,1049,4.281632653,10,648,5,18,14,10,52,5.2,0,2.4,1101,1625,5192,33,0.6455384615,0.2120570108,0.303030303,"$2,620,800","$13,104,000","$161,591,381"
Michael Turner,ATL,2011,N,6,"$34,500,000","$5,750,000","$125,643,878",0.04576426716,17,617,588,29,0,1,76,316,1393,4.408227848,11,954,3,36,25,18,173,9.611111111,0,8.2,1566,1834,6026,43,0.7595419847,0.2598738799,0.2558139535,"$7,848,750","$47,092,500","$171,503,893"
Ray Rice,BAL,2011,Y,4,"$3,159,000","$789,750","$119,773,889",0.006593674186,18,925,875,14,36,8,117,333,1491,4.477477477,12,810,3,31,108,81,735,9.074074074,3,8.9,2226,1996,5419,36,0.746993988,0.4107768961,0.4166666667,"$1,078,009","$4,312,035","$163,491,358"
Fred Jackson,BUF,2011,N,4,"$7,500,000","$1,875,000","$108,312,929",0.01731095279,10,568,455,63,50,0,83,170,934,5.494117647,6,637,3,23,48,39,442,11.33333333,0,12.9,1376,1921,5624,36,0.4862051015,0.2446657183,0.1666666667,"$2,559,375","$10,237,500","$147,847,148"
DeAngelo Williams,CAR,2011,N,5,"$43,000,000","$8,600,000","$123,832,984",0.06944837896,16,447,409,8,16,5,57,155,850,5.483870968,7,450,0,19,24,16,135,8.4375,0,10.1,985,2408,6237,37,0.3529900332,0.1579284913,0.1891891892,"$11,739,000","$58,695,000","$169,032,023"
Matt Forte,CHI,2011,Y,4,"$3,766,500","$941,625","$107,756,643",0.008738440376,12,564,518,24,22,9,74,203,997,4.911330049,3,545,3,29,71,52,490,9.423076923,1,8.8,1487,2015,5026,28,0.4947890819,0.2958615201,0.1428571429,"$1,285,318","$5,141,273","$147,087,818"
Cedric Benson,CIN,2011,N,1,"$4,500,000","$4,500,000","$108,249,005",0.04157082091,16,598,586,4,8,4,71,280,1090,3.892857143,7,576,5,24,23,16,80,5,0,6.1,1170,1778,5118,31,0.613048369,0.2286049238,0.2258064516,"$6,142,500","$6,142,500","$147,759,892"
Peyton Hillis,CLE,2011,Y,4,"$1,754,800","$438,700","$103,645,720",0.004232688045,10,462,443,6,13,6,73,161,587,3.645962733,3,384,4,10,30,22,130,5.909090909,0,5.8,717,1531,4621,20,0.3834095363,0.1551612205,0.15,"$598,826","$2,395,302","$141,476,408"
DeMarco Murray,DAL,2011,Y,4,"$2,973,438","$743,360","$106,285,767",0.006993970322,13,378,376,1,1,5,48,164,897,5.469512195,2,494,2,18,34,26,183,7.038461538,0,9.1,1080,1807,6008,38,0.4964028777,0.1797603196,0.05263157895,"$1,014,686","$4,058,743","$145,080,072"
Willis McGahee,DEN,2011,N,4,"$9,500,000","$2,375,000","$109,156,754",0.02175770086,16,525,514,2,8,1,28,285,1340,4.701754386,5,783,7,39,17,12,51,4.25,1,4,1391,2632,5066,31,0.509118541,0.2745756021,0.1935483871,"$3,241,875","$12,967,500","$148,998,969"
Jahvid Best,DET,2011,Y,5,"$9,845,000","$1,969,000","$124,329,126",0.01910252309,6,288,251,23,14,4,22,84,390,4.642857143,2,200,0,9,36,27,300,11.11111111,1,12,690,1523,6337,50,0.2560735391,0.1088843301,0.06,"$2,687,685","$13,438,425","$169,709,257"
James Starks,GB,2011,Y,4,"$2,040,300","$510,075","$115,530,459",0.004415069449,14,459,451,2,5,3,74,139,621,4.467625899,1,373,2,20,40,33,240,7.272727273,0,9.5,861,1558,6482,63,0.3985879332,0.1328293737,0.01587301587,"$696,252","$2,785,010","$157,699,077"
Arian Foster,HOU,2011,N,1,"$525,000","$525,000","$120,701,303",0.00434958022,15,743,703,10,29,5,75,329,1509,4.58662614,13,846,8,39,70,61,674,11.04918033,2,11.7,2183,2448,5954,38,0.6164215686,0.3666442728,0.3947368421,"$716,625","$716,625","$164,757,279"
Donald Brown,IND,2011,Y,5,"$10,435,000","$2,087,000","$118,187,238",0.01765842095,13,392,387,3,2,2,68,134,645,4.813432836,5,415,0,16,17,16,86,5.375,0,5.9,731,1594,4589,22,0.404642409,0.1592939638,0.2272727273,"$2,848,755","$14,243,775","$161,325,580"
Maurice Jones-Drew,JAX,2011,N,5,"$31,100,000","$6,220,000","$92,484,955",0.06725418205,16,780,744,20,13,2,78,343,1606,4.682215743,8,954,8,43,56,43,374,8.697674419,3,9.8,1980,1970,4149,21,0.8152284264,0.4772234273,0.5238095238,"$8,490,300","$42,451,500","$126,241,964"
Jackie Battle,KC,2011,N,1,"$750,000","$750,000","$103,518,752",0.00724506416,15,305,298,5,2,2,64,149,597,4.006711409,2,395,0,12,11,9,68,7.555555556,0,9.7,665,1893,4973,18,0.3153724247,0.1337220993,0.1111111111,"$1,023,750","$1,023,750","$141,303,096"
Michael Bush,OAK/LV,2011,N,1,"$2,610,000","$2,610,000","$110,171,162",0.02369041002,16,725,718,5,1,9,144,256,980,3.828125,7,606,1,21,43,37,418,11.2972973,1,9.6,1398,2110,6072,36,0.4644549763,0.2302371542,0.2222222222,"$3,562,650","$3,562,650","$150,383,636"
Ryan Mathews,SD/LAC,2011,Y,4,"$18,920,000","$4,730,000","$121,552,775",0.03891313876,14,520,501,0,19,3,35,222,1091,4.914414414,6,710,5,35,58,50,455,9.1,0,9.2,1546,1864,6290,43,0.5853004292,0.2457869634,0.1395348837,"$6,456,450","$25,825,800","$165,919,538"
Steven Jackson,STL/LAR,2011,N,6,"$44,805,000","$7,467,500","$105,468,977",0.07080281057,14,715,665,25,23,8,122,259,1146,4.424710425,5,663,3,32,56,42,333,7.928571429,1,7.5,1479,1667,4537,16,0.6874625075,0.3259863346,0.375,"$10,193,138","$61,158,825","$143,965,154"
Reggie Bush,MIA,2011,N,2,"$9,750,000","$4,875,000","$132,332,873",0.03683891908,15,600,557,23,19,9,74,216,1096,5.074074074,6,546,5,35,52,43,296,6.88372093,1,7.7,1392,1987,5078,31,0.5515853045,0.2741236707,0.2258064516,"$6,654,375","$13,308,750","$180,634,372"
Adrian Peterson,MIN,2011,N,6,"$86,280,000","$14,380,000","$121,265,523",0.1185827566,12,498,495,2,1,6,83,208,970,4.663461538,12,650,2,27,21,18,131,7.277777778,1,6.8,1101,2318,5275,38,0.4184641933,0.2087203791,0.3421052632,"$19,628,700","$117,772,200","$165,527,439"
BenJarvus Green-Ellis,NE,2011,N,1,"$1,835,000","$1,835,000","$105,916,783",0.01732492196,19,461,433,2,26,4,60,219,807,3.684931507,12,447,0,16,17,12,182,15.16666667,0,13.6,989,1764,6848,57,0.4574829932,0.144421729,0.2105263158,"$2,504,775","$2,504,775","$144,576,409"
Darren Sproles,NO,2011,N,4,"$14,000,000","$3,500,000","$104,654,042",0.03344352433,18,596,384,146,65,6,25,100,657,6.57,4,338,0,24,130,105,863,8.219047619,8,8.2,1520,2127,7474,62,0.3088857546,0.2033716885,0.1935483871,"$4,777,500","$19,110,000","$142,852,767"
Ahmad Bradshaw,NYG,2011,N,4,"$18,000,000","$4,500,000","$119,706,771",0.03759185853,16,655,644,1,10,5,132,234,931,3.978632479,10,623,3,20,61,50,381,7.62,2,8.2,1312,1427,6161,46,0.6524176594,0.2129524428,0.2608695652,"$6,142,500","$24,570,000","$163,399,742"
Shonn Greene,NYJ,2011,Y,4,"$2,655,000","$663,750","$121,813,441",0.005448906086,16,559,540,4,8,2,51,253,1054,4.166007905,6,570,1,22,40,30,211,7.033333333,0,7.2,1265,1692,4989,40,0.6229314421,0.2535578272,0.15,"$906,019","$3,624,075","$166,275,347"
LeSean McCoy,PHI,2011,Y,4,"$3,497,123","$874,281","$126,362,295",0.006918841969,15,867,818,19,26,18,140,273,1309,4.794871795,17,684,1,48,61,48,315,6.5625,3,8.7,1624,2276,6386,42,0.5751318102,0.254306295,0.4761904762,"$1,193,393","$4,773,573","$172,484,533"
Rashard Mendenhall,PIT,2011,Y,5,"$11,005,000","$2,201,000","$124,320,023",0.01770430818,15,458,435,21,2,1,42,228,928,4.070175439,9,563,1,21,24,18,154,8.555555556,0,9.2,1082,1903,5957,34,0.4876510772,0.1816350512,0.2647058824,"$3,004,365","$15,021,825","$169,696,831"
Frank Gore,SF,2011,N,3,"$19,212,550","$6,404,183","$114,116,758",0.05611956951,18,792,772,9,11,11,163,311,1368,4.398713826,8,832,3,34,42,30,197,6.566666667,0,6.7,1565,2044,4974,32,0.6692759295,0.3146361078,0.25,"$8,741,710","$26,225,131","$155,769,375"
Marshawn Lynch,SEA,2011,Y,5,"$19,065,000","$3,813,000","$106,500,936",0.03580250224,15,559,541,9,9,3,44,285,1204,4.224561404,12,722,4,30,36,28,212,7.571428571,1,8.1,1416,1756,4861,30,0.6856492027,0.2912980868,0.4333333333,"$5,204,745","$26,023,725","$145,373,778"
LeGarrette Blount,TB,2011,Y,2,"$725,000","$362,500","$87,617,399",0.004137306107,14,392,390,1,1,2,58,184,796,4.326086957,5,534,8,15,23,15,148,9.866666667,0,10.2,944,1458,5108,26,0.5459533608,0.1848081441,0.1923076923,"$494,813","$989,625","$119,597,750"
