Player Name,Team,Year,Rookie Contract (Y/N),Contract Length,Total Pay,Yearly Pay (AAV),Team Payroll,Player Percentage of Payroll,Games Played,Snaps Played,Backfield Snaps,Slot Snaps,Wide snaps,QB Pressure Allowed (PR),Total Pressure Oppurtnuties (OPP),Rush Attempts,Rush Yards,Rush YPA,Rush TDs,Rush Yac (YCO),Fumbles,Explosive Runs (10+),Recieving Targets,Recieving Receptions,Recieving Yards,Y/Rec,Receiving TDs,YAC/REC,All-Purpose Yards,Team Rushing Yards,Team Total Yards,Team Total Touchdowns,Player Percentage of Rushing Yards,Player Percentage of Offensive Yards,Player Percentage of Touchdowns,AAV Adjusted,Total Pay Adjusted,Payroll Adjusted
Andre Ellington,ARI,2014,Y,4,2263864,565966,133228945,0.004248070868,12,534,469,28,37,2,49,201,663,3.3,3,359,2,15,62,46,395,8.6,2,8,1058,1308,5116,27,0.5068807339,0.2068021892,0.1851851852,734057.902,2936231.608,172797941.7
Steven Jackson,ATL,2014,N,3,12000000,4000000,133009495,0.03007304103,15,426,416,4,4,1,75,190,707,3.7,6,512,0,14,23,20,148,7.4,0,6.3,855,1498,6051,39,0.4719626168,0.1412989588,0.1538461538,5188000,15564000,172513315
Justin Forsett,BAL,2014,N,1,730000,730000,124870620,0.005846050897,18,818,762,21,31,10,129,274,1435,5.2,8,617,2,46,60,47,287,6.1,1,7.8,1722,2019,5838,43,0.710747895,0.2949640288,0.2093023256,946810,946810,161957194.1
Fred Jackson,BUF,2014,N,2,8700000,4350000,147684870,0.02945460832,14,572,537,7,6,7,81,141,525,3.7,2,319,6,9,82,66,494,7.5,1,8.9,1019,1482,5096,30,0.3542510121,0.1999607535,0.1,5641950,11283900,191547276.4
Jonathan Stewart,CAR,2014,N,5,36500000,7300000,133399423,0.05472287538,15,652,632,12,8,4,104,212,993,4.7,4,600,3,32,32,27,182,6.7,1,8.5,1175,2036,5547,33,0.4877210216,0.2118262124,0.1515151515,9468100,47340500,173019051.6
Matt Forte,CHI,2014,N,4,30400000,7600000,131432644,0.05782429516,16,984,941,19,24,12,118,266,1038,3.9,6,584,2,22,118,102,808,7.9,4,8,1846,1441,5233,38,0.720333102,0.3527613224,0.2631578947,9857200,39428800,170468139.3
Jeremy Hill,CIN,2014,Y,4,3753602,938400.5,131642102,0.007128422334,17,527,517,4,2,3,59,235,1171,5,10,638,6,29,31,27,215,8,0,8.1,1386,2147,5568,39,0.5454122031,0.2489224138,0.2564102564,1217105.449,4868421.794,170739806.3
Terrance West,CLE,2014,Y,4,2783400,695850,135401214,0.005139171056,14,407,390,6,11,4,56,171,673,3.9,4,379,3,10,12,11,64,5.8,1,5,737,1728,5193,29,0.3894675926,0.1419218178,0.1724137931,902517.45,3610069.8,175615374.6
DeMarco Murray,DAL,2014,Y,4,2973438,743359.5,130227376,0.005708166154,18,877,858,15,3,8,76,436,2043,4.7,15,1102,8,49,68,61,443,7.3,0,8.7,2486,2354,6138,53,0.867884452,0.4050179211,0.2830188679,964137.2715,3856549.086,168904906.7
CJ Anderson,DEN,2014,Y,3,1497500,499166.6667,135140526,0.003693685983,16,580,510,13,26,4,58,197,929,4.7,8,491,2,27,47,40,354,8.9,2,8,1283,1785,6446,55,0.5204481793,0.1990381632,0.1818181818,647419.1667,1942257.5,175277262.2
