Player Name,Team,Year,Rookie Contract (Y/N),Contract Length,Total Pay,Yearly Pay (AAV),Team Payroll,Player Percentage of Payroll,Games Played,Snaps Played,Backfield Snaps,Slot Snaps,Wide snaps,QB Pressure Allowed (PR),Total Pressure Oppurtnuties (OPP),Rush Attempts,Rush Yards,Rush YPA,Rush TDs,Rush Yac (YCO),Fumbles,Explosive Runs (10+),Recieving Targets,Recieving Receptions,Recieving Yards,Y/Rec,Receiving TDs,YAC/REC,All-Purpose Yards,Team Rushing Yards,Team Total Yards,Team Total Touchdowns,Player Percentage of Rushing Yards,Player Percentage of Offensive Yards,Player Percentage of Touchdowns,AAV Adjusted,Total Pay Adjusted,Payroll Adjusted
James Conner,ARI,2022,N,3,"$21,000,000","$7,000,000","$204,825,664",0.03417540489,,,,,,,,,,#DIV/0!,,,,,,,,#DIV/0!,,,0,,,,#DIV/0!,#DIV/0!,#DIV/0!,"$7,343,000","$22,029,000","$214,862,122"
Tyler Allgeier,ATL,2022,Y,4,"$3,993,896","$998,474","$201,717,487",0.00494986337,,,,,,,,,,#DIV/0!,,,,,,,,#DIV/0!,,,0,,,,#DIV/0!,#DIV/0!,#DIV/0!,"$1,047,399","$4,189,597","$211,601,644"
J.K. Dobbins,BAL,2022,Y,4,"$5,729,436","$1,432,359","$204,617,520",0.007000177697,,,,,,,,,,#DIV/0!,,,,,,,,#DIV/0!,,,0,,,,#DIV/0!,#DIV/0!,#DIV/0!,"$1,502,545","$6,010,178","$214,643,778"
Devin Singletary,BUF,2022,Y,4,"$3,898,000","$974,500","$206,691,460",0.004714756962,,,,,,,,,,#DIV/0!,,,,,,,,#DIV/0!,,,0,,,,#DIV/0!,#DIV/0!,#DIV/0!,"$1,022,251","$4,089,002","$216,819,342"
D'Onta Foreman,CAR,2022,N,1,"$2,000,000","$2,000,000","$202,249,051",0.009888797945,,,,,,,,,,#DIV/0!,,,,,,,,#DIV/0!,,,0,,,,#DIV/0!,#DIV/0!,#DIV/0!,"$2,098,000","$2,098,000","$212,159,254"
David Montgomery,CHI,2022,Y,4,"$4,015,380","$1,003,845","$204,696,905",0.004904055584,,,,,,,,,,#DIV/0!,,,,,,,,#DIV/0!,,,0,,,,#DIV/0!,#DIV/0!,#DIV/0!,"$1,053,033","$4,212,134","$214,727,053"
Joe Mixon,CIN,2022,N,4,"$48,000,000","$12,000,000","$210,200,068",0.05708846869,,,,,,,,,,#DIV/0!,,,,,,,,#DIV/0!,,,0,,,,#DIV/0!,#DIV/0!,#DIV/0!,"$12,588,000","$50,352,000","$220,499,871"
Nick Chubb,CLE,2022,N,3,"$36,600,000","$12,200,000","$186,513,983",0.06541064538,,,,,,,,,,#DIV/0!,,,,,,,,#DIV/0!,,,0,,,,#DIV/0!,#DIV/0!,#DIV/0!,"$12,797,800","$38,393,400","$195,653,168"
Tony Pollard,DAL,2022,Y,4,"$3,187,780","$796,945","$215,338,768",0.003700889568,,,,,,,,,,#DIV/0!,,,,,,,,#DIV/0!,,,0,,,,#DIV/0!,#DIV/0!,#DIV/0!,"$835,995","$3,343,981","$225,890,368"
Latavius Murray,DEN,2022,N,1,"$1,120,000","$1,120,000","$210,892,216",0.005310769744,,,,,,,,,,#DIV/0!,,,,,,,,#DIV/0!,,,0,,,,#DIV/0!,#DIV/0!,#DIV/0!,"$1,174,880","$1,174,880","$221,225,935"
Jamaal Williams,DET,2022,N,2,"$6,000,000","$3,000,000","$214,423,875",0.01399097932,,,,,,,,,,#DIV/0!,,,,,,,,#DIV/0!,,,0,,,,#DIV/0!,#DIV/0!,#DIV/0!,"$3,147,000","$6,294,000","$224,930,645"
Aaron Jones,GB,2022,N,4,"$48,000,000","$12,000,000","$211,925,991",0.05662354081,,,,,,,,,,#DIV/0!,,,,,,,,#DIV/0!,,,0,,,,#DIV/0!,#DIV/0!,#DIV/0!,"$12,588,000","$50,352,000","$222,310,365"
Dameon Pierce,HOU,2022,Y,4,"$4,475,432","$1,118,858","$212,666,643",0.00526108836,,,,,,,,,,#DIV/0!,,,,,,,,#DIV/0!,,,0,,,,#DIV/0!,#DIV/0!,#DIV/0!,"$1,173,682","$4,694,728","$223,087,309"
