Player Name,Team,Year,Rookie Contract (Y/N),Contract Length,Total Pay,Yearly Pay (AAV),Team Payroll,Player Percentage of Payroll,Games Played,Snaps Played,Backfield Snaps,Slot Snaps,Wide snaps,QB Pressure Allowed (PR),Total Pressure Oppurtnuties (OPP),Rush Attempts,Rush Yards,Rush YPA,Rush TDs,Rush Yac (YCO),Fumbles,Explosive Runs (10+),Recieving Targets,Recieving Receptions,Recieving Yards,Y/Rec,Receiving TDs,YAC/REC,All-Purpose Yards,Team Rushing Yards,Team Total Yards,Team Total Touchdowns,Player Percentage of Rushing Yards,Player Percentage of Offensive Yards,Player Percentage of Touchdowns,AAV Adjusted,Total Pay Adjusted,Payroll Adjusted
David Johnson,ARI,2018,N,3,"$39,000,000","$13,000,000","$172,915,077",0.07518141405,16,749,698,18,31,3,78,258,940,3.643410853,7,615,3,20,70,50,446,8.92,3,7.9,1386,1342,3865,25,0.7004470939,0.3586028461,0.4,"$15,899,000","$47,697,000","$211,475,139"
Tevin Coleman,ATL,2018,Y,4,"$3,219,372","$804,843","$173,654,866",0.004634727598,16,580,525,22,32,5,76,167,800,4.790419162,4,486,2,25,40,32,276,8.625,5,8.5,1076,1573,6226,48,0.5085823268,0.1728236428,0.1875,"$984,323","$3,937,292","$212,379,901"
Gus Edwards,BAL,2018,Y,3,"$1,710,000","$570,000","$170,531,630",0.003342488429,12,372,298,2,7,2,25,145,741,5.110344828,2,464,0,17,2,2,20,10,0,8.5,761,2441,5999,38,0.3035641131,0.1268544757,0.05263157895,"$697,110","$2,091,330","$208,560,183"
Lesean Mccoy,BUF,2018,N,5,"$40,000,000","$8,000,000","$179,596,976",0.04454417985,14,490,441,19,26,3,54,161,514,3.192546584,3,323,0,11,41,34,238,7,0,8.6,752,1984,4778,29,0.2590725806,0.1573880285,0.1034482759,"$9,784,000","$48,920,000","$219,647,102"
Christian McCaffrey,CAR,2018,Y,4,"$17,241,304","$4,310,326","$184,421,777",0.02337210968,16,967,858,65,43,7,93,219,1098,5.01369863,7,639,4,31,122,108,874,8.092592593,6,8,1972,2136,5972,45,0.5140449438,0.3302076356,0.2888888889,"$5,271,529","$21,086,115","$225,547,833"
Jordan Howard,CHI,2018,Y,4,"$2,588,022","$647,006","$179,461,788",0.003605254953,17,646,632,8,2,2,82,260,970,3.730769231,9,713,2,19,27,20,145,7.25,0,7.1,1115,1938,5502,49,0.5005159959,0.2026535805,0.1836734694,"$791,288","$3,165,151","$219,481,767"
Joe Mixon,CIN,2018,Y,4,"$5,450,174","$1,362,544","$180,326,765",0.007555969298,16,595,557,17,21,6,39,236,1171,4.961864407,8,652,0,34,54,43,296,6.88372093,1,7.9,1467,1682,4972,43,0.6961950059,0.2950522928,0.2093023256,"$1,666,391","$6,665,563","$220,539,634"
Nick Chubb,CLE,2018,Y,4,"$7,383,095","$1,845,774","$181,948,164",0.0101445033,16,501,379,5,10,5,30,192,996,5.1875,8,858,0,28,28,20,149,7.45,2,9.1,1145,1893,5900,44,0.5261489699,0.1940677966,0.2272727273,"$2,257,381","$9,029,525","$222,522,605"
Ezekiel Elliot,DAL,2018,Y,4,"$24,956,341","$6,239,085","$173,992,050",0.03585845014,17,1022,952,45,19,8,91,350,1618,4.622857143,8,1083,6,45,100,83,618,7.445783133,3,7.8,2236,1963,5501,35,0.8242485991,0.4064715506,0.3142857143,"$7,630,401","$30,521,605","$212,792,277"
Phillip Lindsay,DEN,2018,Y,3,"$1,725,000","$575,000","$181,619,996",0.003165950956,16,516,399,32,17,2,32,192,1037,5.401041667,9,451,0,30,44,35,241,6.885714286,1,8.7,1278,1907,5602,39,0.5437860514,0.2281328097,0.2564102564,"$703,225","$2,109,675","$222,121,255"
Kerryon Johnson,DET,2018,Y,4,"$6,503,691","$1,625,923","$175,496,566",0.009264698376,10,347,320,7,19,1,32,118,641,5.43220339,3,392,1,17,37,32,213,6.65625,1,8.4,854,1660,5236,35,0.3861445783,0.1631016043,0.1142857143,"$1,988,504","$7,954,014","$214,632,300"
Aaron Jones,GB,2018,Y,4,"$2,601,937","$650,484","$175,766,368",0.003700845943,12,395,360,8,8,0,23,133,728,5.473684211,8,395,1,22,32,26,206,7.923076923,1,8.7,934,1667,5904,41,0.4367126575,0.158197832,0.2195121951,"$795,542","$3,182,169","$214,962,268"
Lamar Miller,HOU,2018,N,4,"$26,000,000","$6,500,000","$172,088,725",0.03777121366,15,673,590,18,64,5,87,215,991,4.609302326,5,693,2,23,44,33,226,6.848484848,1,7.1,1217,2021,5802,41,0.4903513112,0.2097552568,0.1463414634,"$7,949,500","$31,798,000","$210,464,511"
Marlon Mack,IND,2018,Y,4,"$2,819,648","$704,912","$144,247,844",0.004886811341,14,529,525,2,2,8,33,228,1102,4.833333333,10,684,3,26,27,19,109,5.736842105,1,6.5,1211,1718,6179,52,0.641443539,0.1959864056,0.2115384615,"$862,107","$3,448,430","$176,415,113"
Leonard Fournette,JAX,2018,Y,4,"$27,150,842","$6,787,711","$198,450,085",0.03420361599,8,284,277,1,2,4,25,133,439,3.30075188,5,313,0,9,25,22,185,8.409090909,1,10,624,1723,4832,25,0.2547881602,0.1291390728,0.24,"$8,301,370","$33,205,480","$242,704,454"
Kareem Hunt,KC,2018,Y,4,"$3,285,722","$821,431","$176,891,845",0.004643687786,11,502,458,13,31,0,15,181,824,4.552486188,7,606,0,23,33,26,378,14.53846154,7,13.3,1202,1855,6810,70,0.4442048518,0.1765051395,0.2,"$1,004,610","$4,018,438","$216,338,726"
Doug Martin,OAK/LV,2018,N,1,"$1,475,000","$1,475,000","$178,870,237",0.008246201407,16,371,349,4,6,1,27,172,723,4.203488372,4,467,3,19,23,18,116,6.444444444,0,5.6,839,1628,5379,30,0.4441031941,0.1559769474,0.1333333333,"$1,803,925","$1,803,925","$218,758,300"
Melvin Gordon,SD/LAC,2018,Y,4,"$10,669,773","$2,667,443","$177,286,710",0.01504592899,14,591,546,5,40,7,49,201,940,4.676616915,12,532,2,28,64,52,504,9.692307692,4,10.6,1444,1873,5962,50,0.5018686599,0.2422006038,0.32,"$3,262,283","$13,049,132","$216,821,646"
Todd Gurley,STL/LAR,2018,N,4,"$57,500,000","$14,375,000","$179,876,692",0.07991585702,17,943,830,92,21,9,84,286,1411,4.933566434,19,919,2,38,83,63,585,9.285714286,4,9.4,1996,2231,6738,59,0.6324518153,0.2962303354,0.3898305085,"$17,580,625","$70,322,500","$219,989,194"
Frank Gore,MIA,2018,N,1,"$1,105,000","$1,105,000","$170,259,550",0.006490091158,14,331,311,10,10,3,18,156,722,4.628205128,0,513,1,12,16,12,124,10.33333333,1,9.9,846,1738,4638,38,0.415420023,0.1824062096,0.02631578947,"$1,351,415","$1,351,415","$208,227,430"
Dalvin Cook,MIN,2018,Y,4,"$6,353,334","$1,588,334","$196,608,422",0.008078664606,11,491,464,14,9,5,70,133,615,4.62406015,2,401,2,17,48,40,305,7.625,2,9.6,920,1493,5529,40,0.4119223041,0.1663953699,0.1,"$1,942,532","$7,770,127","$240,452,100"
Sony Michel,NE,2018,Y,4,"$9,626,695","$2,406,674","$175,832,665",0.0136872961,16,439,414,0,3,3,20,280,1267,4.525,12,742,1,36,14,8,59,7.375,0,8,1326,2037,6295,50,0.6219931271,0.2106433678,0.24,"$2,943,362","$11,773,448","$215,043,349"
Alvin Kamara,NO,2018,Y,4,"$3,857,772","$964,443","$176,019,524",0.005479181957,17,804,553,114,80,0,29,218,969,4.444954128,14,592,0,24,115,96,840,8.75,4,7.9,1809,2025,6067,60,0.4785185185,0.2981704302,0.3,"$1,179,514","$4,718,055","$215,271,878"
Saquon Barkley,NYG,2018,Y,4,"$31,194,751","$7,798,688","$170,980,782",0.0456114872,16,854,807,9,35,7,66,261,1307,5.007662835,11,872,0,31,114,91,721,7.923076923,4,8.6,2028,1650,5697,39,0.7921212121,0.3559768299,0.3846153846,"$9,537,795","$38,151,180","$209,109,496"
Isaiah Crowell,NYJ,2018,N,3,"$12,000,000","$4,000,000","$176,796,047",0.02262494025,13,332,305,3,24,4,28,143,685,4.79020979,6,467,0,15,26,21,152,7.238095238,0,8.4,837,1622,4787,34,0.4223181258,0.1748485482,0.1764705882,"$4,892,000","$14,676,000","$216,221,565"
Josh Adams,PHI,2018,Y,3,"$1,735,000","$578,333","$171,556,674",0.003371092012,13,301,250,2,1,3,14,121,513,4.239669421,3,343,1,14,13,7,58,8.285714286,0,9.9,571,1570,5845,41,0.3267515924,0.09769033362,0.07317073171,"$707,302","$2,121,905","$209,813,812"
James Connor,PIT,2018,Y,4,"$3,161,523","$790,381","$161,685,116",0.004888395231,13,719,641,46,31,5,68,215,973,4.525581395,12,617,4,27,67,55,497,9.036363636,1,10.1,1470,1445,6450,53,0.6733564014,0.2279069767,0.2452830189,"$966,636","$3,866,543","$197,740,897"
Matt Breida,SF,2018,Y,3,"$1,670,000","$556,667","$199,312,951",0.002792927724,14,376,317,16,29,2,18,153,814,5.320261438,3,436,1,27,31,27,261,9.666666667,2,8.6,1075,1902,5769,35,0.4279705573,0.186340787,0.1428571429,"$680,803","$2,042,410","$243,759,739"
Chris Carson,SEA,2018,Y,4,"$2,465,129","$616,282","$175,111,279",0.003519374957,15,492,476,0,4,2,28,260,1171,4.503846154,9,857,3,33,25,22,162,7.363636364,0,7.9,1333,2560,5653,51,0.457421875,0.2358039979,0.1764705882,"$753,713","$3,014,853","$214,161,094"
Peyton Barber,TB,2018,N,1,"$630,000","$630,000","$189,900,886",0.003317520067,16,617,592,4,21,9,63,234,871,3.722222222,5,627,1,24,27,20,92,4.6,1,3.4,963,1523,6648,48,0.5718975706,0.1448555957,0.125,"$770,490","$770,490","$232,248,784"
Derrick Henry,TEN,2018,Y,4,"$5,407,928","$1,351,982","$182,398,711",0.007412234399,16,401,367,7,8,0,27,215,1059,4.925581395,12,905,2,30,18,15,99,6.6,0,7.5,1158,2023,4998,34,0.5234799802,0.2316926771,0.3529411765,"$1,653,474","$6,613,896","$223,073,624"
Adrian Peterson,WAS,2018,N,1,"$1,015,000","$1,015,000","$172,795,336",0.005874001136,16,479,476,1,2,3,21,251,1042,4.151394422,7,754,4,26,25,20,208,10.4,1,10.4,1250,1774,4795,28,0.587373168,0.2606882169,0.2857142857,"$1,241,345","$1,241,345","$211,328,696"
