Player Name,Team,Year,Rookie Contract (Y/N),Contract Length,Total Pay,Yearly Pay (AAV),Team Payroll,Player Percentage of Payroll,Games Played,Snaps Played,Backfield Snaps,Slot Snaps,Wide snaps,QB Pressure Allowed (PR),Total Pressure Oppurtnuties (OPP),Rush Attempts,Rush Yards,Rush YPA,Rush TDs,Rush Yac (YCO),Fumbles,Explosive Runs (10+),Recieving Targets,Recieving Receptions,Recieving Yards,Y/Rec,Receiving TDs,YAC/REC,All-Purpose Yards,Team Rushing Yards,Team Total Yards,Team Total Touchdowns,Player Percentage of Rushing Yards,Player Percentage of Offensive Yards,Player Percentage of Touchdowns,AAV Adjusted,Total Pay Adjusted,Payroll Adjusted
Kenyan Drake,ARI,2020,N,1,8483000,8483000,194162965,0.04369010331,15,615,598,15,1,1,54,239,955,3.9958159,10,595,3,25,29,25,137,5.48,0,6.7,1092,2237,6153,49,0.4269110416,0.1774744027,0.2040816327,10060838,10060838,230277276.5
Todd Gurley,ATL,2020,N,1,5500000,5500000,199355990,0.02758883744,15,507,498,4,5,6,53,195,678,3.476923077,9,491,2,16,31,25,164,6.56,0,5,842,1532,5895,40,0.4425587467,0.1428329092,0.225,6523000,6523000,236436204.1
Gus Edwards,BAL,2020,N,1,750000,750000,190989245,0.003926922691,18,425,384,7,7,4,31,162,803,4.956790123,6,531,2,18,11,9,129,14.33333333,0,10.3,932,3071,5810,51,0.2614783458,0.1604130809,0.1176470588,889500,889500,226513244.6
Devin Singletary,BUF,2020,Y,4,3898000,974500,218228694,0.004465498932,19,747,645,22,80,4,86,172,750,4.360465116,2,545,1,23,56,46,313,6.804347826,0,6.9,1063,1723,6343,56,0.4352872896,0.1675863156,0.03571428571,1155757,4623028,258819231.1
Mike Davis,CAR,2020,N,2,6000000,3000000,204039300,0.01470304985,15,612,525,27,27,6,59,165,642,3.890909091,6,489,1,14,67,59,373,6.322033898,2,7.3,1015,1704,5592,35,0.3767605634,0.181509299,0.2285714286,3558000,7116000,241990609.8
David Montgomery,CHI,2020,Y,4,4015380,1003845,204713154,0.004903666327,16,797,755,17,23,5,73,259,1101,4.250965251,8,800,1,24,64,54,438,8.111111111,2,7.7,1539,1647,5302,38,0.6684881603,0.2902678235,0.2631578947,1190560.17,4762240.68,242789800.6
Joe Mixon,CIN,2020,N,4,48000000,12000000,197637354,0.06071726704,6,291,257,20,14,0,23,119,428,3.596638655,3,303,1,6,23,21,138,6.571428571,1,8.5,566,1668,5116,32,0.2565947242,0.1106333073,0.125,14232000,56928000,234397901.8
Nick Chubb,CLE,2020,Y,4,7383095,1845773.75,199101772,0.009270503881,14,482,434,9,39,0,37,221,1212,5.484162896,12,883,1,39,27,22,223,10.13636364,1,10.2,1435,2374,5913,48,0.5105307498,0.242685608,0.2708333333,2189087.668,8756350.67,236134701.6
Ezekiel Elliot,DAL,2020,N,6,90000000,15000000,191282501,0.0784180462,15,789,727,30,32,9,92,244,979,4.012295082,6,688,6,22,68,52,338,6.5,1,7.1,1317,1788,5949,27,0.5475391499,0.2213817448,0.2592592593,17790000,106740000,226861046.2
Melvin Gordon,DEN,2020,N,2,16000000,8000000,195780141,0.04086216283,15,627,598,4,25,9,61,215,986,4.586046512,9,669,6,26,42,32,158,4.9375,1,5.5,1144,1918,5369,34,0.5140771637,0.2130750605,0.2941176471,9488000,18976000,232195247.2
Adrian Peterson,DET,2020,N,1,1050000,1050000,201274115,0.0052167662,16,314,311,2,1,1,27,155,608,3.922580645,7,396,0,13,17,12,101,8.416666667,0,8.5,709,1499,5603,44,0.4056037358,0.1265393539,0.1590909091,1245300,1245300,238711100.4
Aaron Jones,GB,2020,Y,4,2601937,650484.25,199876795,0.003254426058,16,608,506,52,50,5,48,221,1230,5.56561086,10,795,4,77,68,52,376,7.230769231,2,7.6,1606,2118,6224,64,0.5807365439,0.258033419,0.1875,771474.3205,3085897.282,237053878.9
David Johnson,HOU,2020,N,3,39000000,13000000,210781361,0.06167528257,12,551,461,24,66,5,40,147,691,4.700680272,6,383,4,18,46,33,314,9.515151515,2,7.5,1005,1466,6004,43,0.4713506139,0.1673884077,0.1860465116,15418000,46254000,249986694.1
Jonathan Taylor,IND,2020,Y,4,7829150,1957287.5,231385518,0.008458988777,16,557,544,11,2,7,25,253,1247,4.928853755,12,747,1,38,42,38,305,8.026315789,1,10.1,1552,1996,6049,44,0.624749499,0.2565713341,0.2954545455,2321342.975,9285371.9,274423224.3
James Robinson,JAX,2020,Y,3,2290000,763333.3333,184288252,0.004142061825,14,641,609,5,27,12,75,240,1070,4.458333333,7,764,4,31,56,49,344,7.020408163,3,8.1,1414,1519,5218,34,0.7044107966,0.2709850517,0.2941176471,905313.3333,2715940,218565866.9
Clyde Edwards-Helaire,KC,2020,Y,4,10821570,2705392.5,216749367,0.01248166275,15,608,553,22,33,3,37,196,874,4.459183673,5,594,0,23,54,39,320,8.205128205,1,8.4,1194,1799,6653,53,0.4858254586,0.1794679092,0.1132075472,3208595.505,12834382.02,257064749.3
Josh Jacobs,OAK/LV,2020,Y,4,11933398,2983349.5,214145655,0.01393140337,15,616,585,6,25,7,64,273,1065,3.901098901,12,770,2,31,41,33,238,7.212121212,0,7.5,1303,1916,6133,48,0.5558455115,0.2124571988,0.25,3538252.507,14153010.03,253976746.8
Austin Ekeler,SD/LAC,2020,N,4,24500000,6125000,195831096,0.03127695307,10,412,349,36,27,5,33,116,530,4.568965517,1,364,1,15,60,54,403,7.462962963,2,8.9,933,1784,6113,43,0.2970852018,0.1526255521,0.06976744186,7264250,29057000,232255679.9
Cam Akers,STL/LAR,2020,Y,4,6173035,1543258.75,196611667,0.007849273512,15,397,343,14,40,3,24,191,846,4.429319372,4,566,1,16,17,14,174,12.42857143,1,9.6,1020,2018,6032,39,0.4192269574,0.1690981432,0.1282051282,1830304.878,7321219.51,233181437.1
