Player Name,Team,Year,Rookie Contract (Y/N),Contract Length,Total Pay,Yearly Pay (AAV),Team Payroll,Player Percentage of Payroll,Games Played,Snaps Played,Backfield Snaps,Slot Snaps,Wide snaps,QB Pressure Allowed (PR),Total Pressure Oppurtnuties (OPP),Rush Attempts,Rush Yards,Rush YPA,Rush TDs,Rush Yac (YCO),Fumbles,Explosive Runs (10+),Recieving Targets,Recieving Receptions,Recieving Yards,Y/Rec,Receiving TDs,YAC/REC,All-Purpose Yards,Team Rushing Yards,Team Total Yards,Team Total Touchdowns,Player Percentage of Rushing Yards,Player Percentage of Offensive Yards,Player Percentage of Touchdowns,AAV Adjusted,Total Pay Adjusted,Payroll Adjusted
Edgerrin James,ARI,2006,N,4,30000000,7500000,102000000,0.07352941176,16,782,781,0,1,5,90,337,1162,3.448071217,6,816,4,20,53,37,211,5.702702703,0,4.8,1373,1338,5262,29,0.8684603886,0.260927404,0.2068965517,11422500,45690000,155346000
Warrick Dunn,ATL,2006,N,3,12450000,4150000,102000000,0.04068627451,16,767,758,4,4,14,143,286,1140,3.986013986,4,676,1,18,25,22,170,7.727272727,1,7.6,1310,2939,5310,30,0.3878870364,0.2467043315,0.1666666667,6320450,18961350,155346000
Jamal Lewis,BAL,2006,N,3,26000000,8666666.667,102000000,0.08496732026,17,690,670,14,5,12,118,327,1184,3.620795107,9,825,3,24,26,21,139,6.619047619,0,7.8,1323,1637,5072,32,0.7232742822,0.2608438486,0.28125,13199333.33,39598000,155346000
Willis McGahee,BUF,2006,Y,5,7053000,1410600,102000000,0.01382941176,14,605,598,4,3,11,125,260,995,3.826923077,6,606,4,23,23,18,156,8.666666667,0,11.6,1151,1552,4271,28,0.6411082474,0.2694919223,0.2142857143,2148343.8,10741719,155346000
Deshaun Foster,CAR,2006,N,3,14500000,4833333.333,102000000,0.04738562092,14,594,555,4,31,9,117,226,901,3.986725664,3,559,5,26,43,33,161,4.878787879,0,5.3,1062,1659,4923,26,0.543098252,0.2157221207,0.1153846154,7361166.667,22083500,155346000
Thomas Jones,CHI,2006,N,4,9250000,2312500,102000000,0.02267156863,19,893,865,10,18,20,228,351,1517,4.321937322,10,796,2,39,50,41,170,4.146341463,0,6.8,1687,1918,5199,38,0.7909280501,0.324485478,0.2631578947,3521937.5,14087750,155346000
Rudi Johnson,CIN,2006,N,5,25950000,5190000,102000000,0.05088235294,16,711,2,2,1,1,65,341,1309,3.838709677,12,835,4,30,29,22,125,5.681818182,0,5.6,1434,1629,5462,42,0.8035604665,0.2625411937,0.2857142857,7904370,39521850,155346000
Reuben Droughns,CLE,2006,N,5,NA,NA,102000000,-1,14,594,574,7,12,14,104,219,761,3.474885845,4,471,5,14,33,28,168,6,0,8.5,929,1335,4233,22,0.5700374532,0.2194660997,0.1818181818,-1,-1,155346000
Julius Jones,DAL,2006,Y,4,3280000,820000,102000000,0.008039215686,17,607,587,3,16,6,98,289,1196,4.138408304,4,697,2,27,17,11,142,12.90909091,0,14.4,1338,1936,5772,47,0.617768595,0.2318087318,0.08510638298,1248860,4995440,155346000
Tatum Bell,DEN,2006,Y,4,3180000,795000,102000000,0.007794117647,13,552,536,11,5,7,99,232,1020,4.396551724,2,469,7,27,31,24,115,4.791666667,0,6.8,1135,2152,4951,32,0.4739776952,0.2292466168,0.0625,1210785,4843140,155346000
Kevin Jones,DET,2006,Y,5,5737500,1147500,102000000,0.01125,12,629,602,11,13,7,96,181,687,3.79558011,6,441,6,13,74,60,508,8.466666667,2,8.8,1195,1129,4949,30,0.6085031001,0.2414629218,0.2666666667,1747642.5,8738212.5,155346000
Ahman Green,GB,2006,N,1,2350000,2350000,102000000,0.02303921569,14,645,622,6,8,5,105,266,1056,3.969924812,5,638,4,24,58,46,388,8.434782609,1,9.4,1444,1663,5458,27,0.6349969934,0.264565775,0.2222222222,3579050,3579050,155346000
Ron Dayne,HOU,2006,N,1,600000,600000,102000000,0.005882352941,11,326,318,1,7,1,47,149,603,4.046979866,5,374,1,15,15,14,77,5.5,0,5.9,680,1685,4463,27,0.3578635015,0.1523638808,0.1851851852,913800,913800,155346000
Joseph Addai,IND,2006,Y,5,10665000,2133000,102000000,0.02091176471,20,787,785,1,1,8,113,303,1370,4.521452145,9,798,3,41,70,62,443,7.14516129,1,6.6,1813,1762,6070,48,0.7775255392,0.2986820428,0.2083333333,3248559,16242795,155346000
Fred Taylor,JAX,2006,N,5,28777922,5755584.4,102000000,0.05642729804,15,444,444,0,0,5,56,231,1146,4.961038961,5,750,4,33,27,23,242,10.52173913,1,11.3,1388,2541,5423,40,0.4510035419,0.2559468929,0.15,8765755.041,43828775.21,155346000
Larry Johnson,KC,2006,Y,5,6700000,1340000,102000000,0.0131372549,17,924,914,6,4,6,85,429,1821,4.244755245,17,1128,2,49,65,46,439,9.543478261,2,10.9,2260,2143,5143,35,0.8497433504,0.439432238,0.5428571429,2040820,10204100,155346000
Justin Fargas,OAK/LV,2006,Y,5,2615000,523000,102000000,0.00512745098,16,371,371,0,0,7,89,178,659,3.702247191,1,466,1,12,21,13,91,7,0,6.8,750,1519,3939,12,0.4338380513,0.1904036558,0.08333333333,796529,3982645,155346000
Ladanian Tomlinson,SD/LAC,2006,Y,6,38350000,6391666.667,102000000,0.06266339869,17,989,915,26,47,11,137,369,1934,5.241192412,30,1074,2,85,77,58,572,9.862068966,3,10.5,2506,2578,5840,56,0.7501939488,0.429109589,0.5892857143,9734508.333,58407050,155346000
Steven Jackson,STL/LAR,2006,Y,5,7000000,1400000,102000000,0.0137254902,16,912,905,4,2,8,118,345,1528,4.428985507,13,815,6,37,107,90,806,8.955555556,3,8.5,2334,1805,5767,37,0.8465373961,0.4047164904,0.4324324324,2132200,10661000,155346000
