Teams,Year,Players,QBX,RBX,WRX,TEX,OLX,DLX,LBX,DBX,Special TeamsX,TotalX,QB,RB,WR,TE,OL,DL,LB,DB,Special Teams,Total,QB Adjusted,RB Adjusted,WR Adjusted,TE Adjusted,OL Adjusted,DL Adjusted,LB Adjusted,DB Adjusted,Special Teams Adjusted,Total Adjusted
New Orleans Saints,2015,53,21.7M,1.9M,10.9M,3.8M,23.3M,16.5M,15.1M,19.9M,5.2M,118.2M,21.7,1.9,10.9,3.8,23.3,16.5,15.1,19.9,5.2,118.2,28.1015,2.4605,14.1155,4.921,30.1735,21.3675,19.5545,25.7705,6.734,36.3914425
New York Giants,2015,53,21.7M,7.8M,9.3M,1.4M,12.4M,18.1M,5.8M,16.2M,2.3M,94.8M,21.7,7.8,9.3,1.4,12.4,18.1,5.8,16.2,2.3,94.8,28.1015,10.101,12.0435,1.813,16.058,23.4395,7.511,20.979,2.9785,36.3914425
New York Jets,2015,53,5.6M,5.8M,20.5M,2.9M,30.2M,13.4M,14.3M,42.8M,2.1M,137.5M,5.6,5.8,20.5,2.9,30.2,13.4,14.3,42.8,2.1,137.5,7.252,7.511,26.5475,3.7555,39.109,17.353,18.5185,55.426,2.7195,9.39134
Oakland Raiders,2015,54,1.8M,9.7M,19.2M,5.0M,18.6M,14.1M,12.6M,12.4M,6.2M,99.6M,1.8,9.7,19.2,5,18.6,14.1,12.6,12.4,6.2,99.6,2.331,12.5615,24.864,6.475,24.087,18.2595,16.317,16.058,8.029,3.018645
Philadelphia Eagles,2015,53,18.3M,15.7M,10.1M,6.7M,26.7M,16.2M,19.7M,24.3M,3.5M,141.2M,18.3,15.7,10.1,6.7,26.7,16.2,19.7,24.3,3.5,141.2,23.6985,20.3315,13.0795,8.6765,34.5765,20.979,25.5115,31.4685,4.5325,30.6895575
Pittsburgh Steelers,2015,53,23.5M,4.8M,11.3M,5.7M,13.5M,16.6M,23.0M,13.5M,2.1M,114.0M,23.5,4.8,11.3,5.7,13.5,16.6,23,13.5,2.1,114,30.4325,6.216,14.6335,7.3815,17.4825,21.497,29.785,17.4825,2.7195,39.4100875
San Diego Chargers,2015,53,22.3M,6.5M,8.8M,9.9M,22.3M,3.7M,16.4M,8.8M,5.0M,103.8M,22.3,6.5,8.8,9.9,22.3,3.7,16.4,8.8,5,103.8,28.8785,8.4175,11.396,12.8205,28.8785,4.7915,21.238,11.396,6.475,37.3976575
Seattle Seahawks,2015,53,23.4M,15.5M,8.5M,1.8M,13.0M,24.8M,22.7M,35.0M,5.3M,149.8M,23.4,15.5,8.5,1.8,13,24.8,22.7,35,5.3,149.8,30.303,20.0725,11.0075,2.331,16.835,32.116,29.3965,45.325,6.8635,39.242385
San Francisco 49ers,2015,52,2.5M,3.5M,17.2M,2.2M,15.7M,7.5M,19.7M,11.6M,4.7M,84.6M,2.5,3.5,17.2,2.2,15.7,7.5,19.7,11.6,4.7,84.6,3.2375,4.5325,22.274,2.849,20.3315,9.7125,25.5115,15.022,6.0865,4.1925625
St. Louis Rams,2015,53,13.7M,7.3M,11.2M,11.6M,12.3M,23.3M,16.5M,8.3M,4.4M,108.7M,13.7,7.3,11.2,11.6,12.3,23.3,16.5,8.3,4.4,108.7,17.7415,9.4535,14.504,15.022,15.9285,30.1735,21.3675,10.7485,5.698,22.9752425
Tampa Bay Buccaneers,2015,53,7.7M,5.2M,5.6M,6.1M,21.8M,24.8M,18.0M,12.6M,2.0M,103.8M,7.7,5.2,5.6,6.1,21.8,24.8,18,12.6,2,103.8,9.9715,6.734,7.252,7.8995,28.231,32.116,23.31,16.317,2.59,12.9130925
Tennessee Titans,2015,54,7.1M,2.8M,8.9M,10.2M,10.8M,21.9M,14.6M,23.0M,6.6M,105.8M,7.1,2.8,8.9,10.2,10.8,21.9,14.6,23,6.6,105.8,9.1945,3.626,11.5255,13.209,13.986,28.3605,18.907,29.785,8.547,11.9068775
Washington Redskins,2015,52,7.4M,3.9M,16.3M,2.1M,23.0M,19.1M,20.9M,18.2M,2.1M,113.1M,7.4,3.9,16.3,2.1,23,19.1,20.9,18.2,2.1,113.1,9.583,5.0505,21.1085,2.7195,29.785,24.7345,27.0655,23.569,2.7195,12.409985
