Player Name,Team,Year,Rookie Contract (Y/N),Contract Length,Total Pay,Yearly Pay (AAV),Team Payroll,Player Percentage of Payroll,Games Played,Snaps Played,Backfield Snaps,Slot Snaps,Wide snaps,QB Pressure Allowed (PR),Total Pressure Oppurtnuties (OPP),Rush Attempts,Rush Yards,Rush YPA,Rush TDs,Rush Yac (YCO),Fumbles,Explosive Runs (10+),Recieving Targets,Recieving Receptions,Recieving Yards,Y/Rec,Receiving TDs,YAC/REC,All-Purpose Yards,Team Rushing Yards,Team Total Yards,Team Total Touchdowns,Player Percentage of Rushing Yards,Player Percentage of Offensive Yards,Player Percentage of Touchdowns,AAV Adjusted,Total Pay Adjusted,Payroll Adjusted
David Johnson,ARI,2016,Y,4,"$2,919,373","$729,843","$155,855,865",0.004682809017,16,965,767,76,121,8,81,293,1243,4.242320819,16,741,5,34,107,80,879,10.9875,4,8,2122,1732,5868,48,0.7176674365,0.3616223586,0.4166666667,"$933,470","$3,733,878","$199,339,651"
Devonta Freeman,ATL,2016,Y,4,"$2,704,424","$676,106","$153,820,903",0.004395410421,19,724,654,27,42,9,67,266,1241,4.665413534,13,613,1,34,73,64,630,9.84375,3,8.9,1871,1928,6653,58,0.6436721992,0.2812265144,0.275862069,"$864,740","$3,458,958","$196,736,935"
Terrance West,BAL,2016,N,1,"$600,000","$600,000","$152,132,443",0.003943931933,16,443,423,2,17,6,56,193,774,4.010362694,5,508,2,19,40,34,236,6.941176471,1,7.3,1010,1463,5563,30,0.5290498975,0.181556714,0.2,"$767,400","$767,400","$194,577,395"
LeSean McCoy,BUF,2016,N,5,"$40,000,000","$8,000,000","$152,340,574",0.0525139153,15,646,595,12,14,13,88,234,1267,5.414529915,13,567,3,34,54,50,356,7.12,1,8.1,1623,2630,5666,46,0.4817490494,0.2864454642,0.3043478261,"$10,232,000","$51,160,000","$194,843,594"
Jonathan Stewart,CAR,2016,N,5,"$36,500,000","$7,300,000","$140,404,900",0.05199248744,13,565,528,20,16,5,90,218,824,3.779816514,9,599,3,21,16,8,60,7.5,0,9,884,1814,5499,37,0.454244763,0.1607565012,0.2432432432,"$9,336,700","$46,683,500","$179,577,867"
Jordan Howard,CHI,2016,Y,4,"$2,588,022","$647,006","$149,496,553",0.004327895774,15,658,628,10,14,2,54,252,1313,5.21031746,6,752,3,43,46,29,298,10.27586207,1,11.1,1611,1735,5704,29,0.7567723343,0.2824333801,0.2413793103,"$827,520","$3,310,080","$191,206,091"
Jeremy Hill,CIN,2016,Y,4,"$3,753,602","$938,401","$157,569,246",0.005955480043,15,443,426,6,8,4,33,222,839,3.779279279,9,546,0,13,25,21,174,8.285714286,0,8,1013,1769,5711,35,0.4742792538,0.1773769918,0.2571428571,"$1,200,214","$4,800,857","$201,531,066"
Isaiah Crowell,CLE,2016,Y,3,"$1,540,000","$513,333","$131,395,141",0.00390679084,16,569,546,12,9,13,97,198,952,4.808080808,7,630,2,26,47,40,319,7.975,0,8.5,1271,1712,4976,28,0.5560747664,0.255426045,0.25,"$656,553","$1,969,660","$168,054,385"
Ezekiel Elliott,DAL,2016,Y,4,"$24,956,341","$6,239,085","$153,909,923",0.04053725145,16,774,724,28,15,7,64,344,1756,5.104651163,15,1018,5,50,38,33,361,10.93939394,1,11.9,2117,2396,6027,49,0.7328881469,0.3512526962,0.3265306122,"$7,979,790","$31,919,160","$196,850,792"
Devontae Booker,DEN,2016,Y,4,"$2,723,393","$680,848","$147,213,128",0.004624915313,16,492,477,5,10,5,55,174,612,3.517241379,4,425,6,16,37,31,265,8.548387097,1,8.4,877,1484,5169,31,0.4123989218,0.1696653124,0.1612903226,"$870,805","$3,483,220","$188,285,591"
