Teams,Year,Players,QBX,RBX,WRX,TEX,OLX,DLX,LBX,DBX,Special TeamsX,TotalX,QB,RB,WR,TE,OL,DL,LB,DB,Special Teams,Total,QB Adjusted,RB Adjusted,WR Adjusted,TE Adjusted,OL Adjusted,DL Adjusted,LB Adjusted,DB Adjusted,Special Teams Adjusted,Total Adjusted
Arizona Cardinals,2017,53,4.9M,1.6M,15.6M,9.1M,7.5M,11.9M,27.6M,37.0M,5.6M,120.8M,4.9,1.6,15.6,9.1,7.5,11.9,27.6,37,5.6,120.8,6.1397,2.0048,19.5468,11.4023,9.3975,14.9107,34.5828,46.361,7.0168,7.6930441
Atlanta Falcons,2017,53,25.3M,10.3M,27.2M,5.5M,24.5M,30.0M,4.8M,31.8M,6.2M,165.5M,25.3,10.3,27.2,5.5,24.5,30,4.8,31.8,6.2,165.5,31.7009,12.9059,34.0816,6.8915,30.6985,37.59,6.0144,39.8454,7.7686,39.7212277
Baltimore Ravens,2017,53,24.1M,6.0M,16.5M,5.1M,16.0M,14.8M,15.1M,27.7M,8.6M,133.8M,24.1,6,16.5,5.1,16,14.8,15.1,27.7,8.6,133.8,30.1973,7.518,20.6745,6.3903,20.048,18.5444,18.9203,34.7081,10.7758,37.8372169
Buffalo Bills,2017,52,16.8M,11.7M,4.6M,9.5M,21.8M,20.0M,7.1M,17.2M,4.8M,113.5M,16.8,11.7,4.6,9.5,21.8,20,7.1,17.2,4.8,113.5,21.0504,14.6601,5.7638,11.9035,27.3154,25.06,8.8963,21.5516,6.0144,26.3761512
Carolina Panthers,2017,51,23.6M,14.8M,6.5M,9.5M,37.2M,39.3M,16.8M,17.2M,4.7M,169.6M,23.6,14.8,6.5,9.5,37.2,39.3,16.8,17.2,4.7,169.6,29.5708,18.5444,8.1445,11.9035,46.6116,49.2429,21.0504,21.5516,5.8891,37.0522124
Chicago Bears,2017,53,24.3M,3.4M,11.0M,8.6M,27.8M,16.1M,12.9M,20.7M,2.3M,127.2M,24.3,3.4,11,8.6,27.8,16.1,12.9,20.7,2.3,127.2,30.4479,4.2602,13.783,10.7758,34.8334,20.1733,16.1637,25.9371,2.8819,38.1512187
Cincinnati Bengals,2017,52,16.6M,10.0M,22.5M,1.9M,11.8M,27.5M,16.8M,29.1M,4.7M,140.9M,16.6,10,22.5,1.9,11.8,27.5,16.8,29.1,4.7,140.9,20.7998,12.53,28.1925,2.3807,14.7854,34.4575,21.0504,36.4623,5.8891,26.0621494
Cleveland Browns,2017,53,2.6M,5.1M,6.8M,4.2M,30.1M,14.3M,13.6M,14.4M,4.5M,95.6M,2.6,5.1,6.8,4.2,30.1,14.3,13.6,14.4,4.5,95.6,3.2578,6.3903,8.5204,5.2626,37.7153,17.9179,17.0408,18.0432,5.6385,4.0820234
Dallas Cowboys,2017,54,1.2M,9.9M,24.6M,11.3M,25.4M,20.1M,12.7M,8.5M,6.5M,120.2M,1.2,9.9,24.6,11.3,25.4,20.1,12.7,8.5,6.5,120.2,1.5036,12.4047,30.8238,14.1589,31.8262,25.1853,15.9131,10.6505,8.1445,1.8840108
Denver Broncos,2017,53,3.1M,8.9M,27.7M,4.5M,10.4M,8.8M,32.5M,30.3M,4.9M,131.2M,3.1,8.9,27.7,4.5,10.4,8.8,32.5,30.3,4.9,131.2,3.8843,11.1517,34.7081,5.6385,13.0312,11.0264,40.7225,37.9659,6.1397,4.8670279
Detroit Lions,2017,52,27.5M,6.6M,16.8M,5.3M,24.3M,14.1M,12.8M,28.0M,8.3M,143.7M,27.5,6.6,16.8,5.3,24.3,14.1,12.8,28,8.3,143.7,34.4575,8.2698,21.0504,6.6409,30.4479,17.6673,16.0384,35.084,10.3999,43.1752475
