Teams,Year,Players,QBX,RBX,WRX,TEX,OLX,DLX,LBX,DBX,Special TeamsX,TotalX,QB,RB,WR,TE,OL,DL,LB,DB,Special Teams,Total,QB Adjusted,RB Adjusted,WR Adjusted,TE Adjusted,OL Adjusted,DL Adjusted,LB Adjusted,DB Adjusted,Special Teams Adjusted,Total Adjusted
Arizona Cardinals,2019,53,11.3M,14.6M,16.3M,6.1M,22.3M,7.4M,32.3M,22.3M,4.3M,136.9M,11.3,14.6,16.3,6.1,22.3,7.4,32.3,22.3,4.3,136.9,13.5713,17.5346,19.5763,7.3261,26.7823,8.8874,38.7923,26.7823,5.1643,16.2991313
Atlanta Falcons,2019,52,31.9M,11.3M,25.3M,4.1M,43.2M,34.4M,15.6M,13.7M,2.5M,181.9M,31.9,11.3,25.3,4.1,43.2,34.4,15.6,13.7,2.5,181.9,38.3119,13.5713,30.3853,4.9241,51.8832,41.3144,18.7356,16.4537,3.0025,46.0125919
Baltimore Ravens,2019,53,5.0M,10.0M,14.1M,9.6M,23.8M,18.0M,9.4M,52.1M,9.4M,151.5M,5,10,14.1,9.6,23.8,18,9.4,52.1,9.4,151.5,6.005,12.01,16.9341,11.5296,28.5838,21.618,11.2894,62.5721,11.2894,7.212005
Buffalo Bills,2019,53,7.4M,7.4M,20.2M,10.8M,30.1M,42.5M,9.7M,19.1M,5.5M,152.5M,7.4,7.4,20.2,10.8,30.1,42.5,9.7,19.1,5.5,152.5,8.8874,8.8874,24.2602,12.9708,36.1501,51.0425,11.6497,22.9391,6.6055,10.6737674
Carolina Panthers,2019,53,1.5M,8.4M,9.6M,10.5M,32.8M,15.1M,43.5M,18.8M,4.1M,144.2M,1.5,8.4,9.6,10.5,32.8,15.1,43.5,18.8,4.1,144.2,1.8015,10.0884,11.5296,12.6105,39.3928,18.1351,52.2435,22.5788,4.9241,2.1636015
Chicago Bears,2019,53,12.3M,2.3M,28.8M,2.7M,33.0M,26.1M,33.1M,35.0M,3.1M,176.4M,12.3,2.3,28.8,2.7,33,26.1,33.1,35,3.1,176.4,14.7723,2.7623,34.5888,3.2427,39.633,31.3461,39.7531,42.035,3.7231,17.7415323
Cincinnati Bengals,2019,52,17.4M,6.9M,19.0M,11.8M,35.6M,34.0M,4.4M,17.5M,5.9M,152.4M,17.4,6.9,19,11.8,35.6,34,4.4,17.5,5.9,152.4,20.8974,8.2869,22.819,14.1718,42.7556,40.834,5.2844,21.0175,7.0859,25.0977774
Cleveland Browns,2019,53,8.9M,3.5M,37.3M,7.1M,41.7M,33.8M,6.0M,25.4M,2.3M,166.0M,8.9,3.5,37.3,7.1,41.7,33.8,6,25.4,2.3,166,10.6889,4.2035,44.7973,8.5271,50.0817,40.5938,7.206,30.5054,2.7623,12.8373689
Dallas Cowboys,2019,52,1.2M,17.6M,14.5M,5.5M,52.1M,45.0M,19.8M,9.2M,4.2M,169.1M,1.2,17.6,14.5,5.5,52.1,45,19.8,9.2,4.2,169.1,1.4412,21.1376,17.4145,6.6055,62.5721,54.045,23.7798,11.0492,5.0442,1.7308812
Denver Broncos,2019,52,2.4M,2.2M,4.1M,8.4M,30.3M,8.5M,27.5M,17.8M,5.3M,106.5M,2.4,2.2,4.1,8.4,30.3,8.5,27.5,17.8,5.3,106.5,2.8824,2.6422,4.9241,10.0884,36.3903,10.2085,33.0275,21.3778,6.3653,3.4617624
Detroit Lions,2019,53,1.3M,4.1M,6.4M,7.0M,19.8M,37.1M,8.3M,32.8M,8.3M,125.0M,1.3,4.1,6.4,7,19.8,37.1,8.3,32.8,8.3,125,1.5613,4.9241,7.6864,8.407,23.7798,44.5571,9.9683,39.3928,9.9683,1.8751213
Green Bay Packers,2019,52,34.1M,3.4M,19.9M,13.7M,42.6M,11.2M,37.2M,26.0M,5.3M,193.3M,34.1,3.4,19.9,13.7,42.6,11.2,37.2,26,5.3,193.3,40.9541,4.0834,23.8999,16.4537,51.1626,13.4512,44.6772,31.226,6.3653,49.1858741
Houston Texans,2019,53,6.5M,10.2M,28.6M,3.0M,27.4M,25.4M,32.9M,27.5M,6.8M,168.4M,6.5,10.2,28.6,3,27.4,25.4,32.9,27.5,6.8,168.4,7.8065,12.2502,34.3486,3.603,32.9074,30.5054,39.5129,33.0275,8.1668,9.3756065
Indianapolis Colts,2019,53,19.6M,2.9M,16.2M,7.6M,29.4M,35.5M,5.9M,28.0M,4.7M,149.7M,19.6,2.9,16.2,7.6,29.4,35.5,5.9,28,4.7,149.7,23.5396,3.4829,19.4562,9.1276,35.3094,42.6355,7.0859,33.628,5.6447,28.2710596
Jacksonville Jaguars,2019,53,23.4M,8.1M,5.8M,2.7M,35.6M,31.2M,3.7M,28.8M,5.1M,144.5M,23.4,8.1,5.8,2.7,35.6,31.2,3.7,28.8,5.1,144.5,28.1034,9.7281,6.9658,3.2427,42.7556,37.4712,4.4437,34.5888,6.1251,33.7521834
Kansas City Chiefs,2019,53,8.5M,7.2M,36.5M,10.8M,37.7M,28.6M,22.9M,28.5M,7.4M,188.2M,8.5,7.2,36.5,10.8,37.7,28.6,22.9,28.5,7.4,188.2,10.2085,8.6472,43.8365,12.9708,45.2777,34.3486,27.5029,34.2285,8.8874,12.2604085
Los Angeles Chargers,2019,53,27.0M,5.1M,17.8M,5.4M,20.9M,34.9M,17.1M,20.1M,1.7M,150.0M,27,5.1,17.8,5.4,20.9,34.9,17.1,20.1,1.7,150,32.427,6.1251,21.3778,6.4854,25.1009,41.9149,20.5371,24.1401,2.0417,38.944827
Los Angeles Rams,2019,53,34.5M,17.1M,25.9M,9.8M,25.0M,36.3M,23.6M,23.1M,7.2M,202.6M,34.5,17.1,25.9,9.8,25,36.3,23.6,23.1,7.2,202.6,41.4345,20.5371,31.1059,11.7698,30.025,43.5963,28.3436,27.7431,8.6472,49.7628345
Miami Dolphins,2019,53,9.9M,2.5M,21.1M,3.1M,15.7M,12.3M,4.6M,11.2M,1.8M,82.1M,9.9,2.5,21.1,3.1,15.7,12.3,4.6,11.2,1.8,82.1,11.8899,3.0025,25.3411,3.7231,18.8557,14.7723,5.5246,13.4512,2.1618,14.2797699
Minnesota Vikings,2019,51,28.9M,4.5M,32.4M,11.1M,27.2M,48.4M,25.8M,34.8M,2.6M,215.7M,28.9,4.5,32.4,11.1,27.2,48.4,25.8,34.8,2.6,215.7,34.7089,5.4045,38.9124,13.3311,32.6672,58.1284,30.9858,41.7948,3.1226,41.6853889
New England Patriots,2019,53,24.6M,12.4M,22.6M,2.8M,22.7M,9.9M,18.8M,50.5M,2.8M,167.0M,24.6,12.4,22.6,2.8,22.7,9.9,18.8,50.5,2.8,167,29.5446,14.8924,27.1426,3.3628,27.2627,11.8899,22.5788,60.6505,3.3628,35.4830646
New Orleans Saints,2019,52,32.8M,6.3M,24.9M,10.5M,35.9M,28.9M,24.9M,32.9M,8.7M,205.7M,32.8,6.3,24.9,10.5,35.9,28.9,24.9,32.9,8.7,205.7,39.3928,7.5663,29.9049,12.6105,43.1159,34.7089,29.9049,39.5129,10.4487,47.3107528
New York Giants,2019,53,28.3M,10.0M,23.6M,1.5M,35.6M,11.4M,24.1M,13.2M,4.2M,151.9M,28.3,10,23.6,1.5,35.6,11.4,24.1,13.2,4.2,151.9,33.9883,12.01,28.3436,1.8015,42.7556,13.6914,28.9441,15.8532,5.0442,40.8199483
