Player Name,Team,Year,Rookie Contract (Y/N),Contract Length,Total Pay,Yearly Pay (AAV),Team Payroll,Player Percentage of Payroll,Games Played,Snaps Played,Backfield Snaps,Slot Snaps,Wide snaps,QB Pressure Allowed (PR),Total Pressure Oppurtnuties (OPP),Rush Attempts,Rush Yards,Rush YPA,Rush TDs,Rush Yac (YCO),Fumbles,Explosive Runs (10+),Recieving Targets,Recieving Receptions,Recieving Yards,Y/Rec,Receiving TDs,YAC/REC,All-Purpose Yards,Team Rushing Yards,Team Total Yards,Team Total Touchdowns,Player Percentage of Rushing Yards,Player Percentage of Offensive Yards,Player Percentage of Touchdowns,AAV Adjusted,Total Pay Adjusted,Payroll Adjusted,Extra Contract Data,Guaranteed Money On Current Deal,Money Spent On RBs This Year,Player: Total # of Contracts,Player: # of Years in NFL,GM adjusted,Money spent adjusted
Kenyan Drake,ARI,2020,N,1,8483000,8483000,194162965,0.04369010331,15,615,598,15,1,1,54,239,955,3.9958159,10,595,3,25,29,25,137,5.48,0,6.7,1092,2237,6153,49,0.4269110416,0.1774744027,0.2040816327,10060838,10060838,230277276.5,,8483000,10600000,7,8,10060838,12571600
Todd Gurley,ATL,2020,N,1,5500000,5500000,199355990,0.02758883744,15,507,498,4,5,6,53,195,678,3.476923077,9,491,2,16,31,25,164,6.56,0,5,842,1532,5895,40,0.4425587467,0.1428329092,0.225,6523000,6523000,236436204.1,,5500000,10600000,3,6,6523000,12571600
Gus Edwards,BAL,2020,N,1,750000,750000,190989245,0.003926922691,18,425,384,7,7,4,31,162,803,4.956790123,6,531,2,18,11,9,129,14.33333333,0,10.3,932,3071,5810,51,0.2614783458,0.1604130809,0.1176470588,889500,889500,226513244.6,,0,11000000,4,6,0,13046000
Devin Singletary,BUF,2020,Y,4,3898000,974500,218228694,0.004465498932,19,747,645,22,80,4,86,172,750,4.360465116,2,545,1,23,56,46,313,6.804347826,0,6.9,1063,1723,6343,56,0.4352872896,0.1675863156,0.03571428571,1155757,4623028,258819231.1,,1035824,5100000,2,5,1228487.264,6048600
Mike Davis,CAR,2020,N,2,6000000,3000000,204039300,0.01470304985,15,612,525,27,27,6,59,165,642,3.890909091,6,489,1,14,67,59,373,6.322033898,2,7.3,1015,1704,5592,35,0.3767605634,0.181509299,0.2285714286,3558000,7116000,241990609.8,,3000000,12700000,6,8,3558000,15062200
David Montgomery,CHI,2020,Y,4,4015380,1003845,204713154,0.004903666327,16,797,755,17,23,5,73,259,1101,4.250965251,8,800,1,24,64,54,438,8.111111111,2,7.7,1539,1647,5302,38,0.6684881603,0.2902678235,0.2631578947,1190560.17,4762240.68,242789800.6,,1046180,2100000,2,5,1240769.48,2490600
Joe Mixon,CIN,2020,N,4,48000000,12000000,197637354,0.06071726704,6,291,257,20,14,0,23,119,428,3.596638655,3,303,1,6,23,21,138,6.571428571,1,8.5,566,1668,5116,32,0.2565947242,0.1106333073,0.125,14232000,56928000,234397901.8,,10000000,6300000,2,7,11860000,7471800
Nick Chubb,CLE,2020,Y,4,7383095,1845773.75,199101772,0.009270503881,14,482,434,9,39,0,37,221,1212,5.484162896,12,883,1,39,27,22,223,10.13636364,1,10.2,1435,2374,5913,48,0.5105307498,0.242685608,0.2708333333,2189087.668,8756350.67,236134701.6,,5896309,8000000,2,6,6993022.474,9488000
Ezekiel Elliot,DAL,2020,N,6,90000000,15000000,191282501,0.0784180462,15,789,727,30,32,9,92,244,979,4.012295082,6,688,6,22,68,52,338,6.5,1,7.1,1317,1788,5949,27,0.5475391499,0.2213817448,0.2592592593,17790000,106740000,226861046.2,,50052137,12400000,3,8,59361834.48,14706400
Melvin Gordon,DEN,2020,N,2,16000000,8000000,195780141,0.04086216283,15,627,598,4,25,9,61,215,986,4.586046512,9,669,6,26,42,32,158,4.9375,1,5.5,1144,1918,5369,34,0.5140771637,0.2130750605,0.2941176471,9488000,18976000,232195247.2,,13500000,8200000,5,9,16011000,9725200
Adrian Peterson,DET,2020,N,1,1050000,1050000,201274115,0.0052167662,16,314,311,2,1,1,27,155,608,3.922580645,7,396,0,13,17,12,101,8.416666667,0,8.5,709,1499,5603,44,0.4056037358,0.1265393539,0.1590909091,1245300,1245300,238711100.4,,1050000,4800000,8,15,1245300,5692800
Aaron Jones,GB,2020,Y,4,2601937,650484.25,199876795,0.003254426058,16,608,506,52,50,5,48,221,1230,5.56561086,10,795,4,77,68,52,376,7.230769231,2,7.6,1606,2118,6224,64,0.5807365439,0.258033419,0.1875,771474.3205,3085897.282,237053878.9,,201937,5400000,2,7,239497.282,6404400
David Johnson,HOU,2020,N,3,39000000,13000000,210781361,0.06167528257,12,551,461,24,66,5,40,147,691,4.700680272,6,383,4,18,46,33,314,9.515151515,2,7.5,1005,1466,6004,43,0.4713506139,0.1673884077,0.1860465116,15418000,46254000,249986694.1,,31882500,16100000,4,8,37812645,19094600
Jonathan Taylor,IND,2020,Y,4,7829150,1957287.5,231385518,0.008458988777,16,557,544,11,2,7,25,253,1247,4.928853755,12,747,1,38,42,38,305,8.026315789,1,10.1,1552,1996,6049,44,0.624749499,0.2565713341,0.2954545455,2321342.975,9285371.9,274423224.3,,4219798,2400000,2,4,5004680.428,2846400
