Teams,Year,Players,QBX,RBX,WRX,TEX,OLX,DLX,LBX,DBX,Special TeamsX,TotalX,QB,RB,WR,TE,OL,DL,LB,DB,Special Teams,Total,QB Adjusted,RB Adjusted,WR Adjusted,TE Adjusted,OL Adjusted,DL Adjusted,LB Adjusted,DB Adjusted,Special Teams Adjusted,Total Adjusted
Arizona Cardinals,2021,56,11.0M,4.0M,11.8M,11.4M,40.0M,30.1M,51.1M,23.5M,5.8M,188.7M,11,4,11.8,11.4,40,30.1,51.1,23.5,5.8,188.7,12.463,4.532,13.3694,12.9162,45.32,34.1033,57.8963,26.6255,6.5714,14.120579
Atlanta Falcons,2021,55,30.9M,9.0M,4.7M,15.5M,27.0M,28.2M,34.9M,11.9M,3.1M,165.1M,30.9,9,4.7,15.5,27,28.2,34.9,11.9,3.1,165.1,35.0097,10.197,5.3251,17.5615,30.591,31.9506,39.5417,13.4827,3.5123,39.6659901
Baltimore Ravens,2021,56,4.2M,2.8M,15.0M,23.2M,24.9M,27.2M,20.1M,23.6M,8.1M,149.2M,4.2,2.8,15,23.2,24.9,27.2,20.1,23.6,8.1,149.2,4.7586,3.1724,16.995,26.2856,28.2117,30.8176,22.7733,26.7388,9.1773,5.3914938
Buffalo Bills,2021,55,45.5M,5.7M,31.6M,1.5M,44.1M,48.6M,25.7M,32.9M,4.0M,239.8M,45.5,5.7,31.6,1.5,44.1,48.6,25.7,32.9,4,239.8,51.5515,6.4581,35.8028,1.6995,49.9653,55.0638,29.1181,37.2757,4.532,58.4078495
Carolina Panthers,2021,56,14.3M,3.6M,22.0M,2.0M,29.5M,22.6M,24.1M,30.0M,2.9M,151.0M,14.3,3.6,22,2,29.5,22.6,24.1,30,2.9,151,16.2019,4.0788,24.926,2.266,33.4235,25.6058,27.3053,33.99,3.2857,18.3567527
Chicago Bears,2021,53,18.0M,4.3M,21.8M,12.4M,24.4M,33.5M,23.4M,24.5M,5.9M,168.1M,18,4.3,21.8,12.4,24.4,33.5,23.4,24.5,5.9,168.1,20.394,4.8719,24.6994,14.0492,27.6452,37.9555,26.5122,27.7585,6.6847,23.106402
Cincinnati Bengals,2021,61,11.2M,15.4M,24.0M,8.1M,22.0M,48.0M,5.3M,42.7M,3.8M,180.6M,11.2,15.4,24,8.1,22,48,5.3,42.7,3.8,180.6,12.6896,17.4482,27.192,9.1773,24.926,54.384,6.0049,48.3791,4.3054,14.3773168
Cleveland Browns,2021,56,6.9M,21.5M,21.3M,13.9M,50.1M,42.2M,9.2M,28.9M,2.9M,196.9M,6.9,21.5,21.3,13.9,50.1,42.2,9.2,28.9,2.9,196.9,7.8177,24.3595,24.1329,15.7487,56.7633,47.8126,10.4236,32.7437,3.2857,8.8574541
Dallas Cowboys,2021,58,41.0M,18.4M,28.6M,8.1M,42.8M,33.1M,12.5M,23.7M,4.7M,212.9M,41,18.4,28.6,8.1,42.8,33.1,12.5,23.7,4.7,212.9,46.453,20.8472,32.4038,9.1773,48.4924,37.5023,14.1625,26.8521,5.3251,52.631249
Denver Broncos,2021,55,2.5M,12.1M,33.2M,5.1M,25.5M,21.6M,13.5M,38.6M,7.3M,159.6M,2.5,12.1,33.2,5.1,25.5,21.6,13.5,38.6,7.3,159.6,2.8325,13.7093,37.6156,5.7783,28.8915,24.4728,15.2955,43.7338,8.2709,3.2092225
Detroit Lions,2021,56,36.8M,7.8M,6.3M,2.0M,35.9M,18.8M,9.3M,9.0M,2.3M,128.1M,36.8,7.8,6.3,2,35.9,18.8,9.3,9,2.3,128.1,41.6944,8.8374,7.1379,2.266,40.6747,21.3004,10.5369,10.197,2.6059,47.2397552
Green Bay Packers,2021,58,36.6M,14.0M,27.7M,5.6M,38.0M,29.4M,39.8M,30.2M,6.0M,227.3M,36.6,14,27.7,5.6,38,29.4,39.8,30.2,6,227.3,41.4678,15.862,31.3841,6.3448,43.054,33.3102,45.0934,34.2166,6.798,46.9830174
Houston Texans,2021,56,45.8M,7.5M,22.4M,4.4M,13.3M,17.8M,16.0M,22.2M,8.3M,157.7M,45.8,7.5,22.4,4.4,13.3,17.8,16,22.2,8.3,157.7,51.8914,8.4975,25.3792,4.9852,15.0689,20.1674,18.128,25.1526,9.4039,58.7929562
Indianapolis Colts,2021,57,33.9M,11.0M,17.0M,11.5M,54.5M,45.9M,23.4M,24.9M,5.0M,227.2M,33.9,11,17,11.5,54.5,45.9,23.4,24.9,5,227.2,38.4087,12.463,19.261,13.0295,61.7485,52.0047,26.5122,28.2117,5.665,43.5170571
Jacksonville Jaguars,2021,58,9.9M,3.0M,11.9M,7.7M,46.5M,24.2M,32.7M,23.4M,3.1M,162.3M,9.9,3,11.9,7.7,46.5,24.2,32.7,23.4,3.1,162.3,11.2167,3.399,13.4827,8.7241,52.6845,27.4186,37.0491,26.5122,3.5123,12.7085211
