Teams,Year,Players,QBX,RBX,WRX,TEX,OLX,DLX,LBX,DBX,Special TeamsX,TotalX,QB,RB,WR,TE,OL,DL,LB,DB,Special Teams,Total,QB Adjusted,RB Adjusted,WR Adjusted,TE Adjusted,OL Adjusted,DL Adjusted,LB Adjusted,DB Adjusted,Special Teams Adjusted,Total Adjusted
Kansas City Chiefs,2021,54,47.3M,6.9M,24.2M,16.4M,23.9M,51.9M,18.8M,26.7M,6.2M,222.4M,47.3,6.9,24.2,16.4,23.9,51.9,18.8,26.7,6.2,222.4,53.5909,7.8177,27.4186,18.5812,27.0787,58.8027,21.3004,30.2511,7.0246,60.7184897
Los Angeles Chargers,2021,53,9.3M,8.6M,27.8M,7.3M,28.2M,15.8M,36.5M,26.9M,2.6M,164.0M,9.3,8.6,27.8,7.3,28.2,15.8,36.5,26.9,2.6,164,10.5369,9.7438,31.4974,8.2709,31.9506,17.9014,41.3545,30.4777,2.9458,11.9383077
Los Angeles Rams,2021,54,28.5M,5.8M,20.2M,9.1M,26.6M,35.9M,39.0M,32.1M,5.4M,202.5M,28.5,5.8,20.2,9.1,26.6,35.9,39,32.1,5.4,202.5,32.2905,6.5714,22.8866,10.3103,30.1378,40.6747,44.187,36.3693,6.1182,36.5851365
Las Vegas Raiders,2021,54,28.5M,7.5M,7.2M,9.9M,32.7M,43.2M,22.1M,11.6M,8.7M,171.3M,28.5,7.5,7.2,9.9,32.7,43.2,22.1,11.6,8.7,171.3,32.2905,8.4975,8.1576,11.2167,37.0491,48.9456,25.0393,13.1428,9.8571,36.5851365
Miami Dolphins,2021,55,12.6M,5.6M,20.0M,8.7M,16.2M,25.9M,19.9M,50.8M,6.7M,166.3M,12.6,5.6,20,8.7,16.2,25.9,19.9,50.8,6.7,166.3,14.2758,6.3448,22.66,9.8571,18.3546,29.3447,22.5467,57.5564,7.5911,16.1744814
Minnesota Vikings,2021,56,35.3M,18.5M,7.0M,3.1M,33.2M,28.8M,14.0M,32.6M,2.7M,175.2M,35.3,18.5,7,3.1,33.2,28.8,14,32.6,2.7,175.2,39.9949,20.9605,7.931,3.5123,37.6156,32.6304,15.862,36.9358,3.0591,45.3142217
New England Patriots,2021,59,5.8M,5.4M,23.0M,26.1M,32.0M,20.9M,35.3M,37.4M,2.9M,188.7M,5.8,5.4,23,26.1,32,20.9,35.3,37.4,2.9,188.7,6.5714,6.1182,26.059,29.5713,36.256,23.6797,39.9949,42.3742,3.2857,7.4453962
New Orleans Saints,2021,54,12.0M,21.2M,4.8M,3.8M,43.8M,34.1M,14.1M,57.0M,2.8M,193.7M,12,21.2,4.8,3.8,43.8,34.1,14.1,57,2.8,193.7,13.596,24.0196,5.4384,4.3054,49.6254,38.6353,15.9753,64.581,3.1724,15.404268
New York Giants,2021,49,2.0M,12.5M,26.7M,8.7M,32.1M,30.2M,7.4M,45.0M,8.6M,173.1M,2,12.5,26.7,8.7,32.1,30.2,7.4,45,8.6,173.1,2.266,14.1625,30.2511,9.8571,36.3693,34.2166,8.3842,50.985,9.7438,2.567378
New York Jets,2021,55,13.1M,5.5M,17.8M,3.3M,27.0M,33.0M,19.4M,12.8M,2.7M,134.7M,13.1,5.5,17.8,3.3,27,33,19.4,12.8,2.7,134.7,14.8423,6.2315,20.1674,3.7389,30.591,37.389,21.9802,14.5024,3.0591,16.8163259
Philadelphia Eagles,2021,62,2.9M,5.0M,10.1M,16.8M,52.6M,57.7M,3.9M,43.0M,5.7M,197.7M,2.9,5,10.1,16.8,52.6,57.7,3.9,43,5.7,197.7,3.2857,5.665,11.4433,19.0344,59.5958,65.3741,4.4187,48.719,6.4581,3.7226981
Pittsburgh Steelers,2021,53,19.9M,9.2M,13.5M,3.0M,13.3M,23.8M,46.9M,31.3M,5.8M,166.7M,19.9,9.2,13.5,3,13.3,23.8,46.9,31.3,5.8,166.7,22.5467,10.4236,15.2955,3.399,15.0689,26.9654,53.1377,35.4629,6.5714,25.5454111
Seattle Seahawks,2021,56,37.2M,7.2M,22.8M,8.4M,27.2M,30.7M,22.6M,14.3M,8.6M,179.1M,37.2,7.2,22.8,8.4,27.2,30.7,22.6,14.3,8.6,179.1,42.1476,8.1576,25.8324,9.5172,30.8176,34.7831,25.6058,16.2019,9.7438,47.7532308
San Francisco 49ers,2021,55,36.0M,10.3M,8.7M,17.5M,39.7M,34.0M,28.0M,26.3M,5.5M,206.0M,36,10.3,8.7,17.5,39.7,34,28,26.3,5.5,206,40.788,11.6699,9.8571,19.8275,44.9801,38.522,31.724,29.7979,6.2315,46.212804
Tampa Bay Buccaneers,2021,57,28.4M,8.4M,21.6M,19.4M,46.0M,38.8M,54.0M,11.3M,7.6M,235.4M,28.4,8.4,21.6,19.4,46,38.8,54,11.3,7.6,235.4,32.1772,9.5172,24.4728,21.9802,52.118,43.9604,61.182,12.8029,8.6108,36.4567676
Tennessee Titans,2021,56,30.2M,17.0M,26.6M,6.4M,42.1M,15.3M,45.1M,28.6M,5.5M,216.8M,30.2,17,26.6,6.4,42.1,15.3,45.1,28.6,5.5,216.8,34.2166,19.261,30.1378,7.2512,47.6993,17.3349,51.0983,32.4038,6.2315,38.7674078
Washington Football Team,2021,56,4.1M,4.0M,18.9M,2.7M,47.3M,37.3M,6.4M,31.9M,5.8M,158.5M,4.1,4,18.9,2.7,47.3,37.3,6.4,31.9,5.8,158.5,4.6453,4.532,21.4137,3.0591,53.5909,42.2609,7.2512,36.1427,6.5714,5.2631249
