Player Name,Team,Year,Rookie Contract (Y/N),Contract Length,Total Pay,Yearly Pay (AAV),Team Payroll,Player Percentage of Payroll,Games Played,Snaps Played,Backfield Snaps,Slot Snaps,Wide snaps,QB Pressure Allowed (PR),Total Pressure Oppurtnuties (OPP),Rush Attempts,Rush Yards,Rush YPA,Rush TDs,Rush Yac (YCO),Fumbles,Explosive Runs (10+),Recieving Targets,Recieving Receptions,Recieving Yards,Y/Rec,Receiving TDs,YAC/REC,All-Purpose Yards,Team Rushing Yards,Team Total Yards,Team Total Touchdowns,Player Percentage of Rushing Yards,Player Percentage of Offensive Yards,Player Percentage of Touchdowns,AAV Adjusted,Total Pay Adjusted,Payroll Adjusted,Extra Contract Data,Guaranteed Money On Current Deal,Money Spent On RBs This Year,Player: Total # of Contracts,Player: # of Years in NFL,GM adjusted,Money spent adjusted
James Conner,ARI,2022,N,3,21000000,7000000,204825664,0.03417540489,13,662,578,48,28,4,79,183,782,4.273224044,7,515,3,15,56,46,301,6.543478261,1,8.4,1083,1873,5499,32,0.4175120128,0.1969448991,0.25,7343000,22029000,214862121.5,,13500000,5200000,3,7,14161500,5454800
Tyler Allgeier,ATL,2022,Y,4,3993896,998474,201717487,0.00494986337,16,527,476,4,15,3,57,210,1035,4.928571429,3,752,0,21,17,16,139,8.6875,1,10.8,1174,2718,5417,34,0.380794702,0.2167251246,0.1176470588,1047399.226,4189596.904,211601643.9,,333896,5800000,1,2,350256.904,6084200
J.K. Dobbins,BAL,2022,Y,4,5729436,1432359,204617520,0.007000177697,9,235,212,15,8,4,25,105,582,5.542857143,2,319,0,19,13,11,85,7.727272727,2,7.1,667,2720,5760,33,0.2139705882,0.1157986111,0.1212121212,1502544.591,6010178.364,214643778.5,,2597291,10400000,1,4,2724558.259,10909600
Devin Singletary,BUF,2022,Y,4,3898000,974500,206691460,0.004714756962,18,794,690,71,33,8,86,193,892,4.621761658,5,564,3,22,53,43,317,7.372093023,1,7.1,1209,2232,6361,50,0.3996415771,0.1900644553,0.12,1022250.5,4089002,216819341.5,,1035824,8200000,2,5,1086579.376,8601800
D'Onta Foreman,CAR,2022,N,1,2000000,2000000,202249051,0.009888797945,17,354,354,0,0,2,12,203,913,4.497536946,5,661,1,21,8,5,26,5.2,0,5.8,939,2210,5206,32,0.4131221719,0.1803688052,0.15625,2098000,2098000,212159254.5,,940000,4500000,5,7,986060,4720500
David Montgomery,CHI,2022,Y,4,4015380,1003845,204696905,0.004904055584,16,629,554,37,32,4,49,201,801,3.985074627,5,582,3,17,39,34,316,9.294117647,1,8.5,1117,3014,5233,37,0.2657597877,0.2134530862,0.1621621622,1053033.405,4212133.62,214727053.3,,1046180,6800000,2,5,1097442.82,7133200
Joe Mixon,CIN,2022,N,4,48000000,12000000,210200068,0.05708846869,17,719,657,20,42,4,62,249,978,3.927710843,8,651,0,21,79,68,491,7.220588235,2,7.8,1469,1528,5768,49,0.640052356,0.2546809986,0.2040816327,12588000,50352000,220499871.3,,10000000,15100000,2,7,10490000,15839900
Nick Chubb,CLE,2022,N,3,36600000,12200000,186513983,0.06541064538,17,660,605,12,34,5,48,302,1525,5.049668874,12,1050,1,47,33,27,239,8.851851852,1,9.7,1764,2490,5934,38,0.6124497992,0.2972699697,0.3421052632,12797800,38393400,195653168.2,,20000000,13400000,2,6,20980000,14056600
Tony Pollard,DAL,2022,Y,4,3187780,796945,215338768,0.003700889568,18,634,532,38,56,5,60,214,1106,5.168224299,9,805,0,35,56,44,394,8.954545455,3,8.5,1500,2298,6034,52,0.4812880766,0.2485913159,0.2307692308,835995.305,3343981.22,225890367.6,,667780,19800000,2,5,700501.22,20770200
Latavius Murray,DEN,2022,N,1,1120000,1120000,210892216,0.005310769744,12,447,422,13,10,5,41,160,688,4.3,5,406,1,14,30,26,124,4.769230769,0,6.8,812,1935,5527,29,0.3555555556,0.1469151438,0.1724137931,1174880,1174880,221225934.6,,0,3100000,6,11,0,3251900
Jamaal Williams,DET,2022,N,2,6000000,3000000,214423875,0.01399097932,17,459,450,0,9,2,56,262,1066,4.06870229,17,729,3,22,16,12,73,6.083333333,0,5.7,1139,2179,6460,52,0.4892152363,0.1763157895,0.3269230769,3147000,6294000,224930644.9,,3250000,9900000,3,7,3409250,10385100
Aaron Jones,GB,2022,N,4,48000000,12000000,211925991,0.05662354081,17,633,498,59,51,4,37,214,1125,5.257009346,2,684,7,31,72,59,395,6.694915254,5,8.2,1520,2113,5745,39,0.5324183625,0.2645778938,0.1794871795,12588000,50352000,222310364.6,,13000000,7500000,2,7,13637000,7867500
Dameon Pierce,HOU,2022,Y,4,4475432,1118858,212666643,0.00526108836,13,507,484,11,12,5,52,220,939,4.268181818,4,722,4,22,36,30,165,5.5,1,6.7,1104,1476,4820,27,0.6361788618,0.2290456432,0.1851851852,1173682.042,4694728.168,223087308.5,,815432,4800000,1,2,855388.168,5035200
Jonathan Taylor,IND,2022,Y,4,7829150,1957287.5,205811217,0.009510110909,11,522,502,8,11,5,36,192,861,4.484375,4,592,3,21,34,28,143,5.107142857,0,7.5,1004,1866,5298,25,0.461414791,0.1895054738,0.16,2053194.588,8212778.35,215895966.6,,4219798,1400000,2,4,4426568.102,1468600
Travis Etienne,JAX,2022,Y,4,12898105,3224526.25,231233180,0.01394491158,19,759,696,24,31,10,73,251,1291,5.143426295,6,780,7,30,47,39,346,8.871794872,0,10.4,1637,2116,6075,41,0.6101134216,0.2694650206,0.1463414634,3382528.036,13530112.15,242563605.8,,12898105,4600000,1,2,13530112.15,4825400
Isiah Pacheco,KC,2022,Y,4,3739108,934777,205249141,0.0045543528,20,577,413,6,19,7,25,207,1027,4.961352657,6,653,3,20,20,19,195,10.26315789,0,13.6,1222,1970,7032,59,0.521319797,0.1737770193,0.1016949153,980581.073,3922324.292,215306348.9,,79108,4300000,1,2,82984.292,4510700
Josh Jacobs,OAK/LV,2022,Y,4,11933398,2983349.5,199666719,0.01494164633,17,821,783,5,32,8,80,339,1653,4.876106195,12,1156,4,41,61,53,400,7.547169811,0,7.2,2053,2059,5993,40,0.8028169014,0.3425663274,0.3,3129533.626,12518134.5,209450388.2,,10091000,10100000,3,5,10585459,10594900
Austin Ekeler,SD/LAC,2022,N,4,24500000,6125000,212129671,0.02887384858,18,780,710,52,17,6,56,217,950,4.377880184,15,633,7,23,126,109,731,6.706422018,5,8,1681,1524,6108,41,0.6233595801,0.2752128356,0.487804878,6425125,25700500,222524024.9,,15000000,9700000,2,7,15735000,10175300
Cam Akers,STL/LAR,2022,Y,4,6173035,1543258.75,200270156,0.007705884795,15,428,413,4,11,2,37,188,786,4.180851064,7,523,2,17,17,13,117,9,0,10.6,903,1661,4769,31,0.4732089103,0.1893478717,0.2258064516,1618878.429,6475513.715,210083393.6,,2940072,2800000,1,4,3084135.528,2937200
