Player Name,Team,Year,Rookie Contract (Y/N),Contract Length,Total Pay,Yearly Pay (AAV),Team Payroll,Player Percentage of Payroll,Games Played,Snaps Played,Backfield Snaps,Slot Snaps,Wide snaps,QB Pressure Allowed (PR),Total Pressure Oppurtnuties (OPP),Rush Attempts,Rush Yards,Rush YPA,Rush TDs,Rush Yac (YCO),Fumbles,Explosive Runs (10+),Recieving Targets,Recieving Receptions,Recieving Yards,Y/Rec,Receiving TDs,YAC/REC,All-Purpose Yards,Team Rushing Yards,Team Total Yards,Team Total Touchdowns,Player Percentage of Rushing Yards,Player Percentage of Offensive Yards,Player Percentage of Touchdowns,AAV Adjusted,Total Pay Adjusted,Payroll Adjusted,Extra Contract Data,Guaranteed Money On Current Deal,Money Spent On RBs This Year,Player: Total # of Contracts,Player: # of Years in NFL,GM adjusted,Money spent adjusted
Raheem Mostert,MIA,2022,N,1,2125000,2125000,208559442,0.01018894172,16,626,467,58,25,0,30,181,892,4.928176796,3,637,1,27,39,31,202,6.516129032,2,6.1,1094,1686,6197,42,0.5290628707,0.176537034,0.119047619,2229125,2229125,218778854.7,,1000000,6200000,8,9,1049000,6503800
Dalvin Cook,MIN,2022,N,5,63000000,12600000,208790359,0.06034761404,18,891,796,9,36,13,132,280,1243,4.439285714,8,885,5,31,58,45,305,6.777777778,2,8,1548,1661,6145,48,0.7483443709,0.2519121237,0.2083333333,13217400,66087000,219021086.6,,28125000,18100000,3,7,29503125,18986900
Rhamondre Stevenson,NE,2022,Y,4,4229056,1057264,208004554,0.005082888714,17,700,644,39,13,5,81,210,1041,4.957142857,5,801,6,30,87,69,421,6.101449275,1,7.2,1462,1812,5348,31,0.5745033113,0.2733732236,0.1935483871,1109069.936,4436279.744,218196777.1,,749056,3600000,1,3,785759.744,3776400
Alvin Kamara,NO,2022,N,5,75000000,15000000,206828041,0.07252401525,15,642,566,26,38,7,45,223,897,4.022421525,2,606,6,20,71,57,490,8.596491228,2,8.2,1387,1982,5674,36,0.4525731584,0.2444483609,0.1111111111,15735000,78675000,216962615,,33833000,6900000,2,7,35490817,7238100
Saquon Barkley,NYG,2022,Y,4,31194751,7798687.75,203667109,0.03829134605,18,955,843,42,30,6,76,313,1426,4.555910543,12,862,1,35,82,64,415,6.484375,0,8.4,1841,2519,5676,38,0.5660976578,0.3243481325,0.3157894737,8180823.45,32723293.8,213646797.3,,31194751,9100000,2,6,32723293.8,9545900
Breece Hall,NYJ,2022,Y,4,9014774,2253693.5,202470545,0.01113096969,7,233,188,14,16,1,21,80,463,5.7875,4,330,2,15,30,19,218,11.47368421,1,7.7,681,1686,5409,28,0.2746144721,0.1259012757,0.1785714286,2364124.482,9456497.926,212391601.7,,6375487,3000000,1,2,6687885.863,3147000
Miles Sanders,PHI,2022,Y,4,5350175,1337543.75,219359743,0.006097489593,20,747,687,25,35,4,39,294,1419,4.826530612,13,856,4,39,28,21,81,3.857142857,0,4.9,1500,2509,6614,57,0.5655639697,0.2267916541,0.2280701754,1403083.394,5612333.575,230108370.4,,2649226,5200000,2,5,2779038.074,5454800
Najee Harris,PIT,2022,Y,4,13047447,3261861.75,210658592,0.01548411446,17,764,714,16,21,8,90,272,1038,3.816176471,7,746,4,20,53,41,229,5.585365854,3,5,1267,2073,5484,28,0.500723589,0.2310357403,0.3571428571,3421692.976,13686771.9,220980863,,13047447,9500000,1,3,13686771.9,9965500
Christian McCaffrey,SF,2022,N,4,64063500,16015875,206082457,0.07771585817,14,918,768,86,52,1,25,199,984,4.944723618,8,586,1,25,75,64,525,8.203125,5,7.3,1509,2360,6216,50,0.4169491525,0.2427606178,0.26,16800652.88,67202611.5,216180497.4,,38162500,5900000,2,7,40032462.5,6189100
Kenneth Walker III,SEA,2022,Y,4,8441581,2110395.25,215796566,0.009779559004,16,622,529,38,50,9,55,243,1113,4.580246914,10,748,0,29,35,28,168,6,0,8.1,1281,2042,5976,42,0.5450538688,0.2143574297,0.2380952381,2213804.617,8855218.469,226370597.7,,5439040,5400000,1,2,5705552.96,5664600
Leonard Fournette,TB,2022,N,3,21000000,7000000,202960773,0.03448942323,17,724,699,6,17,5,58,194,680,3.505154639,3,445,0,14,80,74,529,7.148648649,3,7.9,1209,1308,5894,31,0.5198776758,0.2051238548,0.1935483871,7343000,22029000,212905850.9,,12000000,15400000,5,7,12588000,16154600
Derrick Henry,TEN,2022,N,4,50000000,12500000,209793874,0.05958229267,16,648,614,7,15,4,55,349,1534,4.395415473,13,1257,8,37,39,33,398,12.06060606,0,12,1932,2131,5045,32,0.7198498358,0.3829534192,0.40625,13112500,52450000,220073773.8,,25500000,11300000,3,8,26749500,11853700
Brian Robinson,WAS,2022,Y,4,5044908,1261227,207402414,0.006081062297,12,351,345,4,2,3,23,205,797,3.887804878,2,552,2,18,12,9,60,6.666666667,1,8,857,2143,5615,33,0.3719085394,0.1526268923,0.09090909091,1323027.123,5292108.492,217565132.3,,849024,1800000,1,2,890626.176,1888200
