Teams,Year,Players,QBX,RBX,WRX,TEX,OLX,DLX,LBX,DBX,Special TeamsX,TotalX,QB,RB,WR,TE,OL,DL,LB,DB,Special Teams,Total,QB Adjusted,RB Adjusted,WR Adjusted,TE Adjusted,OL Adjusted,DL Adjusted,LB Adjusted,DB Adjusted,Special Teams Adjusted,Total Adjusted
Arizona Cardinals,2018,53,8.4M,15.2M,14.8M,9.0M,5.4M,25.9M,7.9M,29.3M,4.3M,120.0M,8.4,15.2,14.8,9,5.4,25.9,7.9,29.3,4.3,120,10.2732,18.5896,18.1004,11.007,6.6042,31.6757,9.6617,35.8339,5.2589,12.5641236
Atlanta Falcons,2018,53,34.5M,2.5M,25.3M,2.5M,35.8M,19.3M,4.9M,30.8M,7.5M,163.2M,34.5,2.5,25.3,2.5,35.8,19.3,4.9,30.8,7.5,163.2,42.1935,3.0575,30.9419,3.0575,43.7834,23.6039,5.9927,37.6684,9.1725,51.6026505
Baltimore Ravens,2018,53,25.6M,2.6M,16.9M,5.2M,20.8M,14.1M,14.3M,37.8M,8.6M,146.0M,25.6,2.6,16.9,5.2,20.8,14.1,14.3,37.8,8.6,146,31.3088,3.1798,20.6687,6.3596,25.4384,17.2443,17.4889,46.2294,10.5178,38.2906624
Buffalo Bills,2018,53,7.2M,13.4M,5.4M,8.9M,10.0M,37.6M,8.8M,17.3M,4.1M,112.8M,7.2,13.4,5.4,8.9,10,37.6,8.8,17.3,4.1,112.8,8.8056,16.3882,6.6042,10.8847,12.23,45.9848,10.7624,21.1579,5.0143,10.7692488
Carolina Panthers,2018,53,21.8M,6.3M,13.8M,2.0M,27.1M,44.2M,21.9M,13.6M,4.4M,155.1M,21.8,6.3,13.8,2,27.1,44.2,21.9,13.6,4.4,155.1,26.6614,7.7049,16.8774,2.446,33.1433,54.0566,26.7837,16.6328,5.3812,32.6068922
Chicago Bears,2018,53,12.3M,3.7M,28.5M,10.9M,32.2M,30.0M,41.1M,28.8M,5.9M,193.3M,12.3,3.7,28.5,10.9,32.2,30,41.1,28.8,5.9,193.3,15.0429,4.5251,34.8555,13.3307,39.3806,36.69,50.2653,35.2224,7.2157,18.3974667
Cincinnati Bengals,2018,53,1.4M,7.9M,9.1M,1.8M,26.6M,38.3M,17.5M,14.3M,5.9M,122.7M,1.4,7.9,9.1,1.8,26.6,38.3,17.5,14.3,5.9,122.7,1.7122,9.6617,11.1293,2.2014,32.5318,46.8409,21.4025,17.4889,7.2157,2.0940206
Cleveland Browns,2018,53,26.7M,7.6M,18.4M,7.1M,38.2M,17.8M,16.1M,26.8M,4.4M,163.0M,26.7,7.6,18.4,7.1,38.2,17.8,16.1,26.8,4.4,163,32.6541,9.2948,22.5032,8.6833,46.7186,21.7694,19.6903,32.7764,5.3812,39.9359643
Dallas Cowboys,2018,52,1.9M,9.5M,17.6M,1.9M,40.2M,35.1M,16.3M,9.1M,3.8M,135.3M,1.9,9.5,17.6,1.9,40.2,35.1,16.3,9.1,3.8,135.3,2.3237,11.6185,21.5248,2.3237,49.1646,42.9273,19.9349,11.1293,4.6474,2.8418851
Denver Broncos,2018,53,18.6M,2.3M,3.5M,1.7M,14.9M,17.5M,47.2M,18.8M,5.0M,129.5M,18.6,2.3,3.5,1.7,14.9,17.5,47.2,18.8,5,129.5,22.7478,2.8129,4.2805,2.0791,18.2227,21.4025,57.7256,22.9924,6.115,27.8205594
