Teams,Year,Players,QBX,RBX,WRX,TEX,OLX,DLX,LBX,DBX,Special TeamsX,TotalX,QB,RB,WR,TE,OL,DL,LB,DB,Special Teams,Total,QB Adjusted,RB Adjusted,WR Adjusted,TE Adjusted,OL Adjusted,DL Adjusted,LB Adjusted,DB Adjusted,Special Teams Adjusted,Total Adjusted
Detroit Lions,2018,53,28.1M,6.9M,4.5M,5.2M,21.0M,12.6M,15.6M,39.4M,8.3M,141.5M,28.1,6.9,4.5,5.2,21,12.6,15.6,39.4,8.3,141.5,34.3663,8.4387,5.5035,6.3596,25.683,15.4098,19.0788,48.1862,10.1509,42.0299849
Green Bay Packers,2018,53,35.3M,2.9M,28.0M,14.1M,36.6M,3.5M,17.3M,14.1M,5.3M,157.1M,35.3,2.9,28,14.1,36.6,3.5,17.3,14.1,5.3,157.1,43.1719,3.5467,34.244,17.2443,44.7618,4.2805,21.1579,17.2443,6.4819,52.7992337
Houston Texans,2018,53,5.3M,8.8M,19.1M,4.5M,18.0M,21.8M,25.9M,40.2M,2.1M,145.6M,5.3,8.8,19.1,4.5,18,21.8,25.9,40.2,2.1,145.6,6.4819,10.7624,23.3593,5.5035,22.014,26.6614,31.6757,49.1646,2.5683,7.9273637
Indianapolis Colts,2018,52,25.4M,3.8M,20.4M,7.0M,24.7M,21.0M,5.2M,11.9M,4.2M,123.7M,25.4,3.8,20.4,7,24.7,21,5.2,11.9,4.2,123.7,31.0642,4.6474,24.9492,8.561,30.2081,25.683,6.3596,14.5537,5.1366,37.9915166
Jacksonville Jaguars,2018,53,19.3M,15.1M,12.7M,2.0M,5.2M,54.7M,17.4M,39.0M,2.2M,167.6M,19.3,15.1,12.7,2,5.2,54.7,17.4,39,2.2,167.6,23.6039,18.4673,15.5321,2.446,6.3596,66.8981,21.2802,47.697,2.6906,28.8675697
Kansas City Chiefs,2018,52,7.5M,7.7M,19.4M,12.0M,28.7M,13.7M,32.2M,22.5M,3.9M,147.6M,7.5,7.7,19.4,12,28.7,13.7,32.2,22.5,3.9,147.6,9.1725,9.4171,23.7262,14.676,35.1001,16.7551,39.3806,27.5175,4.7697,11.2179675
Los Angeles Chargers,2018,53,21.8M,5.0M,26.4M,7.5M,28.3M,32.3M,5.5M,24.4M,2.7M,153.9M,21.8,5,26.4,7.5,28.3,32.3,5.5,24.4,2.7,153.9,26.6614,6.115,32.2872,9.1725,34.6109,39.5029,6.7265,29.8412,3.3021,32.6068922
Los Angeles Rams,2018,53,7.8M,16.4M,24.8M,2.8M,33.8M,58.9M,14.0M,32.7M,6.9M,198.1M,7.8,16.4,24.8,2.8,33.8,58.9,14,32.7,6.9,198.1,9.5394,20.0572,30.3304,3.4244,41.3374,72.0347,17.122,39.9921,8.4387,11.6666862
Miami Dolphins,2018,53,21.0M,3.0M,18.7M,3.9M,11.2M,39.6M,12.0M,34.1M,2.3M,145.8M,21,3,18.7,3.9,11.2,39.6,12,34.1,2.3,145.8,25.683,3.669,22.8701,4.7697,13.6976,48.4308,14.676,41.7043,2.8129,31.410309
Minnesota Vikings,2018,53,29.1M,8.7M,23.1M,8.6M,24.8M,55.2M,15.8M,33.3M,3.5M,202.1M,29.1,8.7,23.1,8.6,24.8,55.2,15.8,33.3,3.5,202.1,35.5893,10.6401,28.2513,10.5178,30.3304,67.5096,19.3234,40.7259,4.2805,43.5257139
New England Patriots,2018,52,16.5M,11.6M,18.4M,16.4M,22.7M,17.8M,17.9M,41.1M,7.4M,169.6M,16.5,11.6,18.4,16.4,22.7,17.8,17.9,41.1,7.4,169.6,20.1795,14.1868,22.5032,20.0572,27.7621,21.7694,21.8917,50.2653,9.0502,24.6795285
New Orleans Saints,2018,50,31.6M,6.7M,8.0M,4.4M,37.1M,20.5M,19.6M,18.7M,5.1M,151.6M,31.6,6.7,8,4.4,37.1,20.5,19.6,18.7,5.1,151.6,38.6468,8.1941,9.784,5.3812,45.3733,25.0715,23.9708,22.8701,6.2373,47.2650364
New York Giants,2018,53,22.3M,9.1M,25.1M,8.4M,21.6M,8.3M,37.3M,19.0M,2.3M,153.5M,22.3,9.1,25.1,8.4,21.6,8.3,37.3,19,2.3,153.5,27.2729,11.1293,30.6973,10.2732,26.4168,10.1509,45.6179,23.237,2.8129,33.3547567
New York Jets,2018,52,18.2M,1.8M,7.7M,2.2M,26.8M,16.5M,11.6M,32.0M,1.9M,118.6M,18.2,1.8,7.7,2.2,26.8,16.5,11.6,32,1.9,118.6,22.2586,2.2014,9.4171,2.6906,32.7764,20.1795,14.1868,39.136,2.3237,27.2222678
Oakland Raiders,2018,53,30.0M,4.2M,13.1M,11.4M,28.6M,13.7M,9.4M,18.9M,1.6M,130.8M,30,4.2,13.1,11.4,28.6,13.7,9.4,18.9,1.6,130.8,36.69,5.1366,16.0213,13.9422,34.9778,16.7551,11.4962,23.1147,1.9568,44.87187
Philadelphia Eagles,2018,53,12.8M,3.1M,27.0M,10.8M,42.0M,52.8M,12.1M,16.2M,1.6M,178.3M,12.8,3.1,27,10.8,42,52.8,12.1,16.2,1.6,178.3,15.6544,3.7913,33.021,13.2084,51.366,64.5744,14.7983,19.8126,1.9568,19.1453312
Pittsburgh Steelers,2018,53,23.6M,4.6M,21.8M,7.8M,30.6M,27.1M,16.6M,24.4M,3.1M,159.6M,23.6,4.6,21.8,7.8,30.6,27.1,16.6,24.4,3.1,159.6,28.8628,5.6258,26.6614,9.5394,37.4238,33.1433,20.3018,29.8412,3.7913,35.2992044
Seattle Seahawks,2018,53,22.5M,6.4M,25.5M,4.3M,28.4M,10.3M,22.6M,13.9M,3.3M,137.3M,22.5,6.4,25.5,4.3,28.4,10.3,22.6,13.9,3.3,137.3,27.5175,7.8272,31.1865,5.2589,34.7332,12.5969,27.6398,16.9997,4.0359,33.6539025
San Francisco 49ers,2018,54,1.4M,7.2M,9.3M,3.7M,35.5M,22.2M,13.3M,17.1M,3.2M,112.9M,1.4,7.2,9.3,3.7,35.5,22.2,13.3,17.1,3.2,112.9,1.7122,8.8056,11.3739,4.5251,43.4165,27.1506,16.2659,20.9133,3.9136,2.0940206
Tampa Bay Buccaneers,2018,53,10.8M,4.0M,32.6M,8.4M,30.9M,56.9M,13.0M,14.5M,5.2M,176.3M,10.8,4,32.6,8.4,30.9,56.9,13,14.5,5.2,176.3,13.2084,4.892,39.8698,10.2732,37.7907,69.5887,15.899,17.7335,6.3596,16.1538732
Tennessee Titans,2018,53,8.8M,7.0M,9.1M,2.3M,33.0M,13.7M,29.5M,23.2M,8.2M,134.7M,8.8,7,9.1,2.3,33,13.7,29.5,23.2,8.2,134.7,10.7624,8.561,11.1293,2.8129,40.359,16.7551,36.0785,28.3736,10.0286,13.1624152
Washington Redskins,2018,53,1.8M,5.9M,5.1M,6.7M,28.4M,14.1M,28.5M,22.1M,4.5M,117.1M,1.8,5.9,5.1,6.7,28.4,14.1,28.5,22.1,4.5,117.1,2.2014,7.2157,6.2373,8.1941,34.7332,17.2443,34.8555,27.0283,5.5035,2.6923122
