Player Name,Team,Year,Rookie Contract (Y/N),Contract Length,Total Pay,Yearly Pay (AAV),Team Payroll,Player Percentage of Payroll,Games Played,Snaps Played,Backfield Snaps,Slot Snaps,Wide snaps,QB Pressure Allowed (PR),Total Pressure Oppurtnuties (OPP),Rush Attempts,Rush Yards,Rush YPA,Rush TDs,Rush Yac (YCO),Fumbles,Explosive Runs (10+),Recieving Targets,Recieving Receptions,Recieving Yards,Y/Rec,Receiving TDs,YAC/REC,All-Purpose Yards,Team Rushing Yards,Team Total Yards,Team Total Touchdowns,Player Percentage of Rushing Yards,Player Percentage of Offensive Yards,Player Percentage of Touchdowns,AAV Adjusted,Total Pay Adjusted,Payroll Adjusted
Chris Johnson,ARI,2015,N,1,"$2,000,000","$2,000,000","$144,707,976",0.01382093825,11,364,354,7,3,4,25,196,814,4.2,3,495,2,16,12,6,58,9.7,0,11.2,872,1917,6533,51,0.4246218049,0.1334761978,0.05882352941,"$2,590,000","$2,590,000","$187,396,829"
Devonta Freeman,ATL,2015,Y,4,"$2,704,424","$676,106","$136,236,065",0.004962753438,15,768,702,20,46,8,75,265,1057,4,12,547,4,32,92,73,578,7.9,3,6.1,1635,1606,5985,34,0.6581569116,0.2731829574,0.4411764706,"$875,557","$3,502,229","$176,425,704"
Justin Forsett,BAL,2015,N,3,"$9,000,000","$3,000,000","$141,217,050",0.02124389371,10,474,448,14,12,8,69,151,641,4.2,2,332,0,19,35,31,153,4.9,0,4.5,794,1478,5749,29,0.4336941813,0.1381109758,0.06896551724,"$3,885,000","$11,655,000","$182,876,080"
LeSean McCoy,BUF,2015,N,5,"$40,000,000","$8,000,000","$138,342,172",0.05782763046,12,600,563,16,21,10,69,203,895,4.4,3,411,3,28,45,32,292,9.1,2,9,1187,2432,5775,42,0.3680098684,0.2055411255,0.119047619,"$10,360,000","$51,800,000","$179,153,113"
Jonathan Stewart,CAR,2015,N,5,"$36,500,000","$7,300,000","$145,230,447",0.05026494203,16,716,698,11,7,6,98,292,1207,4.1,10,718,3,29,23,20,108,5.4,1,6.1,1315,2282,5871,54,0.5289219982,0.2239822858,0.2037037037,"$9,453,500","$47,267,500","$188,073,429"
Matt Forte,CHI,2015,N,4,"$30,400,000","$7,600,000","$141,512,728",0.05370541652,13,593,517,39,37,6,37,218,898,4.1,4,488,2,21,56,44,389,8.8,3,8.5,1287,1854,5514,34,0.4843581446,0.233405876,0.2058823529,"$9,842,000","$39,368,000","$183,258,983"
Jeremy Hill,CIN,2015,Y,4,"$3,753,602","$938,401","$143,913,511",0.006520586521,17,496,483,4,9,4,55,235,844,3.6,12,494,4,19,22,18,106,5.9,1,6.3,950,1805,5728,49,0.4675900277,0.1658519553,0.2653061224,"$1,215,229","$4,860,915","$186,367,997"
Isaiah Crowell,CLE,2015,Y,3,"$1,540,000","$513,333","$139,647,560",0.003675920534,16,487,462,4,9,5,56,185,706,3.8,4,426,0,17,21,19,182,9.6,1,11.6,888,1529,5311,25,0.4617396991,0.1672001506,0.2,"$664,767","$1,994,300","$180,843,590"
Darren McFadden,DAL,2015,N,2,"$3,000,000","$1,500,000","$137,816,498",0.01088403799,16,618,582,11,20,7,72,239,1089,4.6,3,550,3,27,50,40,328,8.2,0,8,1417,1890,5361,24,0.5761904762,0.2643163589,0.125,"$1,942,500","$3,885,000","$178,472,365"
Ronnie Hillman,DEN,2015,Y,4,"$3,000,832","$750,208","$145,098,899",0.005170321795,19,591,559,9,21,10,64,239,917,3.8,7,513,2,23,36,25,118,4.7,0,4.8,1035,1718,5688,32,0.5337601863,0.1819620253,0.21875,"$971,519","$3,886,077","$187,903,074"
Ameer Abdullah,DET,2015,Y,4,"$4,156,126","$1,039,032","$143,215,794",0.007255006386,16,426,310,27,17,3,20,143,597,4.2,2,282,4,14,35,25,183,7.3,1,8.3,780,1335,5547,40,0.4471910112,0.1406165495,0.075,"$1,345,546","$5,382,183","$185,464,453"
Eddie Lacy,GB,2015,Y,4,"$3,392,412","$848,103","$141,856,037",0.005978617604,17,526,507,8,11,8,72,211,910,4.3,4,575,6,23,27,22,190,8.6,2,10.4,1100,1850,5353,39,0.4918918919,0.2054922473,0.1538461538,"$1,098,293","$4,393,174","$183,703,568"
Alfred Blue,HOU,2015,Y,4,"$2,337,932","$584,483","$142,403,116",0.004104425636,16,581,382,5,15,2,31,200,797,4,2,469,2,19,17,15,109,7.3,1,4.7,906,1731,5564,36,0.4604274986,0.1628324946,0.08333333333,"$756,905","$3,027,622","$184,412,035"
Frank Gore,IND,2015,N,3,"$12,000,000","$4,000,000","$143,402,177",0.02789357933,16,691,636,12,43,7,89,260,967,3.7,6,581,4,23,52,34,267,7.9,1,8.6,1234,1438,5142,32,0.6724617524,0.2399844419,0.21875,"$5,180,000","$15,540,000","$185,705,819"
TJ Yeldon,JAX,2015,Y,4,"$5,913,774","$1,478,444","$136,130,404",0.01086049447,13,620,592,13,15,15,104,182,740,4.1,2,422,0,18,43,36,279,7.8,1,8.2,1019,1473,5581,40,0.5023761032,0.1825837664,0.075,"$1,914,584","$7,658,337","$176,288,873"
Charcandrick West,KC,2015,Y,2,"$930,000","$465,000","$141,444,281",0.003287513618,17,670,558,9,13,4,56,185,721,3.9,5,385,1,13,36,23,238,10.3,1,11.3,959,2044,5299,39,0.352739726,0.1809775429,0.1538461538,"$602,175","$1,204,350","$183,170,344"
Latavius Murray,OAK/LV,2015,Y,4,"$2,266,200","$566,550","$137,071,838",0.004133234137,16,682,629,17,36,5,96,266,1066,4,6,622,5,20,49,41,232,5.7,0,6,1298,1457,5336,41,0.7316403569,0.2432533733,0.1463414634,"$733,682","$2,934,729","$177,508,030"
Melvin Gordon,SD/LAC,2015,Y,4,"$10,669,773","$2,667,443","$140,814,655",0.01894293779,14,395,371,5,19,3,30,184,641,3.5,0,409,7,15,34,33,192,5.8,0,7.8,833,1358,5949,34,0.472017673,0.1400235334,0,"$3,454,339","$13,817,356","$182,354,978"
Todd Gurley,STL/LAR,2015,Y,4,"$13,823,183","$3,455,796","$140,686,890",0.02456373689,13,458,446,1,11,4,31,229,1106,4.8,10,658,3,26,26,21,188,9,0,9.6,1294,1956,4761,27,0.5654396728,0.2717916404,0.3703703704,"$4,475,255","$17,901,022","$182,189,523"
Lamar Miller,MIA,2015,Y,4,"$2,586,000","$646,500","$144,878,936",0.00446234641,16,634,567,41,26,3,64,194,872,4.5,8,535,3,22,54,47,397,8.4,2,9.3,1269,1496,5307,35,0.5828877005,0.2391181458,0.2857142857,"$837,218","$3,348,870","$187,618,222"
Adrian Peterson,MIN,2015,N,3,"$42,000,000","$14,000,000","$147,022,479",0.09522353381,17,704,682,1,21,8,64,350,1530,4.4,11,804,8,44,35,32,235,7.3,0,8.4,1765,2211,5139,32,0.6919945726,0.3434520335,0.34375,"$18,130,000","$54,390,000","$190,394,110"
LeGarrette Blount,NE,2015,N,2,"$1,730,000","$865,000","$141,316,422",0.006121015433,12,306,295,10,9,3,19,165,703,4.3,6,403,1,18,6,6,43,7.2,1,5.2,746,1404,5991,50,0.5007122507,0.1245201135,0.14,"$1,120,175","$2,240,350","$183,004,766"
