Player Name,Team,Year,Rookie Contract (Y/N),Contract Length,Total Pay,Yearly Pay (AAV),Team Payroll,Player Percentage of Payroll,Games Played,Snaps Played,Backfield Snaps,Slot Snaps,Wide snaps,QB Pressure Allowed (PR),Total Pressure Oppurtnuties (OPP),Rush Attempts,Rush Yards,Rush YPA,Rush TDs,Rush Yac (YCO),Fumbles,Explosive Runs (10+),Recieving Targets,Recieving Receptions,Recieving Yards,Y/Rec,Receiving TDs,YAC/REC,All-Purpose Yards,Team Rushing Yards,Team Total Yards,Team Total Touchdowns,Player Percentage of Rushing Yards,Player Percentage of Offensive Yards,Player Percentage of Touchdowns,AAV Adjusted,Total Pay Adjusted,Payroll Adjusted,Extra Contract Data,Guaranteed Money On Current Deal,Money Spent On RBs This Year,Player: Total # of Contracts,Player: # of Years in NFL,GM adjusted,Money spent adjusted
Beanie Wells,ARI,2011,Y,5,9600000,1920000,118381964,0.01621868683,14,571,556,15,0,8,103,245,1049,4.281632653,10,648,5,18,14,10,52,5.2,0,2.4,1101,1625,5192,33,0.6455384615,0.2120570108,0.303030303,2620800,13104000,161591380.9,,6300000,,1,4,8599500,0
Michael Turner,ATL,2011,N,6,34500000,5750000,125643878,0.04576426716,17,617,588,29,0,1,76,316,1393,4.408227848,11,954,3,36,25,18,173,9.611111111,0,8.2,1566,1834,6026,43,0.7595419847,0.2598738799,0.2558139535,7848750,47092500,171503893.5,,5750000,,3,9,7848750,0
Ray Rice,BAL,2011,Y,4,3159000,789750,119773889,0.006593674186,18,925,875,14,36,8,117,333,1491,4.477477477,12,810,3,31,108,81,735,9.074074074,3,8.9,2226,1996,5419,36,0.746993988,0.4107768961,0.4166666667,1078008.75,4312035,163491358.5,,0,,3,7,0,0
Fred Jackson,BUF,2011,N,4,7500000,1875000,108312929,0.01731095279,10,568,455,63,50,0,83,170,934,5.494117647,6,637,3,23,48,39,442,11.33333333,0,12.9,1376,1921,5624,36,0.4862051015,0.2446657183,0.1666666667,2559375,10237500,147847148.1,,1100000,,7,10,1501500,0
DeAngelo Williams,CAR,2011,N,5,43000000,8600000,123832984,0.06944837896,16,447,409,8,16,5,57,155,850,5.483870968,7,450,0,19,24,16,135,8.4375,0,10.1,985,2408,6237,37,0.3529900332,0.1579284913,0.1891891892,11739000,58695000,169032023.2,,25500000,,4,11,34807500,0
Matt Forte,CHI,2011,Y,4,3766500,941625,107756643,0.008738440376,12,564,518,24,22,9,74,203,997,4.911330049,3,545,3,29,71,52,490,9.423076923,1,8.8,1487,2015,5026,28,0.4947890819,0.2958615201,0.1428571429,1285318.125,5141272.5,147087817.7,,17100000,,3,10,23341500,0
Cedric Benson,CIN,2011,N,1,4500000,4500000,108249005,0.04157082091,16,598,586,4,8,4,71,280,1090,3.892857143,7,576,5,24,23,16,80,5,0,6.1,1170,1778,5118,31,0.613048369,0.2286049238,0.2258064516,6142500,6142500,147759891.8,,250000,,4,8,341250,0
Peyton Hillis,CLE,2011,Y,4,1754800,438700,103645720,0.004232688045,10,462,443,6,13,6,73,161,587,3.645962733,3,384,4,10,30,22,130,5.909090909,0,5.8,717,1531,4621,20,0.3834095363,0.1551612205,0.15,598825.5,2395302,141476407.8,,49800,,5,7,67977,0
DeMarco Murray,DAL,2011,Y,4,2973438,743359.5,106285767,0.006993970322,13,378,376,1,1,5,48,164,897,5.469512195,2,494,2,18,34,26,183,7.038461538,0,9.1,1080,1807,6008,38,0.4964028777,0.1797603196,0.05263157895,1014685.718,4058742.87,145080072,,662500,,3,7,904312.5,0
Willis McGahee,DEN,2011,N,4,9500000,2375000,109156754,0.02175770086,16,525,514,2,8,1,28,285,1340,4.701754386,5,783,7,39,17,12,51,4.25,1,4,1391,2632,5066,31,0.509118541,0.2745756021,0.1935483871,3241875,12967500,148998969.2,,3000000,,4,11,4095000,0
Jahvid Best,DET,2011,Y,5,9845000,1969000,124329126,0.01910252309,6,288,251,23,14,4,22,84,390,4.642857143,2,200,0,9,36,27,300,11.11111111,1,12,690,1523,6337,50,0.2560735391,0.1088843301,0.06,2687685,13438425,169709257,,6775000,,1,3,9247875,0
James Starks,GB,2011,Y,4,2040300,510075,115530459,0.004415069449,14,459,451,2,5,3,74,139,621,4.467625899,1,373,2,20,40,33,240,7.272727273,0,9.5,861,1558,6482,63,0.3985879332,0.1328293737,0.01587301587,696252.375,2785009.5,157699076.5,,100300,,3,7,136909.5,0
Arian Foster,HOU,2011,N,1,525000,525000,120701303,0.00434958022,15,743,703,10,29,5,75,329,1509,4.58662614,13,846,8,39,70,61,674,11.04918033,2,11.7,2183,2448,5954,38,0.6164215686,0.3666442728,0.3947368421,716625,716625,164757278.6,,0,,4,8,0,0
Donald Brown,IND,2011,Y,5,10435000,2087000,118187238,0.01765842095,13,392,387,3,2,2,68,134,645,4.813432836,5,415,0,16,17,16,86,5.375,0,5.9,731,1594,4589,22,0.404642409,0.1592939638,0.2272727273,2848755,14243775,161325579.9,,6310000,,4,7,8613150,0
Maurice Jones-Drew,JAX,2011,N,5,31100000,6220000,92484955,0.06725418205,16,780,744,20,13,2,78,343,1606,4.682215743,8,954,8,43,56,43,374,8.697674419,3,9.8,1980,1970,4149,21,0.8152284264,0.4772234273,0.5238095238,8490300,42451500,126241963.6,,14250000,,3,9,19451250,0
Jackie Battle,KC,2011,N,1,750000,750000,103518752,0.00724506416,15,305,298,5,2,2,64,149,597,4.006711409,2,395,0,12,11,9,68,7.555555556,0,9.7,665,1893,4973,18,0.3153724247,0.1337220993,0.1111111111,1023750,1023750,141303096.5,,0,,6,7,0,0
Michael Bush,OAK/LV,2011,N,1,2610000,2610000,110171162,0.02369041002,16,725,718,5,1,9,144,256,980,3.828125,7,606,1,21,43,37,418,11.2972973,1,9.6,1398,2110,6072,36,0.4644549763,0.2302371542,0.2222222222,3562650,3562650,150383636.1,,0,,4,8,0,0
Ryan Mathews,SD/LAC,2011,Y,4,18920000,4730000,121552775,0.03891313876,14,520,501,0,19,3,35,222,1091,4.914414414,6,710,5,35,58,50,455,9.1,0,9.2,1546,1864,6290,43,0.5853004292,0.2457869634,0.1395348837,6456450,25825800,165919537.9,,4231000,,2,7,5775315,0
Steven Jackson,STL/LAR,2011,N,6,44805000,7467500,105468977,0.07080281057,14,715,665,25,23,8,122,259,1146,4.424710425,5,663,3,32,56,42,333,7.928571429,1,7.5,1479,1667,4537,16,0.6874625075,0.3259863346,0.375,10193137.5,61158825,143965153.6,,19895000,,4,12,27156675,0
Reggie Bush,MIA,2011,N,2,9750000,4875000,132332873,0.03683891908,15,600,557,23,19,9,74,216,1096,5.074074074,6,546,5,35,52,43,296,6.88372093,1,7.7,1392,1987,5078,31,0.5515853045,0.2741236707,0.2258064516,6654375,13308750,180634371.6,,2500000,,5,11,3412500,0
Adrian Peterson,MIN,2011,N,6,86280000,14380000,121265523,0.1185827566,12,498,495,2,1,6,83,208,970,4.663461538,12,650,2,27,21,18,131,7.277777778,1,6.8,1101,2318,5275,38,0.4184641933,0.2087203791,0.3421052632,19628700,117772200,165527438.9,,36000000,,8,15,49140000,0
BenJarvus Green-Ellis,NE,2011,N,1,1835000,1835000,105916783,0.01732492196,19,461,433,2,26,4,60,219,807,3.684931507,12,447,0,16,17,12,182,15.16666667,0,13.6,989,1764,6848,57,0.4574829932,0.144421729,0.2105263158,2504775,2504775,144576408.8,,0,,3,7,0,0
Darren Sproles,NO,2011,N,4,14000000,3500000,104654042,0.03344352433,18,596,384,146,65,6,25,100,657,6.57,4,338,0,24,130,105,863,8.219047619,8,8.2,1520,2127,7474,62,0.3088857546,0.2033716885,0.1935483871,4777500,19110000,142852767.3,,5000000,,8,15,6825000,0
Ahmad Bradshaw,NYG,2011,N,4,18000000,4500000,119706771,0.03759185853,16,655,644,1,10,5,132,234,931,3.978632479,10,623,3,20,61,50,381,7.62,2,8.2,1312,1427,6161,46,0.6524176594,0.2129524428,0.2608695652,6142500,24570000,163399742.4,,9000000,,5,9,12285000,0
Shonn Greene,NYJ,2011,Y,4,2655000,663750,121813441,0.005448906086,16,559,540,4,8,2,51,253,1054,4.166007905,6,570,1,22,40,30,211,7.033333333,0,7.2,1265,1692,4989,40,0.6229314421,0.2535578272,0.15,906018.75,3624075,166275347,,905000,,2,6,1235325,0
LeSean McCoy,PHI,2011,Y,4,3497123,874280.75,126362295,0.006918841969,15,867,818,19,26,18,140,273,1309,4.794871795,17,684,1,48,61,48,315,6.5625,3,8.7,1624,2276,6386,42,0.5751318102,0.254306295,0.4761904762,1193393.224,4773572.895,172484532.7,,1370123,,5,12,1870217.895,0
Rashard Mendenhall,PIT,2011,Y,5,11005000,2201000,124320023,0.01770430818,15,458,435,21,2,1,42,228,928,4.070175439,9,563,1,21,24,18,154,8.555555556,0,9.2,1082,1903,5957,34,0.4876510772,0.1816350512,0.2647058824,3004365,15021825,169696831.4,,7125000,,2,6,9725625,0
Frank Gore,SF,2011,N,3,19212550,6404183.333,114116758,0.05611956951,18,792,772,9,11,11,163,311,1368,4.398713826,8,832,3,34,42,30,197,6.566666667,0,6.7,1565,2044,4974,32,0.6692759295,0.3146361078,0.25,8741710.25,26225130.75,155769374.7,,13500000,,7,16,18427500,0
Marshawn Lynch,SEA,2011,Y,5,19065000,3813000,106500936,0.03580250224,15,559,541,9,9,3,44,285,1204,4.224561404,12,722,4,30,36,28,212,7.571428571,1,8.1,1416,1756,4861,30,0.6856492027,0.2912980868,0.4333333333,5204745,26023725,145373777.6,,0,,5,11,0,0
LeGarrette Blount,TB,2011,Y,2,725000,362500,87617399,0.004137306107,14,392,390,1,1,2,58,184,796,4.326086957,5,534,8,15,23,15,148,9.866666667,0,10.2,944,1458,5108,26,0.5459533608,0.1848081441,0.1923076923,494812.5,989625,119597749.6,,0,,8,9,0,0
Chris Johnson,TEN,2011,Y,5,12100000,2420000,113940533,0.02123914937,16,717,667,10,40,5,79,262,1053,4.019083969,4,553,3,27,75,57,418,7.333333333,0,6.8,1471,1438,5361,30,0.7322670376,0.2743891065,0.1333333333,3303300,16516500,155528827.5,,30000000,,6,9,40950000,0
Roy Helu,WAS,2011,Y,4,2510252,627563,125973296,0.004981714537,15,543,507,9,27,2,78,151,640,4.238410596,2,369,3,20,56,49,379,7.734693878,1,9,1019,1614,5387,27,0.3965303594,0.1891590867,0.1111111111,856623.495,3426493.98,171953549,,470252,,2,5,641893.98,0
