Player Name,Team,Year,Rookie Contract (Y/N),Contract Length,Total Pay,Yearly Pay (AAV),Team Payroll,Player Percentage of Payroll,Games Played,Snaps Played,Backfield Snaps,Slot Snaps,Wide snaps,QB Pressure Allowed (PR),Total Pressure Oppurtnuties (OPP),Rush Attempts,Rush Yards,Rush YPA,Rush TDs,Rush Yac (YCO),Fumbles,Explosive Runs (10+),Recieving Targets,Recieving Receptions,Recieving Yards,Y/Rec,Receiving TDs,YAC/REC,All-Purpose Yards,Team Rushing Yards,Team Total Yards,Team Total Touchdowns,Player Percentage of Rushing Yards,Player Percentage of Offensive Yards,Player Percentage of Touchdowns,AAV Adjusted,Total Pay Adjusted,Payroll Adjusted
LaRod Stephens-Howling,ARI,2012,N,1,"$1,927,000","$1,927,000","$117,797,796",0.01635854036,14,338,311,22,5,4,53,110,356,3.236363636,4,257,0,9,28,17,106,6.235294118,0,7.9,462,1204,4209,21,0.2956810631,0.1097647897,0.1904761905,"$2,576,399","$2,576,399","$157,495,653"
Michael Turner,ATL,2012,N,6,"$34,500,000","$5,750,000","$127,447,956",0.04511645522,18,508,497,11,0,3,85,244,928,3.803278689,10,591,3,24,29,19,128,6.736842105,1,7.8,1056,1397,5906,44,0.6642806013,0.1788012191,0.25,"$7,687,750","$46,126,500","$170,397,917"
Ray Rice,BAL,2012,N,1,"$7,700,000","$7,700,000","$129,851,198",0.05929864428,20,1012,960,18,31,12,173,341,1451,4.255131965,11,768,5,31,69,92,566,6.152173913,1,8.9,2017,1901,5640,39,0.7632824829,0.3576241135,0.3076923077,"$10,294,900","$10,294,900","$173,611,052"
CJ Spiller,BUF,2012,Y,5,"$25,672,087","$5,134,417","$132,433,193",0.03876986791,16,570,433,65,72,10,78,207,1244,6.009661836,6,742,4,32,55,43,459,10.6744186,2,12,1703,2217,5486,36,0.5611186288,0.3104265403,0.2222222222,"$6,864,716","$34,323,580","$177,063,179"
DeAngelo Williams,CAR,2012,N,5,"$43,000,000","$8,600,000","$126,838,460",0.06780277843,16,416,393,6,8,1,40,172,737,4.284883721,5,542,2,18,19,13,187,14.38461538,2,16.4,924,2088,5771,40,0.3529693487,0.1601108993,0.175,"$11,498,200","$57,491,000","$169,583,021"
Matt Forte,CHI,2012,N,4,"$30,400,000","$7,600,000","$128,921,164",0.05895075536,15,693,639,16,38,6,120,248,1094,4.411290323,5,597,2,25,59,44,340,7.727272727,1,7.2,1434,1970,4969,32,0.5553299492,0.2885892534,0.1875,"$10,161,200","$40,644,800","$172,367,596"
BenJarvus Green-Ellis,CIN,2012,N,3,"$9,000,000","$3,000,000","$117,392,278",0.0255553436,17,685,673,3,8,5,88,289,1157,4.003460208,6,603,3,19,28,24,95,3.958333333,0,3.8,1252,1745,5323,27,0.6630372493,0.2352057111,0.2222222222,"$4,011,000","$12,033,000","$156,953,476"
Trent Richardson,CLE,2012,Y,4,"$20,489,796","$5,122,449","$127,350,645",0.0402231885,16,702,680,10,12,9,69,267,950,3.558052434,11,558,3,14,61,51,367,7.196078431,1,8.9,1317,1593,5028,28,0.5963590709,0.2619331742,0.4285714286,"$6,848,714","$27,394,857","$170,267,812"
Demarco Murray,DAL,2012,Y,4,"$2,973,438","$743,360","$131,577,799",0.005649581507,10,469,463,4,2,4,71,161,663,4.118012422,4,400,3,14,41,35,251,7.171428571,0,7.1,914,1265,5994,37,0.5241106719,0.1524858192,0.1081081081,"$993,872","$3,975,487","$175,919,517"
Willis McGahee,DEN,2012,N,4,"$9,500,000","$2,375,000","$132,948,944",0.01786400048,10,391,284,0,7,1,43,167,731,4.377245509,4,396,5,18,31,26,221,8.5,0,9,952,1832,6366,49,0.3990174672,0.1495444549,0.08163265306,"$3,175,375","$12,701,500","$177,752,738"
Mikel Leshoure,DET,2012,Y,4,"$3,434,178","$858,545","$132,700,649",0.006469783731,14,529,512,8,8,2,55,215,798,3.711627907,9,431,3,17,45,34,214,6.294117647,0,7.1,1012,1613,6540,39,0.4947303162,0.1547400612,0.2307692308,"$1,147,874","$4,591,496","$177,420,768"
Alex Green,GB,2012,Y,4,"$2,577,500","$644,375","$119,710,476",0.005382778697,10,344,344,0,0,2,74,135,464,3.437037037,0,284,2,8,28,18,125,6.944444444,0,8.4,589,1702,5751,49,0.2726204465,0.102416971,0,"$861,529","$3,446,118","$160,052,906"
Arian Foster,HOU,2012,N,5,"$43,500,000","$8,700,000","$125,281,010",0.06944388459,18,970,909,15,46,11,87,405,1654,4.083950617,17,888,3,46,69,55,314,5.709090909,3,7.2,1968,2123,5953,41,0.7790861988,0.3305896187,0.487804878,"$11,631,900","$58,159,500","$167,500,710"
Vick Ballard,IND,2012,Y,4,"$2,244,560","$561,140","$121,595,398",0.004614812807,17,651,606,22,23,14,163,233,905,3.884120172,2,562,3,27,26,18,155,8.611111111,1,6.4,1060,1671,5799,34,0.5415918612,0.1827901362,0.08823529412,"$750,244","$3,000,977","$162,573,047"
Maurice Jones-Drew,JAX,2012,N,5,"$31,100,000","$6,220,000","$129,514,023",0.04802568754,5,240,233,3,4,0,29,86,414,4.813953488,1,196,1,10,18,14,86,6.142857143,1,5.2,500,1369,4788,25,0.3024105186,0.104427736,0.08,"$8,316,140","$41,580,700","$173,160,249"
Jamaal Charles,KC,2012,N,6,"$27,970,000","$4,661,667","$144,411,474",0.03228044516,16,576,561,4,11,2,58,285,1509,5.294736842,5,634,5,39,43,35,236,6.742857143,1,7.7,1745,2395,5108,17,0.6300626305,0.3416209867,0.3529411765,"$6,232,648","$37,395,890","$193,078,141"
Darren McFadden,OAK/LV,2012,Y,6,"$42,043,750","$7,007,292","$115,578,479",0.0606279969,12,592,571,1,20,9,76,216,709,3.282407407,2,418,3,12,58,42,258,6.142857143,1,6.4,967,1420,5504,28,0.4992957746,0.175690407,0.1071428571,"$9,368,749","$56,212,494","$154,528,426"
Ryan Mathews,SD/LAC,2012,Y,4,"$18,920,000","$4,730,000","$125,967,448",0.03754938339,12,403,394,0,9,3,28,184,707,3.842391304,1,479,2,14,52,39,252,6.461538462,0,9.4,959,1461,4756,30,0.4839151266,0.2016400336,0.03333333333,"$6,324,010","$25,296,040","$168,418,478"
Steven Jackson,STL/LAR,2012,N,6,"$44,805,000","$7,467,500","$118,418,624",0.06306018216,16,707,677,9,21,5,77,258,1045,4.050387597,4,693,0,27,49,38,321,8.447368421,0,7.7,1366,1714,5264,27,0.6096849475,0.2594984802,0.1481481481,"$9,984,048","$59,904,285","$158,325,700"
Reggie Bush,MIA,2012,N,2,"$9,750,000","$4,875,000","$122,064,261",0.03993797988,16,574,504,44,26,6,58,227,986,4.343612335,6,468,4,28,48,35,292,8.342857143,2,8.3,1278,1802,4984,28,0.5471698113,0.2564205457,0.2857142857,"$6,517,875","$13,035,750","$163,199,917"
Adrian Peterson,MIN,2012,N,6,"$86,280,000","$14,380,000","$115,613,275",0.1243801804,17,826,800,9,17,9,105,370,2196,5.935135135,12,1438,4,64,51,41,225,5.487804878,1,4.9,2421,2634,5385,34,0.8337129841,0.4495821727,0.3823529412,"$19,226,060","$115,356,360","$154,574,949"
Stevan Ridley,NE,2012,Y,4,"$2,953,500","$738,375","$127,977,650",0.005769562107,18,613,555,4,53,1,50,323,1415,4.380804954,13,791,5,35,13,7,64,9.142857143,0,8.3,1479,2184,6846,59,0.6478937729,0.2160385627,0.2203389831,"$987,207","$3,948,830","$171,106,118"
Mark Ingram,NO,2012,Y,4,"$7,416,750","$1,854,188","$119,384,564",0.01553121641,16,266,265,0,1,4,25,156,602,3.858974359,5,431,0,10,10,6,29,4.833333333,0,5.5,631,1577,6574,29,0.3817374762,0.0959841801,0.1724137931,"$2,479,049","$9,916,195","$159,617,162"
Ahmad Bradshaw,NYG,2012,N,4,"$18,000,000","$4,500,000","$125,514,604",0.03585240169,14,600,594,1,4,7,152,221,1015,4.592760181,6,550,3,35,26,23,245,10.65217391,0,12,1260,1862,5687,44,0.545112782,0.2215579392,0.1363636364,"$6,016,500","$24,066,000","$167,813,026"
Shonn Greene,NYJ,2012,Y,4,"$2,655,000","$663,750","$133,980,185",0.004954090786,16,568,535,12,15,5,67,276,1063,3.851449275,8,593,4,20,26,19,151,7.947368421,0,6.8,1214,1896,4787,26,0.5606540084,0.2536035095,0.3076923077,"$887,434","$3,549,735","$179,131,507"
