Teams,Year,Players,QBX,RBX,WRX,TEX,OLX,DLX,LBX,DBX,Special TeamsX,TotalX,QB,RB,WR,TE,OL,DL,LB,DB,Special Teams,Total,QB Adjusted,RB Adjusted,WR Adjusted,TE Adjusted,OL Adjusted,DL Adjusted,LB Adjusted,DB Adjusted,Special Teams Adjusted,Total Adjusted
Arizona Cardinals,2016,53,28.2M,2.4M,14.1M,4.6M,13.9M,21.9M,6.7M,24.2M,1.7M,117.9M,28.2,2.4,14.1,4.6,13.9,21.9,6.7,24.2,1.7,117.9,36.0678,3.108,18.0339,5.8834,17.7781,28.0101,8.5693,30.9518,2.1743,46.1307162
Atlanta Falcons,2016,52,23.5M,2.8M,24.4M,2.5M,31.5M,19.2M,7.6M,17.7M,6.2M,135.5M,23.5,2.8,24.4,2.5,31.5,19.2,7.6,17.7,6.2,135.5,30.0565,3.626,31.2076,3.1975,40.2885,24.5568,9.7204,22.6383,7.9298,38.4422635
Baltimore Ravens,2016,53,22.9M,2.6M,16.5M,7.6M,21.6M,4.1M,17.7M,21.7M,8.6M,123.3M,22.9,2.6,16.5,7.6,21.6,4.1,17.7,21.7,8.6,123.3,29.2891,3.367,21.1035,9.7204,27.6264,5.2439,22.6383,27.7543,10.9994,37.4607589
Buffalo Bills,2016,53,20.9M,11.6M,9.6M,9.3M,23.2M,38.0M,5.3M,14.3M,4.2M,136.4M,20.9,11.6,9.6,9.3,23.2,38,5.3,14.3,4.2,136.4,26.7311,15.022,12.2784,11.8947,29.6728,48.602,6.7787,18.2897,5.3718,34.1890769
Carolina Panthers,2016,53,24.0M,10.2M,5.6M,10.0M,7.8M,16.3M,26.5M,11.0M,4.7M,116.2M,24,10.2,5.6,10,7.8,16.3,26.5,11,4.7,116.2,30.696,13.209,7.1624,12.79,9.9762,20.8477,33.8935,14.069,6.0113,39.260184
Chicago Bears,2016,53,1.2M,2.5M,17.7M,2.4M,19.2M,8.3M,24.9M,12.2M,1.9M,90.5M,1.2,2.5,17.7,2.4,19.2,8.3,24.9,12.2,1.9,90.5,1.5348,3.2375,22.6383,3.0696,24.5568,10.6157,31.8471,15.6038,2.4301,1.9630092
Cincinnati Bengals,2016,53,17.2M,5.6M,5.8M,1.4M,15.5M,32.2M,17.7M,25.3M,4.6M,125.1M,17.2,5.6,5.8,1.4,15.5,32.2,17.7,25.3,4.6,125.1,21.9988,7.252,7.4182,1.7906,19.8245,41.1838,22.6383,32.3587,5.8834,28.1364652
Cleveland Browns,2016,55,13.5M,3.5M,11.1M,5.4M,18.0M,9.9M,8.8M,30.0M,2.8M,103.0M,13.5,3.5,11.1,5.4,18,9.9,8.8,30,2.8,103,17.2665,4.5325,14.1969,6.9066,23.022,12.6621,11.2552,38.37,3.5812,22.0838535
Dallas Cowboys,2016,51,20.7M,11.4M,19.2M,8.5M,32.7M,22.0M,13.3M,25.8M,5.7M,159.2M,20.7,11.4,19.2,8.5,32.7,22,13.3,25.8,5.7,159.2,26.4753,14.763,24.5568,10.8715,41.8233,28.138,17.0107,32.9982,7.2903,33.8619087
Denver Broncos,2016,53,3.0M,2.2M,28.3M,4.6M,20.0M,15.3M,33.0M,34.9M,2.0M,143.2M,3,2.2,28.3,4.6,20,15.3,33,34.9,2,143.2,3.837,2.849,36.1957,5.8834,25.58,19.5687,42.207,44.6371,2.558,4.907523
