Teams,Year,Players,QBX,RBX,WRX,TEX,OLX,DLX,LBX,DBX,Special TeamsX,TotalX,QB,RB,WR,TE,OL,DL,LB,DB,Special Teams,Total,QB Adjusted,RB Adjusted,WR Adjusted,TE Adjusted,OL Adjusted,DL Adjusted,LB Adjusted,DB Adjusted,Special Teams Adjusted,Total Adjusted
Detroit Lions,2016,53,19.2M,2.5M,18.8M,4.8M,11.8M,16.3M,14.4M,25.6M,7.5M,120.9M,19.2,2.5,18.8,4.8,11.8,16.3,14.4,25.6,7.5,120.9,24.5568,3.2375,24.0452,6.1392,15.0922,20.8477,18.4176,32.7424,9.5925,31.4081472
Green Bay Packers,2016,51,23.1M,5.6M,22.5M,3.4M,29.2M,28.0M,22.0M,13.9M,5.4M,153.1M,23.1,5.6,22.5,3.4,29.2,28,22,13.9,5.4,153.1,29.5449,7.252,28.7775,4.3486,37.3468,35.812,28.138,17.7781,6.9066,37.7879271
Houston Texans,2016,53,20.6M,9.8M,5.6M,1.9M,25.4M,7.8M,27.7M,22.5M,3.7M,125.0M,20.6,9.8,5.6,1.9,25.4,7.8,27.7,22.5,3.7,125,26.3474,12.691,7.1624,2.4301,32.4866,9.9762,35.4283,28.7775,4.7323,33.6983246
Indianapolis Colts,2016,53,26.3M,6.1M,16.9M,9.5M,20.4M,3.1M,24.0M,18.8M,6.9M,132.1M,26.3,6.1,16.9,9.5,20.4,3.1,24,18.8,6.9,132.1,33.6377,7.8995,21.6151,12.1505,26.0916,3.9649,30.696,24.0452,8.8251,43.0226183
Jacksonville Jaguars,2016,52,9.8M,9.3M,14.8M,1.6M,18.5M,33.1M,12.3M,27.6M,3.6M,130.7M,9.8,9.3,14.8,1.6,18.5,33.1,12.3,27.6,3.6,130.7,12.5342,12.0435,18.9292,2.0464,23.6615,42.3349,15.7317,35.3004,4.6044,16.0312418
Kansas City Chiefs,2016,53,19.7M,6.6M,14.3M,12.6M,25.6M,7.1M,29.3M,22.7M,5.2M,143.2M,19.7,6.6,14.3,12.6,25.6,7.1,29.3,22.7,5.2,143.2,25.1963,8.547,18.2897,16.1154,32.7424,9.0809,37.4747,29.0333,6.6508,32.2260677
Los Angeles Rams,2016,53,11.4M,4.8M,18.7M,6.0M,19.8M,25.1M,12.9M,21.0M,5.1M,124.8M,11.4,4.8,18.7,6,19.8,25.1,12.9,21,5.1,124.8,14.5806,6.216,23.9173,7.674,25.3242,32.1029,16.4991,26.859,6.5229,18.6485874
Miami Dolphins,2016,50,21.8M,2.0M,6.1M,1.8M,19.5M,43.9M,4.9M,16.2M,2.2M,118.5M,21.8,2,6.1,1.8,19.5,43.9,4.9,16.2,2.2,118.5,27.8822,2.59,7.8019,2.3022,24.9405,56.1481,6.2671,20.7198,2.8138,35.6613338
Minnesota Vikings,2016,53,21.8M,17.7M,10.7M,9.7M,16.5M,23.5M,12.0M,24.8M,2.1M,138.8M,21.8,17.7,10.7,9.7,16.5,23.5,12,24.8,2.1,138.8,27.8822,22.9215,13.6853,12.4063,21.1035,30.0565,15.348,31.7192,2.6859,35.6613338
New England Patriots,2016,53,22.2M,4.9M,17.9M,5.6M,20.9M,8.5M,19.9M,20.1M,7.0M,126.9M,22.2,4.9,17.9,5.6,20.9,8.5,19.9,20.1,7,126.9,28.3938,6.3455,22.8941,7.1624,26.7311,10.8715,25.4521,25.7079,8.953,36.3156702
New Orleans Saints,2016,53,25.8M,7.8M,6.0M,8.0M,20.1M,19.5M,11.4M,15.5M,5.0M,119.1M,25.8,7.8,6,8,20.1,19.5,11.4,15.5,5,119.1,32.9982,10.101,7.674,10.232,25.7079,24.9405,14.5806,19.8245,6.395,42.2046978
New York Giants,2016,53,21.9M,4.6M,17.4M,2.8M,12.3M,40.3M,9.8M,29.4M,4.2M,142.7M,21.9,4.6,17.4,2.8,12.3,40.3,9.8,29.4,4.2,142.7,28.0101,5.957,22.2546,3.5812,15.7317,51.5437,12.5342,37.6026,5.3718,35.8249179
New York Jets,2016,54,13.2M,4.7M,12.3M,2.4M,16.3M,29.5M,14.5M,27.5M,4.5M,124.9M,13.2,4.7,12.3,2.4,16.3,29.5,14.5,27.5,4.5,124.9,16.8828,6.0865,15.7317,3.0696,20.8477,37.7305,18.5455,35.1725,5.7555,21.5931012
Oakland Raiders,2016,53,4.6M,5.2M,17.3M,1.4M,36.3M,16.7M,15.8M,31.4M,8.1M,136.8M,4.6,5.2,17.3,1.4,36.3,16.7,15.8,31.4,8.1,136.8,5.8834,6.734,22.1267,1.7906,46.4277,21.3593,20.2082,40.1606,10.3599,7.5248686
Philadelphia Eagles,2016,52,13.7M,5.1M,6.0M,13.9M,41.4M,37.5M,22.3M,27.0M,3.3M,170.1M,13.7,5.1,6,13.9,41.4,37.5,22.3,27,3.3,170.1,17.5223,6.6045,7.674,17.7781,52.9506,47.9625,28.5217,34.533,4.2207,22.4110217
Pittsburgh Steelers,2016,53,23.1M,4.1M,11.9M,6.8M,30.3M,4.4M,23.7M,17.3M,2.1M,123.6M,23.1,4.1,11.9,6.8,30.3,4.4,23.7,17.3,2.1,123.6,29.5449,5.3095,15.2201,8.6972,38.7537,5.6276,30.3123,22.1267,2.6859,37.7879271
San Diego Chargers,2016,53,21.9M,4.6M,8.8M,8.1M,28.7M,19.2M,7.5M,14.9M,2.0M,115.7M,21.9,4.6,8.8,8.1,28.7,19.2,7.5,14.9,2,115.7,28.0101,5.957,11.2552,10.3599,36.7073,24.5568,9.5925,19.0571,2.558,35.8249179
Seattle Seahawks,2016,51,22.4M,3.3M,17.7M,12.0M,7.6M,25.1M,21.5M,31.3M,5.4M,146.4M,22.4,3.3,17.7,12,7.6,25.1,21.5,31.3,5.4,146.4,28.6496,4.2735,22.6383,15.348,9.7204,32.1029,27.4985,40.0327,6.9066,36.6428384
San Francisco 49ers,2016,53,21.8M,2.8M,3.8M,3.3M,16.1M,19.8M,10.9M,14.7M,4.8M,98.0M,21.8,2.8,3.8,3.3,16.1,19.8,10.9,14.7,4.8,98,27.8822,3.626,4.8602,4.2207,20.5919,25.3242,13.9411,18.8013,6.1392,35.6613338
Tampa Bay Buccaneers,2016,54,7.7M,9.6M,7.5M,4.2M,18.5M,31.4M,14.4M,26.4M,5.0M,124.6M,7.7,9.6,7.5,4.2,18.5,31.4,14.4,26.4,5,124.6,9.8483,12.432,9.5925,5.3718,23.6615,40.1606,18.4176,33.7656,6.395,12.5959757
Tennessee Titans,2016,53,2.5M,9.0M,12.7M,10.9M,15.6M,16.3M,23.3M,22.4M,6.6M,119.2M,2.5,9,12.7,10.9,15.6,16.3,23.3,22.4,6.6,119.2,3.1975,11.655,16.2433,13.9411,19.9524,20.8477,29.8007,28.6496,8.4414,4.0896025
Washington Redskins,2016,53,23.6M,2.4M,16.3M,12.7M,30.8M,8.5M,18.3M,22.4M,3.1M,138.2M,23.6,2.4,16.3,12.7,30.8,8.5,18.3,22.4,3.1,138.2,30.1844,3.108,20.8477,16.2433,39.3932,10.8715,23.4057,28.6496,3.9649,38.6058476
