Player Name,Team,Year,Rookie Contract (Y/N),Contract Length,Total Pay,Yearly Pay (AAV),Team Payroll,Player Percentage of Payroll,Games Played,Snaps Played,Backfield Snaps,Slot Snaps,Wide snaps,QB Pressure Allowed (PR),Total Pressure Oppurtnuties (OPP),Rush Attempts,Rush Yards,Rush YPA,Rush TDs,Rush Yac (YCO),Fumbles,Explosive Runs (10+),Recieving Targets,Recieving Receptions,Recieving Yards,Y/Rec,Receiving TDs,YAC/REC,All-Purpose Yards,Team Rushing Yards,Team Total Yards,Team Total Touchdowns,Player Percentage of Rushing Yards,Player Percentage of Offensive Yards,Player Percentage of Touchdowns,AAV Adjusted,Total Pay Adjusted,Payroll Adjusted
David Johnson,ARI,2019,N,3,39000000,13000000,192019927,0.06770130685,12,437,349,67,17,3,52,94,345,3.670212766,2,193,2,8,43,36,370,10.27777778,4,6.5,715,1990,5467,38,0.1733668342,0.1307847082,0.1578947368,15613000,46839000,230615932.3
Devonta Freeman,ATL,2019,N,5,41250000,8250000,184246919,0.04477686815,13,658,626,10,22,8,83,184,656,3.565217391,2,447,4,15,64,59,410,6.949152542,4,5.8,1066,1361,6075,41,0.4819985305,0.175473251,0.1463414634,9908250,49541250,221280549.7
Mark Ingram,BAL,2019,N,3,15000000,5000000,190028527,0.02631183896,16,530,482,13,42,0,53,208,1040,5,10,637,2,21,30,27,256,9.481481481,5,8.7,1296,3296,6521,60,0.3155339806,0.1987425242,0.25,6005000,18015000,228224260.9
Devin Singletary,BUF,2019,Y,4,3898000,974500,174804987,0.005574783745,14,593,492,37,64,6,60,165,833,5.048484848,2,500,4,26,46,35,270,7.714285714,2,7.7,1103,2054,5283,35,0.4055501461,0.2087828885,0.1142857143,1170374.5,4681498,209940789.4
Christian McCaffrey,CAR,2019,Y,4,17241304,4310326,183306165,0.0235143537,16,1039,924,66,47,4,102,287,1387,4.832752613,15,752,1,31,135,116,1005,8.663793103,4,8.6,2392,1819,5469,37,0.7625068719,0.4373742915,0.5135135135,5176701.526,20706806.1,220150704.2
David Montgomery,CHI,2019,Y,4,4015380,1003845,182861976,0.005489632246,16,616,592,7,13,3,71,242,889,3.673553719,6,564,2,16,33,25,185,7.4,1,6.7,1074,1458,4749,30,0.609739369,0.2261528743,0.2333333333,1205617.845,4822471.38,219617233.2
Joe Mixon,CIN,2019,Y,4,5450174,1362543.5,184954951,0.007366893898,16,653,612,11,30,6,75,278,1137,4.089928058,5,877,0,29,42,35,287,8.2,3,9.5,1424,1517,5169,28,0.7495056032,0.2754884891,0.2857142857,1636414.744,6545658.974,222130896.2
Nick Chubb,CLE,2019,Y,4,7383095,1845773.75,212753859,0.008675629945,16,714,671,11,32,4,65,298,1494,5.013422819,8,1122,3,39,45,36,278,7.722222222,0,8.9,1772,1901,5455,38,0.7859021568,0.3248395967,0.2105263158,2216774.274,8867097.095,255517384.7
Ezekiel Elliot,DAL,2019,Y,4,24956341,6239085.25,182367508,0.03421160556,16,941,880,37,24,12,95,301,1357,4.508305648,12,972,3,38,68,54,419,7.759259259,2,7.4,1776,2153,6904,48,0.6302833256,0.2572421784,0.2916666667,7493141.385,29972565.54,219023377.1
Phillip Lindsay,DEN,2019,Y,3,1725000,575000,182229585,0.003155360311,16,513,461,22,27,9,29,224,1011,4.513392857,7,606,0,22,46,35,196,5.6,0,7.3,1207,1662,4777,27,0.6083032491,0.2526690391,0.2592592593,690575,2071725,218857731.6
