Date of Game,Game ID,Team that was blocked,Home Team,Home Score,Away Score,Home Final Score,Away Final Score,Half,location of block,return yards,score off return,Score on resulting drive,# of plays on resulting drive,yards on resulting drive,points scored off block/resulting drive,Blocking_team_won,score differential after block (Blocking - Blocked),Points scored by blocking team after block,points scored by team that was blocked after block,Blocking Team was winning,Blocking team won
11/12/20,2020_10_IND_TEN,TEN,TEN,17,26,17,34,Half2,-26,6,1,NaN,0,0,6,1,8,8,0,1,1
11/15/20,2020_10_LAC_MIA,LAC,MIA,0,0,29,21,Half1,-21,0,0,1,1,1,6,1,8,29,21,0,1
11/22/20,2020_11_NYJ_LAC,LAC,LAC,0,0,34,28,Half1,46,0,0,1,4,29,6,0,-6,28,34,0,0
12/6/20,2020_13_NYG_SEA,NYG,SEA,5,0,12,17,Half1,-11,0,1,0,0,0,2,0,-10,7,17,1,0
12/20/20,2020_15_NYJ_LA,LA,LA,0,7,20,23,Half1,-38,0,0,1,4,6,3,1,-4,16,20,1,1
12/20/20,2020_15_PHI_ARI,PHI,ARI,9,0,33,26,Half1,-42,0,0,1,2,6,6,1,-2,24,26,1,1
9/12/21,2021_01_PIT_BUF,BUF,BUF,10,19,16,23,Half2,-23,0,1,NaN,0,0,6,1,-2,4,6,1,1
9/26/21,2021_03_NO_NE,NE,NE,0,7,13,28,Half1,50,0,0,0,8,31,0,1,8,21,13,1,1
10/10/21,2021_05_PHI_CAR,CAR,CAR,18,13,18,21,Half2,-46,0,0,1,4,27,6,1,8,8,0,0,1
10/17/21,2021_06_DAL_NE,NE,NE,14,10,29,35,Half1,-35,5,0,0,7,16,0,1,3,25,22,0,1
10/17/21,2021_06_MIN_CAR,MIN,CAR,16,12,28,34,Half2,-24,8,1,NaN,0,0,6,0,-10,12,22,1,0
11/14/21,2021_10_ATL_DAL,ATL,DAL,34,3,43,3,Half1,-17,3,1,NaN,0,0,6,1,9,9,0,1,1
11/14/21,2021_10_JAX_IND,JAX,IND,9,0,23,17,Half1,-24,10,1,NaN,0,0,6,1,-3,14,17,1,1
11/21/21,2021_11_PIT_LAC,LAC,LAC,27,13,41,37,Half2,-32,0,0,1,4,3,6,0,10,24,14,0,0
11/28/21,2021_12_CAR_MIA,CAR,MIA,6,0,33,10,Half1,-9,0,1,NaN,0,0,6,1,17,27,10,0,1
12/18/21,2021_15_NE_IND,NE,IND,13,0,27,17,Half1,-32,16,1,NaN,0,0,6,1,-3,14,17,1,1
12/26/21,2021_16_WAS_DAL,WAS,DAL,48,7,56,14,Half2,-10,0,1,NaN,0,0,6,1,1,8,7,1,1
1/9/22,2021_18_NYJ_BUF,NYJ,BUF,10,0,27,10,Half1,-45,0,0,0,4,6,0,1,7,17,10,1,1
1/22/22,2021_20_SF_GB,GB,GB,10,9,10,13,Half2,-12,0,1,NaN,0,0,6,1,4,4,0,0,1
