,game_date,play_id,play_type_nfl,game_id,possession_team,home_team,away_team,total_home_score,total_away_score,home_score,away_score,win_percentage,game_half,game_seconds_remaining,play_type,defense_win_percentage,return_yards,punt_inside_twenty,return_touchdown,ret_team,points_scored_on_next_resulting_poss,points_scored_on_play,points_scored_on_next_drive,points_scored_on_play_and_next_drive,points_scored_after_ret,total_poss_before_ret,total_poss_after_ret,ret_team_win,ret_team_losing_before_block,ret_team_winning_before_block,ret_team_tied_before_block,score_difference_at_block,final_score_difference,points_per_drive_after_ret,time_to_score_each_point
17981,10/24/21,393,PUNT,2021_07_HOU_ARI,ARI,ARI,HOU,0,0,31,5,0.48014095,Half1,3217,punt,0.5198591,20,0,0,HOU,2,0,2,2,5,,10,-1,0,0,1,0,-26,0.5,643.4
19998,10/31/21,2427,PUNT,2021_08_JAX_SEA,JAX,SEA,JAX,24,0,31,7,0.004732318,Half2,1328,punt,0.9952677,20,0,0,SEA,0,0,0,0,7,,4,1,0,1,0,24,24,1.75,189.7142857
20466,10/31/21,710,PUNT,2021_08_NE_LAC,LAC,LAC,NE,7,7,24,27,0.49344638,Half1,2875,punt,0.50655365,21,0,0,NE,0,0,0,0,20,,9,1,0,0,1,0,3,2.222222222,143.75
20495,10/31/21,1378,PUNT,2021_08_NE_LAC,LAC,LAC,NE,14,7,24,27,0.63896775,Half1,2224,punt,0.36103225,22,0,0,NE,3,0,3,3,20,,7,1,1,0,0,-7,3,2.857142857,111.2
20543,10/31/21,2477,PUNT,2021_08_NE_LAC,LAC,LAC,NE,14,13,24,27,0.5765992,Half2,1441,punt,0.42340082,27,0,0,NE,3,0,3,3,14,,3,1,1,0,0,-1,3,4.666666667,102.9285714
21281,10/31/21,2912,PUNT,2021_08_SF_CHI,CHI,CHI,SF,16,15,22,33,0.5710472,Half2,1031,punt,0.4289528,21,0,0,SF,7,0,7,7,18,,3,1,1,0,0,-1,11,6,57.27777778
22014,11/7/21,3253,PUNT,2021_09_ARI_SF,ARI,SF,ARI,14,31,17,31,0.97684014,Half2,671,punt,0.023159862,27,0,0,SF,3,0,3,3,3,,3,-1,1,0,0,-17,-14,1,223.6666667
22219,11/7/21,4101,PUNT,2021_09_ATL_NO,ATL,NO,ATL,19,24,25,27,0.7288337,Half2,179,punt,0.27116632,26,0,0,NO,6,0,6,6,6,,1,-1,1,0,0,-5,-2,6,29.83333333
24773,11/14/21,834,PUNT,2021_10_BUF_NYJ,NYJ,NYJ,BUF,0,10,17,45,0.19611669,Half1,2918,punt,0.8038833,26,0,0,BUF,0,0,0,0,35,,9,1,0,1,0,10,28,3.888888889,83.37142857
25291,11/14/21,992,PUNT,2021_10_DET_PIT,PIT,PIT,DET,7,0,16,16,0.67903763,Half1,2667,punt,0.32096237,48,0,0,DET,7,0,7,7,16,,11,0,1,0,0,-7,0,1.454545455,166.6875
25678,11/14/21,769,PUNT,2021_10_KC_LV,LV,LV,KC,0,7,14,41,0.32496205,Half1,2745,punt,0.675038,37,0,0,KC,3,0,-7,-7,34,,7,1,0,1,0,7,27,4.857142857,80.73529412
25997,11/14/21,290,PUNT,2021_10_MIN_LAC,LAC,LAC,MIN,0,0,20,27,0.5388197,Half1,3291,punt,0.46118033,45,0,0,MIN,0,0,0,0,27,,8,1,0,0,1,0,7,3.375,121.8888889
30052,11/25/21,1414,PUNT,2021_12_CHI_DET,DET,DET,CHI,7,3,14,16,0.7380005,Half1,2136,punt,0.2619995,22,0,0,CHI,7,0,7,7,13,,7,1,1,0,0,-4,2,1.857142857,164.3076923
30206,11/28/21,1158,PUNT,2021_12_CLE_BAL,CLE,BAL,CLE,3,0,16,10,0.27251944,Half1,2566,punt,0.72748053,22,0,0,BAL,3,0,3,3,13,,9,1,0,1,0,3,6,1.444444444,197.3846154
30713,11/25/21,122,PUNT,2021_12_LV_DAL,DAL,DAL,LV,0,0,33,36,0.501189,Half1,3495,punt,0.498811,21,0,0,LV,7,0,7,7,36,,13,1,0,0,1,0,3,2.769230769,97.08333333
33968,12/5/21,1548,PUNT,2021_13_PHI_NYJ,NYJ,NYJ,PHI,18,21,18,33,0.32450476,Half1,1942,punt,0.67549527,20,0,0,PHI,3,0,3,3,12,,5,1,0,1,0,3,15,2.4,161.8333333
34116,12/5/21,1101,PUNT,2021_13_SF_SEA,SEA,SEA,SF,7,14,30,23,0.2488806,Half1,2700,punt,0.7511194,22,0,0,SF,3,0,3,3,9,4,8,-1,0,1,0,7,-7,1.125,300
35197,12/12/21,299,PUNT,2021_14_CHI_GB,GB,GB,CHI,0,0,45,30,0.54606485,Half1,3262,punt,0.45393515,34,0,0,,,,,,,,,,,,,,,,
