Date of Game,Game ID,Team that blocked,Team that was blocked,Home Team,Home Score,Away Score,Home Final Score,Away Final Score,Half,location of block,return yards,resulting drive starting location,score off return,Score on resulting drive,# of plays on resulting drive,yards on resulting drive,points scored off block/resulting drive,Blocking_team_won,score differential after block (Blocking - Blocked),Points scored by blocking team after block,points scored by team that was blocked after block,Blocking Team was winning,Blocking team won,seconds left at punt,seconds left after drive,drives before punt blocked (blocking team),drives after punt (blocking team),length of drive (seconds),Sub 32 degrees/15 mph wind?,Degree of Precipitation,number of rushers
10/13/19,2019_06_SEA_CLE,SEA,CLE,CLE,20,9,28,32,Half1,26,0,26,0,1,6,18,3,1,15,23,8,0,0,2413,2252,3,8,161,0,0,2
10/20/19,2019_07_ARI_NYG,NYG,ARI,NYG,13,17,21,27,Half1,4,0,NaN,1,NaN,0,0,6,0,-2,8,10,0,0,2399,2399,3,7,0,0,0,2
10/20/19,2019_07_NO_CHI,NO,CHI,CHI,0,2,25,36,Half1,27,0,NaN,1,NaN,0,0,2,1,9,34,25,0,1,3517,3387,0,13,130,0,0,1
11/24/19,2019_12_DAL_NE,NE,DAL,NE,0,0,13,9,Half1,30,0,30,0,1,2,12,6,1,4,13,9,0,1,2805,2745,2,9,60,0,0,5
12/8/19,2019_14_KC_NE,NE,KC,NE,7,23,16,23,Half2,35,0,35,0,1,2,19,6,0,9,9,0,0,0,1219,1168,8,3,51,1,0,3
12/12/19,2019_15_NYJ_BAL,NYJ,BAL,BAL,35,13,42,21,Half2,28,14,NaN,1,NaN,0,0,6,1,1,8,7,0,0,733,733,9,2,0,1,0,5
12/22/19,2019_16_NYG_WAS,WAS,NYG,WAS,21,35,35,41,Half2,28,0,28,0,1,1,17,6,0,8,14,6,0,0,884,876,8,2,8,0,0,2
1/12/20,2019_19_HOU_KC,HOU,KC,KC,0,13,51,31,Half1,25,11,NaN,1,NaN,0,0,6,0,-33,18,51,1,0,3313,3313,1,12,0,1,0,8
9/13/20,2020_01_ARI_SF,ARI,SF,SF,10,0,20,24,Half1,36,5,31,0,1,1,10,6,1,-14,10,24,0,1,3134,3124,2,9,10,0,0,2
9/27/20,2020_03_TB_DEN,TB,DEN,DEN,0,0,10,28,Half1,43,4,39,0,1,3,10,6,1,18,28,10,0,1,3351,3308,0,11,43,0,0,3
10/25/20,2020_07_GB_HOU,HOU,GB,HOU,10,28,20,35,Half2,32,0,32,0,1,7,11,3,0,3,10,7,0,0,737,605,8,3,132,0,0,2
10/25/20,2020_07_JAX_LAC,JAX,LAC,LAC,16,20,39,29,Half2,34,18,NaN,1,NaN,0,0,6,0,-14,9,23,1,0,1710,1710,7,5,0,0,0,8
11/1/20,2020_08_IND_DET,DET,IND,DET,0,0,21,41,Half1,46,4,42,0,1,2,32,6,0,-20,21,41,0,0,3089,3052,1,10,37,0,0,1
11/8/20,2020_09_DET_MIN,DET,MIN,MIN,27,10,34,20,Half2,33,0,33,0,0,5,17,0,0,3,10,7,0,0,1089,960,7,4,129,0,0,1
11/8/20,2020_09_DET_MIN,DET,MIN,MIN,34,13,34,20,Half2,42,15,27,0,1,1,2,6,0,7,7,0,0,0,427,424,10,1,3,0,0,3
11/12/20,2020_10_IND_TEN,IND,TEN,TEN,17,26,17,34,Half2,26,6,NaN,1,NaN,0,0,6,1,8,8,0,1,1,1017,1017,6,2,0,0,0,3
11/15/20,2020_10_LAC_MIA,MIA,LAC,MIA,0,0,29,21,Half1,21,0,21,0,1,1,1,6,1,8,29,21,0,1,3486,3482,0,10,4,0,0,2
11/22/20,2020_11_NYJ_LAC,NYJ,LAC,LAC,0,0,34,28,Half1,54,0,54,0,1,4,29,6,0,-6,28,34,0,0,3371,3252,0,9,119,0,0,5
12/6/20,2020_13_NYG_SEA,SEA,NYG,SEA,5,0,12,17,Half1,11,0,11,1,0,0,0,2,0,-10,7,17,1,0,1833,1800,5,6,33,0,0,1
12/20/20,2020_15_NYJ_LA,NYJ,LA,LA,0,7,20,23,Half1,38,0,38,0,1,4,6,3,1,-4,16,20,1,1,2660,2570,2,8,90,0,0,4
12/20/20,2020_15_PHI_ARI,ARI,PHI,ARI,9,0,33,26,Half1,42,0,42,0,1,2,6,6,1,-2,24,26,1,1,2854,2846,3,9,8,0,0,7
9/12/21,2021_01_PIT_BUF,PIT,BUF,BUF,10,19,16,23,Half2,23,0,NaN,1,NaN,0,0,6,1,-2,4,6,1,1,591,591,9,2,0,0,0,8
9/26/21,2021_03_NO_NE,NO,NE,NE,0,7,13,28,Half1,50,0,50,0,0,8,31,0,1,8,21,13,1,1,2344,2066,4,7,278,0,0,4
10/10/21,2021_05_PHI_CAR,PHI,CAR,CAR,18,13,18,21,Half2,46,0,46,0,1,4,27,6,1,8,8,0,0,1,240,165,13,1,75,0,0,2
10/17/21,2021_06_DAL_NE,DAL,NE,NE,14,10,29,35,Half1,35,5,30,0,0,7,16,0,1,3,25,22,0,1,2074,1890,4,7,184,0,0,2
10/17/21,2021_06_MIN_CAR,CAR,MIN,CAR,16,12,28,34,Half2,24,8,NaN,1,NaN,0,0,6,0,-10,12,22,1,0,1316,1316,7,5,0,0,0,8
11/14/21,2021_10_ATL_DAL,DAL,ATL,DAL,34,3,43,3,Half1,17,3,NaN,1,NaN,0,0,6,1,9,9,0,1,1,1844,1844,5,6,0,0,0,2
11/14/21,2021_10_JAX_IND,IND,JAX,IND,9,0,23,17,Half1,24,10,NaN,1,NaN,0,0,6,1,-3,14,17,1,1,3212,3212,1,11,0,0,0,1
11/21/21,2021_11_PIT_LAC,PIT,LAC,LAC,27,13,41,37,Half2,32,0,32,0,1,4,3,6,0,10,24,14,0,0,760,695,6,5,65,0,0,3
11/28/21,2021_12_CAR_MIA,MIA,CAR,MIA,6,0,33,10,Half1,9,0,NaN,1,NaN,0,0,6,1,17,27,10,0,1,3258,3258,1,10,0,0,0,4
12/18/21,2021_15_NE_IND,IND,NE,IND,13,0,27,17,Half1,32,16,NaN,1,NaN,0,0,6,1,-3,14,17,1,1,2721,2721,2,8,0,0,0,6
12/26/21,2021_16_WAS_DAL,DAL,WAS,DAL,48,7,56,14,Half2,10,0,10,1,NaN,0,0,6,1,1,8,7,1,1,1272,1272,8,3,0,0,0,1
1/9/22,2021_18_NYJ_BUF,BUF,NYJ,BUF,10,0,27,10,Half1,45,0,45,0,0,4,6,0,1,7,17,10,1,1,2722,2610,2,12,112,2,2,1
1/22/22,2021_20_SF_GB,SF,GB,GB,10,9,10,13,Half2,12,0,NaN,1,NaN,0,0,6,1,4,4,0,0,1,290,290,8,1,0,2,0,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,8,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1641791045,0.1194029851,
