player,player_id,position,team_name,player_game_count,assists,avg_depth_of_target,catch_rate,coverage_percent,coverage_snaps_per_reception,coverage_snaps_per_target,declined_penalties,dropped_ints,forced_incompletes,forced_incompletion_rate,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_coverage,snap_counts_pass_play,stops,tackles,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap,yards_per_reception
Michael Danna,48415,ED,KC,13,2,,,4.3,,,0,0,0,,16,67.3,67.4,74.3,67.5,53.4,33.0,0,,22.2,2,0,1,0.0,0,14,324,9,5,0,0,0,0,0.0,
James Smith-Williams,48455,ED,WAS,14,1,2.3,33.3,6.5,19.0,6.3,0,0,0,0.0,32,56.9,59.8,78.0,59.0,58.8,47.3,0,15,50.0,2,0,1,50.7,1,20,309,4,1,3,0,15,9,0.8,15.0
Sam Hubbard,48457,ED,CIN,15,1,7.2,100.0,9.6,9.6,9.6,1,0,2,40.0,7,78.1,72.4,74.0,58.9,77.1,51.0,0,29,28.6,4,1,2,118.8,5,49,508,12,9,5,0,75,39,1.6,15.0
Tyquan Lewis,48475,ED,IND,7,0,,,1.3,,,0,0,0,,14,60.3,56.3,86.3,63.0,46.3,36.2,0,,100.0,1,0,0,0.0,0,2,157,1,0,0,0,0,0,0.0,
Justin Hollins,48498,ED,GB,16,3,2.7,85.7,13.4,5.7,4.9,1,0,0,0.0,12,57.4,54.0,34.1,52.1,63.8,54.1,0,14,22.2,2,0,3,88.1,6,35,261,6,4,7,0,36,21,1.1,6.0
Carl Granderson,48500,ED,NO,15,0,,,3.7,,,0,0,0,,20,64.4,80.4,76.3,65.1,84.4,69.2,0,,12.5,1,0,1,0.0,0,10,267,10,7,0,0,0,0,0.0,
Chase Winovich,48523,ED,CLV,7,0,9.0,100.0,1.9,2.0,2.0,0,0,0,0.0,8,51.7,61.1,86.2,52.9,69.5,61.6,0,12,25.0,1,0,1,116.7,1,2,104,3,3,1,0,12,3,6.0,12.0
Bradley Chubb,48526,ED,MIA,16,2,9.3,87.5,10.3,7.0,6.1,0,1,1,12.5,17,28.6,66.3,45.0,72.3,70.5,40.6,0,38,62.5,5,1,4,158.3,7,51,497,9,1,8,1,118,52,2.4,16.9
Oshane Ximines,48538,ED,NYG,15,3,-0.6,85.7,24.8,12.8,11.0,0,0,0,0.0,21,61.7,58.3,59.0,56.0,61.0,44.0,0,14,16.7,1,0,2,95.8,6,81,326,4,2,7,0,49,57,0.6,8.2
Dorance Armstrong,48557,ED,DAL,17,0,6.7,66.7,6.1,10.0,6.7,0,0,0,0.0,9,68.0,61.8,61.3,62.3,57.5,56.0,0,20,33.3,2,0,2,109.7,2,21,346,12,4,3,0,39,25,2.0,19.5
Malik Reed,48567,ED,PIT,14,1,-1.7,100.0,10.8,8.3,8.3,0,0,1,33.3,25,77.9,63.8,70.0,50.9,72.1,65.7,0,12,0.0,0,1,1,141.0,3,27,251,3,3,3,1,25,32,1.0,8.3
Daron Payne,48698,DI,WAS,17,2,-4.0,100.0,1.8,5.0,5.0,1,0,0,0.0,32,54.9,62.2,81.3,72.0,49.5,29.0,0,5,18.2,2,0,1,79.2,2,10,553,16,7,2,0,2,10,0.2,1.0
Rasheem Green,48731,ED,HST,16,0,2.0,100.0,1.1,3.0,3.0,0,0,0,0.0,13,53.4,62.4,90.2,58.7,62.9,49.6,0,18,,0,0,0,118.8,1,3,272,3,0,1,0,18,16,6.0,18.0
Taven Bryan,48753,DI,CLV,16,1,7.0,100.0,0.8,3.0,3.0,0,0,1,100.0,8,57.6,60.0,65.3,61.3,58.6,51.6,0,14,66.7,2,0,3,118.8,1,3,362,2,0,1,0,14,7,4.7,14.0
Daniel Ekuale,48874,DI,NE,15,0,,,0.4,,,0,0,0,,19,69.4,60.1,47.7,57.7,59.9,27.8,0,,33.3,2,0,2,0.0,0,1,284,5,4,0,0,0,0,0.0,
Daniel Wise,48922,DI,WAS,11,0,,,1.9,,,0,0,0,,32,59.7,47.6,80.4,56.3,46.1,70.9,0,,,0,0,0,0.0,0,1,54,0,0,0,0,0,0,0.0,
Justin Jones,48940,DI,CHI,17,1,,,1.5,,,1,0,0,,6,55.9,45.8,48.1,58.9,43.4,56.2,0,,20.0,1,0,4,0.0,0,6,405,5,3,0,0,0,0,0.0,
Vita Vea,48956,DI,TB,14,1,,,3.1,,,0,0,0,,30,58.8,62.3,73.0,69.9,51.1,63.5,0,,0.0,0,0,1,0.0,0,11,350,7,1,0,0,0,0,0.0,
Tim Settle,48966,DI,BUF,15,0,,,0.4,,,0,0,0,,4,66.1,53.8,48.7,58.6,51.2,28.9,0,,0.0,0,0,2,0.0,0,1,227,3,3,0,0,0,0,0.0,
Kevin Strong Jr.,48981,DI,TEN,16,0,,,1.3,,,0,0,0,,31,60.0,59.5,85.0,53.5,61.2,65.6,0,,0.0,0,0,0,0.0,0,2,152,0,1,0,0,0,0,0.0,
Kendal Vickers,48993,DI,LV,8,1,,,1.5,,,0,0,0,,23,56.2,47.6,83.2,63.3,36.7,35.3,0,,33.3,1,0,0,0.0,0,2,136,0,1,0,0,0,0,0.0,
Nick Scott,49012,S,LA,16,9,6.4,78.9,99.8,18.9,14.9,0,0,3,7.9,26,43.4,54.2,86.9,60.0,77.0,66.7,2,34,9.6,5,3,0,106.5,30,588,589,6,38,38,3,323,149,0.6,10.8
Josh Woods,49023,LB,DET,2,0,11.0,100.0,62.5,4.0,4.0,0,0,0,0.0,11,44.7,37.6,69.3,53.7,60.0,26.0,0,14,100.0,1,0,0,118.8,1,5,8,0,0,1,0,14,3,3.5,14.0
Justin Reid,49048,S,KC,17,5,7.0,67.3,94.3,18.6,12.5,0,0,7,13.5,16,73.8,73.2,88.6,67.6,66.1,54.1,0,34,14.3,7,5,0,103.4,35,690,732,13,37,52,3,324,151,0.5,9.3
Tre Flowers,49059,CB,CIN,15,1,6.9,73.7,99.3,10.1,7.4,2,0,3,15.8,7,58.3,58.6,79.2,57.7,58.5,86.1,1,27,0.0,0,2,3,92.0,14,148,149,3,13,19,1,150,78,1.1,10.7
Khaleke Hudson,49073,LB,WAS,2,2,14.0,75.0,86.4,12.3,9.3,0,0,0,0.0,32,51.7,55.9,76.4,60.3,63.6,50.0,0,12,0.0,0,0,0,93.8,3,38,44,0,1,4,0,28,10,0.8,9.3
Jalen Thompson,49116,S,ARZ,17,13,9.7,63.6,99.3,23.1,14.7,0,2,6,13.6,1,59.7,65.0,65.7,53.1,77.4,90.3,1,33,3.3,2,6,2,111.6,28,672,677,3,45,44,5,297,173,0.5,10.6
Ryan Neal,49132,S,SEA,12,2,8.0,60.0,95.7,15.3,9.2,0,0,7,17.5,29,85.7,85.6,84.2,52.9,79.5,69.8,1,32,10.3,3,6,0,77.0,24,380,397,12,24,40,2,179,107,0.5,7.5
Myles Hartsfield,49159,S,CAR,15,2,7.4,75.5,95.7,11.7,8.9,0,0,2,4.1,5,50.9,52.0,87.2,70.1,50.1,57.7,0,51,15.8,6,2,2,127.4,37,465,486,10,30,49,4,414,197,1.0,11.2
Jessie Bates III,49162,S,CIN,16,3,12.8,65.7,97.5,25.5,16.7,0,1,4,11.4,7,72.9,76.8,88.5,53.1,84.8,76.1,4,48,10.0,3,4,0,86.1,23,615,631,4,24,35,3,338,110,0.6,14.7
Ezekiel Turner,49167,LB,ARZ,10,5,1.9,100.0,84.6,5.3,5.3,1,0,0,0.0,1,42.3,63.6,0.0,66.9,93.0,80.9,0,30,0.0,0,0,1,147.1,10,55,65,2,4,10,2,98,84,1.8,9.8
Tarvarius Moore,49178,S,SF,6,0,22.0,0.0,100.0,,26.0,0,0,0,0.0,28,65.0,69.9,72.9,,68.4,80.8,0,,0.0,0,0,0,39.6,0,28,28,0,1,1,0,0,0,0.0,
Elijah Campbell,49190,S,MIA,10,2,2.6,75.0,84.6,7.2,5.4,0,0,1,12.5,17,67.6,68.0,81.2,60.2,63.6,81.2,0,18,0.0,0,1,0,128.6,6,44,52,2,3,8,1,47,27,1.1,7.8
Jordan Whitehead,49196,S,NYJ,17,3,10.4,64.7,98.6,28.3,18.3,0,4,6,17.6,22,70.6,66.1,47.2,51.7,59.4,53.9,2,32,8.9,4,5,2,85.8,22,651,660,13,38,34,2,283,124,0.5,12.9
Ronnie Harrison,49206,S,CLV,15,0,2.8,64.7,91.2,13.2,8.5,1,0,1,5.9,8,45.6,46.0,81.2,61.4,48.1,44.9,0,17,18.2,2,1,1,78.8,11,155,170,5,9,17,0,93,64,0.6,8.5
Demetrius Flannigan-Fowles,49231,LB,SF,7,1,10.2,100.0,90.7,7.2,7.2,0,0,0,0.0,28,42.2,45.3,73.7,68.8,52.7,62.5,0,22,16.7,1,0,0,118.8,5,39,43,2,4,5,0,81,30,2.3,16.2
Tony Brown,49255,CB,IND,3,0,,,80.0,,,0,0,0,,14,52.2,61.3,69.9,74.2,60.0,73.3,0,,,0,0,0,0.0,0,4,5,1,0,0,0,0,0,0.0,
Andrew Wingard,49268,S,JAX,9,1,8.2,60.0,95.3,22.0,13.2,0,0,0,0.0,15,66.9,79.9,81.2,90.7,88.8,75.5,1,27,0.0,0,0,0,29.2,6,142,149,3,9,10,0,40,13,0.3,6.7
Rashad Fenton,49329,CB,ATL,6,2,10.0,84.6,97.9,10.0,8.5,2,0,2,7.7,2,56.2,56.6,84.4,50.6,59.1,56.2,0,58,15.4,4,2,4,130.8,22,233,238,6,20,26,1,320,123,1.4,14.5
Carlton Davis,49335,CB,TB,13,3,10.0,54.4,99.0,9.7,5.3,0,1,14,15.6,30,64.0,64.1,61.6,78.4,60.0,64.0,1,51,6.5,3,10,4,79.2,49,504,509,12,40,90,2,625,254,1.3,12.8
Kindle Vildor,49346,CB,CHI,11,3,9.4,66.7,100.0,10.6,7.1,1,1,4,10.3,6,58.8,59.4,49.6,,63.5,40.9,1,54,12.5,3,4,5,112.0,26,296,296,6,18,39,3,369,146,1.3,14.2
Chandon Sullivan,49349,CB,MIN,17,6,6.6,79.1,96.7,8.2,6.5,0,1,7,7.7,18,53.2,55.8,42.0,71.1,67.4,63.2,0,49,12.5,6,3,3,108.5,72,625,646,12,36,91,1,833,495,1.4,11.6
Jaire Alexander,49350,CB,GB,16,6,11.2,60.6,100.0,10.8,6.5,0,1,11,15.5,12,82.1,80.3,42.8,,71.2,68.2,5,56,6.8,3,8,2,66.2,43,487,487,11,35,71,2,572,188,1.2,13.3
Ugo Amadi,49352,CB,KC,2,0,0.7,66.7,92.0,11.0,7.3,0,0,0,0.0,16,66.4,66.3,76.3,56.7,65.3,34.4,0,7,50.0,1,0,0,75.7,2,23,25,1,1,3,0,13,8,0.6,6.5
Greg Stroman,49354,CB,CHI,1,0,11.0,80.0,100.0,8.8,7.0,0,0,0,0.0,6,73.7,77.1,78.3,,79.2,80.4,1,30,0.0,0,0,0,70.4,4,35,35,1,5,5,0,52,14,1.5,13.0
Chris Lammons,49368,CB,KC,3,1,7.6,60.0,94.4,5.7,3.4,0,0,0,0.0,16,43.0,44.4,81.5,59.7,60.0,76.4,0,21,0.0,0,0,0,85.4,3,17,18,0,2,5,0,40,19,2.4,13.3
Chauncey Gardner-Johnson,49371,S,PHI,12,4,7.2,78.6,97.9,13.2,10.3,0,0,2,4.8,24,64.2,63.9,88.6,66.1,57.2,52.0,6,45,13.5,7,2,2,87.4,33,458,468,10,41,42,4,288,137,0.7,8.7
Jaylon Jones,49374,CB,CHI,12,5,10.5,67.6,98.9,10.1,6.8,0,1,3,8.1,6,50.1,48.5,46.9,38.4,50.5,53.4,0,42,16.1,5,2,4,90.7,25,274,277,1,21,37,0,287,130,1.1,11.5
Donte Jackson,49377,CB,CAR,9,2,10.4,76.6,100.0,7.0,5.4,1,0,1,2.1,5,55.2,55.0,85.8,,51.1,40.8,2,38,14.3,5,1,2,92.7,36,271,271,12,28,47,2,342,84,1.4,9.5
Danny Johnson,49379,CB,WAS,8,2,8.6,63.2,96.2,7.1,4.5,0,1,9,23.7,32,80.1,81.0,82.0,63.0,75.0,81.2,1,15,0.0,0,6,0,66.2,24,176,183,5,19,38,0,205,72,1.2,8.5
John Reid,49381,CB,TEN,3,0,4.2,100.0,96.7,5.8,5.8,0,0,0,0.0,31,60.4,60.4,74.7,56.8,61.6,77.9,0,14,0.0,0,0,0,99.2,5,29,30,2,4,5,0,39,18,1.3,7.8
Cameron Lewis,49395,S,BUF,5,0,21.0,100.0,100.0,26.3,26.3,0,0,0,0.0,4,56.6,47.9,80.3,,29.9,52.1,0,32,12.5,1,0,0,118.8,3,82,82,3,7,3,0,67,4,0.8,22.3
M.J. Stewart,49397,S,HST,11,1,10.4,71.4,97.4,14.0,10.0,0,0,1,14.3,13,70.5,70.1,79.6,59.3,62.5,85.9,0,34,9.1,1,1,0,86.6,5,74,76,1,9,7,0,42,15,0.6,8.4
Donovan Wilson,49408,S,DAL,17,7,10.5,64.5,94.2,25.4,16.4,0,0,3,9.7,9,64.5,70.1,27.9,87.1,72.9,57.2,1,28,15.6,7,1,4,84.2,20,535,568,11,31,31,2,151,67,0.3,7.6
Julian Blackmon,49434,S,IND,14,3,8.9,87.1,97.6,14.0,12.2,0,1,1,3.2,14,57.4,62.3,86.6,41.3,77.0,75.5,1,64,10.3,3,1,0,137.6,27,399,409,7,23,31,3,440,244,1.2,16.3
Keion Crossen,49454,CB,MIA,15,4,15.3,56.3,99.3,14.8,8.3,0,0,6,18.8,17,50.2,50.7,41.4,57.0,61.7,56.4,0,36,17.4,4,3,4,104.7,18,285,287,2,15,32,2,268,69,1.0,14.9
Darius Phillips,49507,CB,DEN,2,0,-7.0,100.0,100.0,5.0,5.0,0,0,0,0.0,10,66.2,66.4,84.2,,60.0,29.8,0,5,50.0,1,0,0,87.5,1,5,5,1,1,1,0,5,12,1.0,5.0
Taron Johnson,49511,CB,BUF,16,10,4.9,71.1,95.8,8.2,5.9,0,0,9,9.3,4,74.7,68.3,65.8,51.3,49.8,62.9,1,42,6.7,4,6,5,107.9,69,615,642,20,46,97,7,623,376,1.1,9.0
Nick McCloud,49535,CB,NYG,12,3,11.6,61.9,94.6,10.8,6.7,0,2,6,14.3,21,64.6,67.0,51.2,68.0,71.4,86.4,0,33,3.7,1,4,2,106.0,26,295,312,6,23,42,3,287,92,1.0,11.0
Juju Hughes,49545,S,DET,4,2,4.8,83.3,91.9,16.4,13.7,0,0,1,16.7,11,55.0,52.3,77.3,58.0,51.1,51.6,0,22,11.1,1,0,0,133.3,5,91,99,5,6,6,1,39,31,0.5,7.8
Denzel Ward,49558,CB,CLV,14,0,12.6,59.3,99.3,11.0,6.5,3,1,11,18.6,8,60.4,56.8,33.2,65.4,46.6,36.7,3,66,12.1,4,7,8,85.6,35,412,415,5,29,59,3,543,186,1.4,15.5
Ashtyn Davis,49560,S,NYJ,5,0,21.0,100.0,100.0,8.0,8.0,0,0,0,0.0,22,57.7,50.3,71.4,,60.0,,1,27,,0,0,0,79.2,1,9,9,0,0,1,0,27,6,3.4,27.0
Rock Ya-Sin,49564,CB,LV,11,2,9.7,58.5,99.8,12.2,7.1,1,0,7,13.2,23,65.8,65.7,86.1,60.0,59.3,46.5,0,42,11.9,5,5,4,82.5,31,401,402,6,35,53,1,323,114,0.9,10.4
Duke Shelley,49569,CB,MIN,9,1,14.0,48.8,100.0,11.8,5.7,0,0,11,26.8,18,84.9,81.5,85.2,,54.8,56.5,1,40,4.3,1,10,1,57.9,20,242,242,7,21,41,0,249,56,1.1,12.5
Breiden Fehoko,49589,DI,LAC,9,0,,,0.9,,,0,0,0,,27,65.9,47.1,85.4,48.3,47.2,28.8,0,,0.0,0,0,1,0.0,0,1,112,1,1,0,0,0,0,0.0,
Zach Allen,49605,DI,ARZ,13,3,12.0,100.0,1.8,8.0,8.0,1,0,0,0.0,1,62.7,72.7,50.6,71.6,67.4,71.3,0,13,16.7,1,0,4,118.8,1,8,435,7,2,1,0,13,1,1.6,13.0
Markus Bailey,49681,LB,CIN,5,1,2.5,100.0,85.7,9.0,9.0,0,0,0,0.0,7,53.4,70.9,76.7,55.2,80.4,55.9,0,20,33.3,2,0,0,112.5,2,18,21,1,3,2,0,22,17,1.2,11.0
Shaquille Leonard,49684,LB,IND,3,0,5.5,100.0,91.1,5.1,5.1,0,0,0,0.0,14,35.9,40.6,74.8,53.5,59.9,70.3,1,30,14.3,1,0,0,110.4,8,41,45,1,6,8,2,84,40,2.0,10.5
Genard Avery,49699,ED,TB,7,0,10.0,100.0,9.7,6.0,6.0,0,0,0,0.0,30,60.2,47.7,0.0,56.8,59.3,50.1,0,10,0.0,0,0,2,108.3,1,6,62,2,1,1,0,10,0,1.7,10.0
Cole Holcomb,49753,LB,WAS,7,4,3.6,78.9,89.7,15.5,12.3,1,0,2,10.5,32,67.0,66.6,42.7,45.2,69.4,71.0,0,31,10.3,3,1,1,140.2,15,252,281,10,22,19,3,155,130,0.7,10.3
Quincy Williams,49779,LB,NYJ,15,5,3.9,85.7,93.4,6.6,5.6,0,0,2,2.9,22,50.0,55.2,58.7,66.2,60.8,52.9,0,24,20.4,10,1,2,103.8,60,409,438,17,34,70,2,464,248,1.2,7.7
Azeez Al-Shaair,49792,LB,SF,12,7,5.8,83.3,91.5,9.5,7.9,0,0,0,0.0,28,53.6,67.8,33.1,83.0,79.7,72.2,0,22,0.0,0,0,1,95.8,15,151,165,3,9,18,0,126,81,0.9,8.4
Zaire Franklin,49834,LB,IND,17,17,5.2,75.7,93.4,10.8,8.1,2,1,8,11.4,14,50.2,57.0,49.3,66.4,65.0,57.3,0,63,11.7,9,6,8,103.2,53,604,647,20,51,70,1,559,308,1.0,10.5
Ryan Connelly,49840,LB,MIN,1,0,,,100.0,,,0,0,0,,18,66.0,64.1,72.8,,58.1,74.9,0,,,0,0,0,0.0,0,6,6,0,0,0,0,0,0,0.0,
B.J. Hill,49894,DI,CIN,16,1,,,1.2,,,0,0,0,,7,61.2,65.8,88.8,61.2,63.4,76.8,0,,0.0,0,0,0,0.0,0,6,511,6,2,0,0,0,0,0.0,
Sebastian Joseph-Day,49935,DI,LAC,16,1,,,0.3,,,1,0,0,,27,70.1,51.6,87.9,50.3,49.3,47.0,1,,0.0,0,0,2,0.0,0,1,373,4,3,0,0,0,0,0.0,
Jerry Tillery,49949,DI,LV,15,1,,,2.1,,,0,0,0,,23,60.5,49.8,39.0,61.3,44.2,27.7,0,,40.0,2,0,3,0.0,0,6,286,2,2,0,0,0,0,0.0,
Derrick Nnadi,49970,DI,KC,17,1,,,1.0,,,0,0,0,,16,61.5,41.3,85.8,50.1,38.8,57.5,0,,50.0,1,0,0,0.0,0,2,208,0,0,0,0,0,0,0.0,
Broderick Washington Jr.,50049,DI,BLT,17,0,,,0.7,,,0,0,0,,3,69.8,69.5,86.9,67.7,61.8,60.5,0,,33.3,1,0,0,0.0,0,2,267,2,2,0,0,0,0,0.0,
Uchenna Nwosu,50084,ED,SEA,17,1,3.0,75.0,17.5,14.8,11.1,1,1,2,25.0,29,66.6,72.6,23.6,73.7,71.5,48.3,0,17,23.5,4,1,8,98.4,6,91,520,17,12,8,0,65,66,0.7,10.8
John Franklin-Myers,50088,ED,NYJ,17,0,,,1.0,,,0,0,0,,22,65.5,82.6,59.1,76.0,76.8,61.6,0,,33.3,2,0,3,0.0,0,4,383,7,4,0,0,0,0,0.0,
Harvey Langi,50118,LB,LV,2,1,4.0,85.7,80.8,3.3,2.9,0,0,0,0.0,23,47.9,33.8,73.3,65.1,33.8,60.7,0,15,0.0,0,0,0,95.2,6,21,26,0,5,7,0,48,24,2.4,8.0
Josh Sweat,50120,ED,PHI,16,0,6.7,100.0,3.8,4.7,4.7,1,0,0,0.0,24,55.8,86.6,55.7,82.1,80.5,65.4,1,16,42.9,3,0,3,78.5,3,14,370,11,4,3,0,37,17,2.6,12.3
Lorenzo Carter,50126,ED,ATL,17,4,3.9,90.0,24.0,6.5,5.9,0,0,0,0.0,2,56.8,60.5,88.8,51.5,67.7,73.9,1,32,22.2,4,0,1,89.8,18,123,512,9,10,20,1,131,66,1.1,7.3
Ogbonnia Okoronkwo,50130,ED,HST,17,1,,,1.5,,,1,0,0,,13,71.9,75.1,38.6,81.9,61.5,65.0,0,,0.0,0,0,4,0.0,0,4,272,6,2,0,0,0,0,0.0,
Jacob Martin,50152,ED,DEN,13,1,-3.5,100.0,12.4,9.5,9.5,0,0,0,0.0,10,59.9,65.1,86.6,59.6,67.1,34.5,0,8,57.1,4,0,1,91.7,2,22,177,3,2,2,0,12,19,0.6,6.0
Olasunkanmi Adeniyi,50154,ED,TEN,3,0,,,8.7,,,0,0,0,,31,62.5,58.6,13.4,53.2,72.8,44.1,0,,,0,0,1,0.0,0,4,46,0,0,0,0,0,0,0.0,
Malcolm Roach,50191,DI,NO,13,2,10.0,0.0,1.3,,1.0,0,0,0,0.0,20,56.8,47.8,63.1,56.6,47.9,29.8,0,,57.1,4,0,2,39.6,0,2,157,0,1,1,0,0,0,0.0,
Arden Key,50201,ED,JAX,17,2,11.3,66.7,6.1,10.5,7.0,0,0,1,33.3,15,75.1,81.3,71.7,73.5,74.2,53.6,0,10,20.0,2,0,1,74.3,2,21,344,9,6,3,0,12,5,0.6,6.0
Oren Burks,50203,LB,SF,8,2,2.4,71.4,90.8,7.5,5.4,0,0,1,7.1,28,68.2,79.2,76.5,62.6,82.3,77.8,0,16,0.0,0,1,0,107.1,10,79,87,1,6,14,1,73,55,1.0,7.3
Rashaan Evans,50213,LB,ATL,17,15,6.1,83.6,87.2,10.3,8.6,0,1,4,6.6,2,55.9,59.6,49.3,66.5,62.5,78.8,0,27,9.5,6,4,2,100.2,51,545,625,16,42,61,0,491,239,0.9,9.6
Josh Allen,50235,ED,JAX,17,1,9.5,63.6,15.1,11.7,7.5,1,0,1,9.1,15,52.3,82.9,64.2,79.4,82.5,66.1,0,40,23.1,3,0,3,141.7,7,86,569,10,9,11,2,124,59,1.5,17.7
Marquis Haynes,50244,ED,CAR,17,3,-0.7,100.0,12.5,13.3,13.3,0,0,0,0.0,5,78.0,59.3,74.0,62.6,37.2,55.0,0,18,0.0,0,0,1,86.1,3,43,343,10,10,3,0,14,16,0.4,4.7
Marcus Davenport,50291,ED,NO,15,2,,,2.4,,,1,0,0,,20,72.4,76.8,45.0,75.0,69.7,59.2,0,,40.0,2,0,3,0.0,0,7,289,2,1,0,0,0,0,0.0,
Christian Wilkins,50293,DI,MIA,17,2,,,1.3,,,2,0,0,,17,70.7,85.1,48.1,72.5,81.0,68.2,0,,0.0,0,0,5,0.0,0,8,595,10,13,0,0,0,0,0.0,
Xavier Crawford,50326,CB,SEA,1,0,6.0,100.0,100.0,1.0,1.0,0,0,0,0.0,29,27.3,40.4,89.4,,,68.9,0,6,0.0,0,0,0,91.7,1,1,1,0,1,1,0,6,0,6.0,6.0
Michael Ojemudia,50327,CB,CHI,1,0,,,100.0,,,0,0,0,,6,60.0,60.6,66.0,,60.0,,0,,,0,0,0,0.0,0,1,1,0,0,0,0,0,0,0.0,
Cornell Armstrong,50351,CB,ATL,7,2,12.2,60.9,100.0,7.4,4.5,0,0,7,15.2,2,54.0,57.2,84.3,,67.4,81.8,0,32,3.8,1,4,0,97.5,28,215,215,1,23,46,2,333,106,1.6,11.9
Nik Needham,50356,CB,MIA,6,1,16.7,62.5,97.8,17.4,10.9,1,0,4,25.0,17,66.5,63.7,26.8,46.3,60.0,76.8,0,41,0.0,0,1,2,116.1,10,181,185,3,14,16,1,158,33,0.9,15.8
Anthony Averett,50365,CB,LV,7,1,13.0,83.3,100.0,10.9,9.1,1,0,1,5.6,23,51.0,52.2,83.2,,56.7,46.0,0,30,15.4,2,1,1,137.0,15,169,169,1,10,18,1,224,36,1.4,14.9
Aaron Robinson,50370,CB,NYG,2,0,16.4,40.0,100.0,19.0,7.6,0,0,1,20.0,21,73.2,74.3,77.1,,70.4,80.0,0,20,0.0,0,1,0,58.8,2,42,42,1,3,5,0,28,12,0.7,14.0
Tre Herndon,50380,CB,JAX,11,4,12.7,71.1,99.0,10.6,7.5,0,1,5,13.2,15,57.2,55.4,84.7,64.7,39.7,65.1,0,47,9.7,3,4,2,122.6,27,302,305,7,24,38,2,399,102,1.4,14.8
Isaiah Oliver,50393,CB,ATL,12,7,6.9,68.4,94.2,7.0,4.8,0,0,6,15.8,2,72.2,77.9,83.0,77.1,81.5,59.0,1,39,16.7,5,5,0,72.4,26,194,206,7,18,38,0,221,147,1.2,8.5
A.J. Green,50394,CB,CLV,11,0,7.5,80.0,96.3,8.1,6.5,0,0,0,0.0,8,41.8,43.6,81.7,68.0,49.8,41.8,1,31,16.7,2,0,0,119.3,12,105,109,1,10,15,2,147,53,1.5,12.3
Jeremy Reaves,50406,S,WAS,11,0,5.5,50.0,98.7,18.3,9.1,0,0,1,12.5,32,70.8,72.4,79.0,58.8,66.5,62.4,0,10,0.0,0,1,0,56.8,4,76,77,3,6,8,0,25,9,0.3,6.3
Josh Jackson,50417,CB,ARZ,2,0,11.1,71.4,100.0,10.6,7.6,0,0,0,0.0,1,60.4,63.4,79.8,,74.8,80.6,0,24,0.0,0,0,1,136.9,5,56,56,2,6,7,1,60,9,1.1,12.0
Juan Thornhill,50426,S,KC,16,7,10.5,63.2,98.7,26.9,17.0,0,1,6,15.8,16,68.7,67.1,69.5,67.9,60.4,64.4,3,30,8.9,4,5,5,83.7,24,690,699,5,34,38,4,244,96,0.4,10.2
Emmanuel Moseley,50430,CB,SF,5,0,11.5,65.0,99.5,14.5,9.5,0,0,4,20.0,28,73.5,70.9,84.7,40.6,58.6,38.2,1,34,12.5,2,3,2,63.5,13,200,201,5,14,20,0,135,53,0.7,10.4
Jalen Davis,50431,CB,CIN,2,2,6.0,66.7,87.9,7.0,4.7,0,0,0,0.0,7,63.9,60.4,76.6,54.1,52.2,74.5,0,16,0.0,0,0,0,86.8,4,29,33,0,0,6,0,42,22,1.5,10.5
Michael Jackson,50437,CB,SEA,17,5,11.6,62.4,99.7,11.0,6.9,1,1,11,12.9,29,58.6,60.2,88.1,57.7,62.0,53.6,1,36,12.5,7,9,5,90.0,53,615,617,9,44,85,3,593,187,1.0,11.2
Jace Whittaker,50465,CB,ARZ,6,4,5.5,85.7,96.1,6.1,5.2,0,0,3,10.7,1,51.5,46.3,83.1,63.7,29.8,48.0,0,32,21.1,4,3,0,106.3,24,149,155,5,11,28,0,266,173,1.8,11.1
Grant Haley,50473,CB,LA,3,1,3.6,58.8,100.0,8.8,5.2,1,0,3,17.6,26,68.4,68.0,78.0,,61.4,43.9,0,29,22.2,2,3,1,74.1,10,89,89,3,6,17,0,94,98,1.1,9.4
Lamar Jackson,50532,CB,DEN,3,0,14.5,45.5,97.5,7.4,3.4,0,0,2,18.2,10,29.1,29.8,77.2,60.0,70.0,81.1,0,28,0.0,0,2,1,77.1,5,39,40,0,3,11,0,98,29,2.6,19.6
Amani Oruwariye,50533,CB,DET,11,2,11.7,75.0,99.7,7.1,5.3,4,0,3,5.8,11,31.3,30.0,12.6,56.2,37.9,49.3,0,45,6.5,2,3,10,130.6,39,298,299,5,27,52,4,504,121,1.8,12.9
Mike Ford,50535,CB,ATL,7,1,8.9,71.4,93.9,8.8,6.3,0,0,1,14.3,2,60.1,64.6,76.4,69.0,67.1,61.7,0,21,25.0,1,0,0,102.1,5,46,49,0,2,7,0,68,47,1.5,13.6
Avonte Maddox,50543,CB,PHI,9,1,4.4,82.5,97.2,8.8,7.3,0,0,4,10.0,24,70.3,71.3,83.3,77.6,62.7,45.8,1,25,22.6,7,2,0,92.5,33,307,316,12,23,40,0,348,233,1.2,10.5
