player,player_id,position,team_name,player_game_count,assists,avg_depth_of_target,catch_rate,coverage_percent,coverage_snaps_per_reception,coverage_snaps_per_target,declined_penalties,dropped_ints,forced_incompletes,forced_incompletion_rate,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_coverage,snap_counts_pass_play,stops,tackles,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap,yards_per_reception
K'Von Wallace,42467,S,PHI,15,1,8.8,60.0,97.5,18.5,11.1,0,0,2,20.0,24,56.2,58.4,89.3,70.7,61.6,90.2,0,22,0.0,0,1,0,108.8,6,115,118,2,10,10,1,56,27,0.5,9.3
Cameron Dantzler,42472,CB,MIN,10,0,9.6,78.0,100.0,8.0,6.2,0,1,5,10.0,18,64.7,63.1,48.4,,55.6,73.4,0,48,10.0,4,5,3,113.0,39,336,336,13,36,50,2,396,120,1.3,10.2
Antoine Winfield Jr.,42475,S,TB,13,8,9.8,68.3,92.2,15.2,10.4,0,0,2,4.9,30,66.6,77.8,86.3,91.4,86.2,90.8,1,26,0.0,0,2,2,103.0,28,448,486,12,32,41,3,293,113,0.7,10.5
Tomon Fox,42486,ED,NYG,16,1,1.8,100.0,18.3,7.5,7.5,0,0,0,0.0,21,29.5,40.1,84.8,52.1,45.0,40.6,0,21,50.0,3,0,0,111.5,4,31,169,1,2,4,0,43,36,1.4,10.8
Rashad Weaver,42495,ED,TEN,16,0,2.5,100.0,9.0,20.0,20.0,0,0,1,50.0,31,49.6,60.6,71.6,62.6,58.8,29.2,0,14,83.3,5,1,2,114.6,2,41,455,5,1,2,0,23,18,0.6,11.5
Shemar Jean-Charles,42496,CB,GB,2,0,,,100.0,,,0,0,0,,12,61.9,62.2,69.3,,,,0,,,0,0,0,0.0,0,3,3,0,0,0,0,0,0,0.0,
Keir Thomas,42509,ED,LA,8,0,,,12.9,,,1,0,1,,26,76.4,56.3,11.9,49.4,61.8,31.1,0,,,0,0,1,0.0,0,4,31,0,0,0,0,0,0,0.0,
Chris Jackson,42512,CB,TEN,1,0,15.0,66.7,100.0,10.0,6.7,0,0,0,0.0,31,50.3,36.2,0.0,,56.4,72.5,0,14,0.0,0,0,1,125.0,2,21,21,0,1,3,1,20,4,1.0,10.0
Cam Brown,42516,LB,NYG,1,0,,,33.3,,,0,0,0,,21,60.0,57.0,69.4,56.5,,,0,,,0,0,0,0.0,0,1,3,0,0,0,0,0,0,0.0,
Daniel Thomas,42544,S,JAX,3,0,,,100.0,,,0,0,0,,15,58.6,52.3,75.5,,50.3,79.1,0,,0.0,0,0,0,0.0,0,21,21,0,2,0,0,0,0,0.0,
Krys Barnes,42548,LB,GB,6,2,6.7,90.9,98.5,6.2,5.6,0,0,0,0.0,12,58.1,46.7,0.0,73.5,43.2,67.8,0,25,10.0,1,0,1,107.2,10,66,67,3,7,11,0,107,44,1.7,10.7
Tyler Coyle,42631,S,DAL,1,0,6.0,100.0,100.0,6.0,6.0,0,0,0,0.0,9,55.5,56.7,72.3,,62.2,81.0,0,20,0.0,0,0,0,118.8,2,13,13,2,3,2,0,31,19,2.6,15.5
Nick Bosa,42741,ED,SF,16,0,,,0.6,,,4,0,0,,28,71.3,90.9,18.3,90.9,81.1,71.4,0,,22.2,2,0,9,0.0,0,3,511,24,7,0,0,0,0,0.0,
Osa Odighizuwa,42754,DI,DAL,17,1,,,0.9,,,0,0,0,,9,62.9,63.3,75.3,68.4,54.7,37.3,0,,0.0,0,0,2,0.0,0,3,347,4,0,0,0,0,0,0.0,
